city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Erskine|Erskine|MN|Minnesota|27119|Polk|47.6651|-96.0139|450|269|shape|FALSE|TRUE|America/Chicago|3|1840007701
Bristol|Bristol|TX|Texas|48139|Ellis|32.4550|-96.5672|450|30|shape|FALSE|FALSE|America/Chicago|3|1840025909
Dyckesville|Dyckesville|WI|Wisconsin|55009|Brown|44.6403|-87.7647|450|161|shape|FALSE|FALSE|America/Chicago|3|1840025359
Herreid|Herreid|SD|South Dakota|46021|Campbell|45.8378|-100.0748|450|121|shape|FALSE|TRUE|America/Chicago|3|1840002022
Meridian Station|Meridian Station|MS|Mississippi|28075|Lauderdale|32.5484|-88.6090|450|104|shape|TRUE|TRUE|America/Chicago|4|1840073864
Wheatland|Wheatland|IN|Indiana|18083|Knox|38.6632|-87.3062|450|424|shape|FALSE|TRUE|America/Indiana/Vincennes|3|1840010731
Villa Hugo I|Villa Hugo I|PR|Puerto Rico|72029|Canóvanas|18.3976|-65.8908|450|3275.3|shape|FALSE|FALSE|America/Puerto_Rico|2|1630149260
Grahamsville|Grahamsville|NY|New York|36105|Sullivan|41.8527|-74.5522|450|117|shape|FALSE|FALSE|America/New_York|3|1840083901
Horton Bay|Horton Bay|MI|Michigan|26029|Charlevoix|45.2814|-85.0742|450|36|shape|FALSE|FALSE|America/Detroit|3|1840025191
Bunn|Bunn|NC|North Carolina|37069|Franklin|35.9591|-78.2520|449|321|shape|FALSE|TRUE|America/New_York|3|1840015321
Evans Mills|Evans Mills|NY|New York|36045|Jefferson|44.0870|-75.8078|449|212|shape|FALSE|TRUE|America/New_York|3|1840004111
South Heart|South Heart|ND|North Dakota|38089|Stark|46.8691|-102.9927|449|143|shape|FALSE|TRUE|America/Denver|3|1840001938
Forsan|Forsan|TX|Texas|48227|Howard|32.1104|-101.3668|449|116.8|shape|FALSE|TRUE|America/Chicago|3|1840020762
Humeston|Humeston|IA|Iowa|19185|Wayne|40.8609|-93.4971|449|277|shape|FALSE|TRUE|America/Chicago|3|1840007202
Galien|Galien|MI|Michigan|26021|Berrien|41.8015|-86.4995|449|422|shape|FALSE|TRUE|America/Detroit|3|1840011227
Orbisonia|Orbisonia|PA|Pennsylvania|42061|Huntingdon|40.2429|-77.8930|449|564.2|shape|FALSE|TRUE|America/New_York|3|1840001073
Houston|Houston|DE|Delaware|10001|Kent|38.9174|-75.5039|449|402.0|shape|FALSE|TRUE|America/New_York|3|1840005809
Waveland|Waveland|IN|Indiana|18107|Montgomery|39.8775|-87.0456|449|364.7|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840010502
Burkeville|Burkeville|VA|Virginia|51135|Nottoway|37.1879|-78.2012|449|173|shape|FALSE|TRUE|America/New_York|3|1840006461
Seville|Seville|CA|California|06107|Tulare|36.4835|-119.2259|449|146.6|shape|FALSE|FALSE|America/Los_Angeles|3|1840024879
Glen|Glen|MS|Mississippi|28003|Alcorn|34.8585|-88.4199|449|37|shape|FALSE|TRUE|America/Chicago|4|1840073885
Victor|Victor|CO|Colorado|08119|Teller|38.7088|-105.1419|449|264.7|shape|FALSE|TRUE|America/Denver|3|1840021467
Plum Springs|Plum Springs|KY|Kentucky|21227|Warren|37.0210|-86.3777|448|325|shape|FALSE|TRUE|America/Chicago|3|1840014390
Millingport|Millingport|NC|North Carolina|37167|Stanly|35.3763|-80.3113|448|30|shape|FALSE|FALSE|America/New_York|3|1840024952
Grubbs|Grubbs|AR|Arkansas|05067|Jackson|35.6540|-91.0755|448|305|shape|FALSE|TRUE|America/Chicago|3|1840013402
Pewamo|Pewamo|MI|Michigan|26067|Ionia|43.0020|-84.8473|448|172|shape|FALSE|TRUE|America/Detroit|3|1840011021
Marquette|Marquette|IA|Iowa|19043|Clayton|43.0443|-91.1920|448|93|shape|FALSE|TRUE|America/Chicago|3|1840008014
Prattsville|Prattsville|AR|Arkansas|05053|Grant|34.3172|-92.5429|448|106|shape|FALSE|TRUE|America/Chicago|3|1840017948
Badger|Badger|IA|Iowa|19187|Webster|42.6141|-94.1446|448|153|shape|FALSE|TRUE|America/Chicago|3|1840006939
Hermleigh|Hermleigh|TX|Texas|48415|Scurry|32.6366|-100.7523|448|19|shape|FALSE|FALSE|America/Chicago|3|1840020928
Blanchard|Blanchard|PA|Pennsylvania|42027|Centre|41.0670|-77.6060|448|122|shape|FALSE|FALSE|America/New_York|3|1840132814
Muir|Muir|PA|Pennsylvania|42107|Schuylkill|40.5943|-76.5186|448|348|shape|FALSE|FALSE|America/New_York|3|1840035115
