city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Plattsburgh West|Plattsburgh West|NY|New York|36019|Clinton|44.6837|-73.5037|1230|250|shape|FALSE|TRUE|America/New_York|3|1840073655
Hotchkiss|Hotchkiss|CO|Colorado|08029|Delta|38.7990|-107.7133|1230|512|shape|FALSE|TRUE|America/Denver|3|1840021466
Canaan|Canaan|CT|Connecticut|09005|Litchfield|42.0347|-73.3322|1230|272|shape|FALSE|FALSE|America/New_York|3|1840034218
Culver|Culver|IN|Indiana|18099|Marshall|41.2166|-86.4243|1230|410|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840009301
Dover Beaches South|Dover Beaches South|NJ|New Jersey|34029|Ocean|39.9539|-74.0806|1230|763|shape|FALSE|FALSE|America/New_York|3|1840005529
Millersport|Millersport|OH|Ohio|39045|Fairfield|39.8980|-82.5387|1229|510|shape|FALSE|TRUE|America/New_York|3|1840012472
Oskaloosa|Oskaloosa|KS|Kansas|20087|Jefferson|39.2158|-95.3145|1229|477|shape|FALSE|TRUE|America/Chicago|3|1840009609
Mustang Ridge|Mustang Ridge|TX|Texas|48453|Travis|30.0574|-97.6851|1229|127|shape|FALSE|TRUE|America/Chicago|3|1840020891
Bethesda|Bethesda|OH|Ohio|39013|Belmont|40.0164|-81.0727|1229|760|shape|FALSE|TRUE|America/New_York|3|1840012383
Auxvasse|Auxvasse|MO|Missouri|29027|Callaway|39.0174|-91.8958|1229|628|shape|FALSE|TRUE|America/Chicago|3|1840007416
La Honda|La Honda|CA|California|06081|San Mateo|37.3182|-122.2651|1229|111|shape|FALSE|FALSE|America/Los_Angeles|3|1840026827
Forkland|Forkland|AL|Alabama|01063|Greene|32.6489|-87.8671|1229|135|shape|FALSE|TRUE|America/Chicago|4|1840002097
Manton|Manton|MI|Michigan|26165|Wexford|44.4114|-85.4010|1228|303|shape|FALSE|TRUE|America/Detroit|3|1840002513
Heidelberg|Heidelberg|PA|Pennsylvania|42003|Allegheny|40.3914|-80.0923|1228|2137.0|shape|FALSE|TRUE|America/New_York|2|1840001237
Cinnamon Lake|Cinnamon Lake|OH|Ohio|39005|Ashland|40.9835|-82.1914|1228|292|shape|FALSE|TRUE|America/New_York|3|1840042970
Puget Island|Puget Island|WA|Washington|53069|Wahkiakum|46.1743|-123.3830|1227|62|shape|FALSE|TRUE|America/Los_Angeles|4|1840042033
Wyanet|Wyanet|IL|Illinois|17011|Bureau|41.3610|-89.5828|1227|500|shape|FALSE|TRUE|America/Chicago|3|1840011580
Geneva|Geneva|IN|Indiana|18001|Adams|40.5975|-84.9568|1227|429|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840010354
Mineville|Mineville|NY|New York|36031|Essex|44.0933|-73.5246|1227|127|shape|FALSE|FALSE|America/New_York|3|1840023959
Somerville|Somerville|TX|Texas|48051|Burleson|30.3460|-96.5311|1226|159|shape|FALSE|TRUE|America/Chicago|3|1840022171
Muscoda|Muscoda|WI|Wisconsin|55043|Grant|43.1872|-90.4333|1226|305|shape|FALSE|TRUE|America/Chicago|3|1840002979
Pasatiempo|Pasatiempo|CA|California|06087|Santa Cruz|37.0034|-122.0265|1226|531|shape|FALSE|FALSE|America/Los_Angeles|3|1840028113
Yaurel|Yaurel|PR|Puerto Rico|72015|Arroyo|18.0300|-66.0560|1226|398|shape|FALSE|FALSE|America/Puerto_Rico|3|1630023594
Elwood|Elwood|NJ|New Jersey|34001|Atlantic|39.5731|-74.7148|1226|148|shape|FALSE|FALSE|America/New_York|3|1840005594
Archie|Archie|MO|Missouri|29037|Cass|38.4809|-94.3510|1225|317|shape|FALSE|TRUE|America/Chicago|3|1840007462
Watson|Watson|LA|Louisiana|22063|Livingston|30.5749|-90.9508|1225|493|shape|FALSE|FALSE|America/Chicago|3|1840026010
Rosanky|Rosanky|TX|Texas|48021|Bastrop|29.9537|-97.3065|1225|23|shape|FALSE|FALSE|America/Chicago|3|1840022979
Rosedale|Rosedale|LA|Louisiana|22047|Iberville|30.4429|-91.4601|1225|60|shape|FALSE|TRUE|America/Chicago|3|1840018238
Chinook|Chinook|MT|Montana|30005|Blaine|48.5902|-109.2319|1225|904|shape|FALSE|TRUE|America/Denver|3|1840018358
Talahi Island|Talahi Island|GA|Georgia|13051|Chatham|32.0331|-80.9760|1224|367|shape|FALSE|TRUE|America/New_York|3|1840039168
