city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Shippingport|Shippingport|PA|Pennsylvania|42007|Beaver|40.6261|-80.4205|199|22|shape|FALSE|TRUE|America/New_York|3|1840001030
Pleasant Plains|Pleasant Plains|AR|Arkansas|05063|Independence|35.5545|-91.6273|199|75|shape|FALSE|TRUE|America/Chicago|3|1840016251
Blomkest|Blomkest|MN|Minnesota|27067|Kandiyohi|44.9428|-95.0235|199|75|shape|FALSE|TRUE|America/Chicago|3|1840006723
Ashland|Ashland|LA|Louisiana|22069|Natchitoches|32.1165|-93.1172|199|2|shape|FALSE|TRUE|America/Chicago|3|1840018138
Wyola|Wyola|MT|Montana|30003|Big Horn|45.1154|-107.3738|199|11|shape|FALSE|FALSE|America/Denver|3|1840018533
Fairview|Fairview|PA|Pennsylvania|42019|Butler|41.0156|-79.7433|199|266.6|shape|FALSE|TRUE|America/New_York|3|1840000865
Quantico|Quantico|MD|Maryland|24045|Wicomico|38.3755|-75.7540|199|36|shape|FALSE|FALSE|America/New_York|3|1840024671
Clarksville|Clarksville|PA|Pennsylvania|42059|Greene|39.9745|-80.0440|199|433.4|shape|FALSE|TRUE|America/New_York|3|1840000718
Hillsboro|Hillsboro|NM|New Mexico|35051|Sierra|32.9219|-107.5773|199|36|shape|FALSE|FALSE|America/Denver|3|1840025047
Southern Ute|Southern Ute|CO|Colorado|08067|La Plata|37.0749|-107.5933|199|4|shape|FALSE|TRUE|America/Denver|4|1840038805
Sutton|Sutton|VT|Vermont|50005|Caledonia|44.6290|-72.0277|199|43|shape|FALSE|FALSE|America/New_York|3|1840152974
Danby|Danby|NY|New York|36109|Tompkins|42.3567|-76.4817|199|22|shape|FALSE|FALSE|America/New_York|3|1840153008
Randall|Randall|KS|Kansas|20089|Jewell|39.6417|-98.0456|198|58.4|shape|FALSE|TRUE|America/Chicago|3|1840009500
Coin|Coin|IA|Iowa|19145|Page|40.6558|-95.2349|198|85|shape|FALSE|TRUE|America/Chicago|3|1840007181
