city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Winnsboro|Winnsboro|SC|South Carolina|45039|Fairfield|34.3718|-81.0907|3208|383|shape|FALSE|TRUE|America/New_York|3|1840016627
Hilliard|Hilliard|FL|Florida|12089|Nassau|30.6866|-81.9212|3207|224|shape|FALSE|TRUE|America/New_York|3|1840017180
Algona|Algona|WA|Washington|53033|King|47.2820|-122.2504|3207|958|shape|FALSE|TRUE|America/Los_Angeles|3|1840018415
Cassville|Cassville|MO|Missouri|29009|Barry|36.6786|-93.8682|3206|361|shape|FALSE|TRUE|America/Chicago|3|1840007654
Hartsdale|Hartsdale|NY|New York|36119|Westchester|41.0154|-73.8036|3205|1458|shape|FALSE|FALSE|America/New_York|3|1840004921
Crockett|Crockett|CA|California|06013|Contra Costa|38.0519|-122.2201|3205|1164|shape|FALSE|FALSE|America/Los_Angeles|3|1840017608
Howe|Howe|TX|Texas|48181|Grayson|33.5067|-96.6155|3204|242|shape|FALSE|TRUE|America/Chicago|3|1840021960
Coplay|Coplay|PA|Pennsylvania|42077|Lehigh|40.6710|-75.4961|3204|2026|shape|FALSE|TRUE|America/New_York|2|1840001047
Greens Farms|Greens Farms|CT|Connecticut|09001|Fairfield|41.1264|-73.3220|3203|325|shape|FALSE|FALSE|America/New_York|3|1840027295
Athens|Athens|PA|Pennsylvania|42015|Bradford|41.9515|-76.5187|3203|688|shape|FALSE|TRUE|America/New_York|3|1840000510
Beulah|Beulah|ND|North Dakota|38057|Mercer|47.2665|-101.7734|3201|506|shape|FALSE|TRUE|America/North_Dakota/Beulah|3|1840001907
Breckenridge|Breckenridge|MN|Minnesota|27167|Wilkin|46.2662|-96.5850|3198|488|shape|FALSE|TRUE|America/Chicago|3|1840004003
Warrior|Warrior|AL|Alabama|01073|Jefferson|33.8149|-86.8157|3197|126|shape|FALSE|TRUE|America/Chicago|3|1840015674
