city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Painted Hills|Painted Hills|IN|Indiana|18109|Morgan|39.3963|-86.3494|525|117|shape|FALSE|FALSE|America/Indiana/Indianapolis|3|1840030085
Carp Lake|Carp Lake|MI|Michigan|26047|Emmet|45.6890|-84.7582|525|98|shape|FALSE|FALSE|America/Detroit|3|1840025183
Cadyville|Cadyville|NY|New York|36019|Clinton|44.6977|-73.6441|525|186|shape|FALSE|FALSE|America/New_York|3|1840083178
Langford|Langford|SD|South Dakota|46091|Marshall|45.6024|-97.8303|525|352.6|shape|FALSE|TRUE|America/Chicago|3|1840002045
Soldier Creek|Soldier Creek|SD|South Dakota|46121|Todd|43.3237|-100.8883|525|16|shape|FALSE|FALSE|America/Chicago|3|1840024046
Elma|Elma|IA|Iowa|19089|Howard|43.2457|-92.4387|525|165|shape|FALSE|TRUE|America/Chicago|3|1840007976
Lakeshore Gardens-Hidden Acres|Lakeshore Gardens-Hidden Acres|TX|Texas|48409|San Patricio|28.1235|-97.8653|524|99|shape|FALSE|TRUE|America/Chicago|4|1840074271
Cosmos|Cosmos|MN|Minnesota|27093|Meeker|44.9354|-94.6949|524|182|shape|FALSE|TRUE|America/Chicago|3|1840006731
Laurel Run|Laurel Run|PA|Pennsylvania|42079|Luzerne|41.2195|-75.8446|524|39|shape|FALSE|TRUE|America/New_York|3|1840000759
Richmond|Richmond|KS|Kansas|20059|Franklin|38.4004|-95.2520|524|443.1|shape|FALSE|TRUE|America/Chicago|3|1840009640
Orleans|Orleans|IA|Iowa|19059|Dickinson|43.4512|-95.0990|524|179|shape|FALSE|TRUE|America/Chicago|3|1840009026
Hoytsville|Hoytsville|UT|Utah|49043|Summit|40.8757|-111.3847|524|44|shape|FALSE|FALSE|America/Denver|3|1840024184
Crown City|Crown City|OH|Ohio|39053|Gallia|38.5901|-82.2912|524|174|shape|FALSE|TRUE|America/New_York|3|1840012774
Oakwood|Oakwood|OH|Ohio|39125|Paulding|41.0927|-84.3747|524|288|shape|FALSE|TRUE|America/New_York|3|1840144033
Keithsburg|Keithsburg|IL|Illinois|17131|Mercer|41.1004|-90.9353|524|79|shape|FALSE|TRUE|America/Chicago|3|1840008258
Patriot|Patriot|IN|Indiana|18155|Switzerland|38.8352|-84.8301|524|411.0|shape|FALSE|TRUE|America/Indiana/Vevay|3|1840009726
Oak Ridge|Oak Ridge|TX|Texas|48257|Kaufman|32.6478|-96.2596|524|66|shape|FALSE|TRUE|America/Chicago|3|1840023036
Marysvale|Marysvale|UT|Utah|49031|Piute|38.4384|-112.2544|524|11|shape|FALSE|TRUE|America/Denver|3|1840022513
Laona|Laona|WI|Wisconsin|55041|Forest|45.5597|-88.6697|524|103|shape|FALSE|FALSE|America/Chicago|3|1840025285
Bairdford|Bairdford|PA|Pennsylvania|42003|Allegheny|40.6279|-79.8813|524|128|shape|FALSE|FALSE|America/New_York|3|1840026469
Hartwick Seminary|Hartwick Seminary|NY|New York|36077|Otsego|42.6522|-74.9602|524|103|shape|FALSE|FALSE|America/New_York|3|1840150640
Washburn|Washburn|IA|Iowa|19013|Black Hawk|42.4111|-92.2685|524|163|shape|FALSE|FALSE|America/Chicago|3|1840026195
Danforth|Danforth|ME|Maine|23029|Washington|45.6595|-67.8682|524|81|shape|FALSE|FALSE|America/New_York|3|1840152985
Buckhorn|Buckhorn|PA|Pennsylvania|42037|Columbia|41.0176|-76.4968|523|300|shape|FALSE|FALSE|America/New_York|3|1840004995
Hornersville|Hornersville|MO|Missouri|29069|Dunklin|36.0403|-90.1156|523|258|shape|FALSE|TRUE|America/Chicago|3|1840007667
Friendship|Friendship|OH|Ohio|39145|Scioto|38.6980|-83.1005|523|172|shape|FALSE|FALSE|America/New_York|3|1840026701
Wausaukee|Wausaukee|WI|Wisconsin|55075|Marinette|45.3780|-87.9553|523|146|shape|FALSE|TRUE|America/Chicago|3|1840003927
Key Colony Beach|Key Colony Beach|FL|Florida|12087|Monroe|24.7233|-81.0216|523|458|shape|FALSE|TRUE|America/New_York|3|1840015160
Kenefick|Kenefick|TX|Texas|48291|Liberty|30.1069|-94.8502|523|130|shape|FALSE|TRUE|America/Chicago|3|1840022185
Mamanasco Lake|Mamanasco Lake|CT|Connecticut|09001|Fairfield|41.3189|-73.5253|523|493|shape|FALSE|FALSE|America/New_York|3|1840151855
Hemingway|Hemingway|SC|South Carolina|45089|Williamsburg|33.7534|-79.4462|522|233|shape|FALSE|TRUE|America/New_York|3|1840015664
Rankin|Rankin|IL|Illinois|17183|Vermilion|40.4645|-87.8959|522|348|shape|FALSE|TRUE|America/Chicago|3|1840012182
Delbarton|Delbarton|WV|West Virginia|54059|Mingo|37.7052|-82.1860|522|101|shape|FALSE|TRUE|America/New_York|3|1840006360
Hawk Point|Hawk Point|MO|Missouri|29113|Lincoln|38.9715|-91.1318|522|698.1|shape|FALSE|TRUE|America/Chicago|3|1840007398
Green Isle|Green Isle|MN|Minnesota|27143|Sibley|44.6804|-94.0052|522|198|shape|FALSE|TRUE|America/Chicago|3|1840007867
Darlington|Darlington|MD|Maryland|24025|Harford|39.6425|-76.2035|522|192|shape|FALSE|FALSE|America/New_York|3|1840026621
Mooringsport|Mooringsport|LA|Louisiana|22017|Caddo|32.6824|-93.9605|522|156|shape|FALSE|TRUE|America/Chicago|3|1840016930
Liverpool|Liverpool|TX|Texas|48039|Brazoria|29.3018|-95.2746|522|184|shape|FALSE|TRUE|America/Chicago|3|1840020975
Pleasant City|Pleasant City|OH|Ohio|39059|Guernsey|39.9033|-81.5438|522|381.4|shape|FALSE|TRUE|America/New_York|3|1840012359
Rio Lucio|Rio Lucio|NM|New Mexico|35055|Taos|36.1922|-105.7200|522|191|shape|FALSE|FALSE|America/Denver|3|1840019012
Elrod|Elrod|NC|North Carolina|37155|Robeson|34.6072|-79.2307|522|37|shape|FALSE|FALSE|America/New_York|3|1840013085
Hornbeak|Hornbeak|TN|Tennessee|47131|Obion|36.3352|-89.2983|522|191|shape|FALSE|TRUE|America/Chicago|3|1840016066
Huntley|Huntley|MT|Montana|30111|Yellowstone|45.8995|-108.3054|522|132|shape|FALSE|FALSE|America/Denver|3|1840017390
Huntington|Huntington|AR|Arkansas|05131|Sebastian|35.0814|-94.2663|522|299|shape|FALSE|TRUE|America/Chicago|3|1840014576
Millheim|Millheim|PA|Pennsylvania|42027|Centre|40.8936|-77.4765|522|152|shape|FALSE|TRUE|America/New_York|3|1840000826
Centralhatchee|Centralhatchee|GA|Georgia|13149|Heard|33.3689|-85.1037|522|61|shape|FALSE|TRUE|America/New_York|3|1840016876
Colesburg|Colesburg|IA|Iowa|19055|Delaware|42.6388|-91.2011|522|354.1|shape|FALSE|TRUE|America/Chicago|3|1840006933
Ellsworth|Ellsworth|MN|Minnesota|27105|Nobles|43.5207|-96.0186|522|305|shape|FALSE|TRUE|America/Chicago|3|1840007927
Star Harbor|Star Harbor|TX|Texas|48213|Henderson|32.1927|-96.0542|521|430|shape|FALSE|TRUE|America/Chicago|3|1840022110
Herman|Herman|MN|Minnesota|27051|Grant|45.8105|-96.1414|521|181|shape|FALSE|TRUE|America/Chicago|3|1840006677
Seymour|Seymour|IA|Iowa|19185|Wayne|40.6821|-93.1211|521|84|shape|FALSE|TRUE|America/Chicago|3|1840009395
Winterstown|Winterstown|PA|Pennsylvania|42133|York|39.8408|-76.6175|521|83|shape|FALSE|TRUE|America/New_York|3|1840001469
Sun|Sun|LA|Louisiana|22103|St. Tammany|30.6489|-89.9070|521|47|shape|FALSE|TRUE|America/Chicago|3|1840018224
Cousins Island|Cousins Island|ME|Maine|23005|Cumberland|43.7631|-70.1409|521|189|shape|FALSE|FALSE|America/New_York|3|1840024002
Golf|Golf|IL|Illinois|17031|Cook|42.0586|-87.7850|521|448|shape|FALSE|TRUE|America/Chicago|3|1840011250
Sterling Ranch|Sterling Ranch|CO|Colorado|08035|Douglas|39.4932|-105.0475|521|36|shape|FALSE|FALSE|America/Denver|3|1840147366
Hampton|Hampton|FL|Florida|12007|Bradford|29.8643|-82.1380|521|190|shape|FALSE|TRUE|America/New_York|3|1840014006
Summertown|Summertown|TN|Tennessee|47099|Lawrence|35.4344|-87.3084|521|100|shape|FALSE|FALSE|America/Chicago|3|1840025826
McArthur|McArthur|CA|California|06089|Shasta|41.0414|-121.4068|521|200|shape|FALSE|FALSE|America/Los_Angeles|3|1840017493
Pajonal|Pajonal|PR|Puerto Rico|72054|Florida|18.3847|-66.5560|521|750.9|shape|FALSE|FALSE|America/Puerto_Rico|3|1630023647
Seabrook|Seabrook|MA|Massachusetts|25001|Barnstable|41.5831|-70.4992|520|174.8|shape|FALSE|FALSE|America/New_York|3|1840031250
