city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Caledonia|Caledonia|OH|Ohio|39101|Marion|40.6364|-82.9695|665|774.1|shape|FALSE|TRUE|America/New_York|3|1840010389
San Luis|San Luis|CO|Colorado|08023|Costilla|37.2025|-105.4225|665|452|shape|FALSE|TRUE|America/Denver|3|1840022549
Grimes|Grimes|AL|Alabama|01045|Dale|31.2999|-85.4503|665|205|shape|FALSE|TRUE|America/Chicago|3|1840003500
Culbertson|Culbertson|MT|Montana|30085|Roosevelt|48.1447|-104.5183|665|250|shape|FALSE|TRUE|America/Denver|3|1840021072
Fairview Crossroads|Fairview Crossroads|SC|South Carolina|45063|Lexington|33.7577|-81.3621|665|44|shape|FALSE|FALSE|America/New_York|3|1840107256
Marion Heights|Marion Heights|PA|Pennsylvania|42097|Northumberland|40.8036|-76.4643|665|687.3|shape|FALSE|TRUE|America/New_York|3|1840000844
Campobello|Campobello|SC|South Carolina|45083|Spartanburg|35.1260|-82.1488|665|92|shape|FALSE|TRUE|America/New_York|3|1840015481
Bowdens|Bowdens|NC|North Carolina|37061|Duplin|35.0579|-78.1128|665|188|shape|FALSE|FALSE|America/New_York|3|1840088146
Glenwood|Glenwood|UT|Utah|49041|Sevier|38.7625|-111.9876|664|492|shape|FALSE|TRUE|America/Denver|3|1840021479
Valle Vista|Valle Vista|NM|New Mexico|35049|Santa Fe|35.5841|-106.0584|664|621.4|shape|FALSE|FALSE|America/Denver|3|1840141891
Potosi|Potosi|WI|Wisconsin|55043|Grant|42.6876|-90.7105|664|154|shape|FALSE|TRUE|America/Chicago|3|1840002982
Kadoka|Kadoka|SD|South Dakota|46071|Jackson|43.8325|-101.5081|664|112|shape|FALSE|TRUE|America/Denver|3|1840002587
Ireton|Ireton|IA|Iowa|19167|Sioux|42.9749|-96.3216|664|251|shape|FALSE|TRUE|America/Chicago|3|1840007984
Woodland Hills|Woodland Hills|KY|Kentucky|21111|Jefferson|38.2393|-85.5289|664|785.4|shape|FALSE|TRUE|America/New_York|3|1840015203
Cowen|Cowen|WV|West Virginia|54101|Webster|38.4110|-80.5542|664|407|shape|FALSE|TRUE|America/New_York|3|1840006159
Kirtland Hills|Kirtland Hills|OH|Ohio|39085|Lake|41.6362|-81.3192|664|46|shape|FALSE|TRUE|America/New_York|3|1840000536
North Rose|North Rose|NY|New York|36117|Wayne|43.1872|-76.8863|664|151|shape|FALSE|FALSE|America/New_York|3|1840026167
Metamora|Metamora|MI|Michigan|26087|Lapeer|42.9422|-83.2897|664|308|shape|FALSE|TRUE|America/Detroit|3|1840011001
Quilcene|Quilcene|WA|Washington|53031|Jefferson|47.8369|-122.9058|664|29|shape|FALSE|FALSE|America/Los_Angeles|3|1840018389
Roeville|Roeville|FL|Florida|12113|Santa Rosa|30.6836|-86.9927|663|59|shape|FALSE|FALSE|America/Chicago|3|1840025119
Kiowa|Kiowa|CO|Colorado|08039|Elbert|39.3436|-104.4580|663|297|shape|FALSE|TRUE|America/Denver|3|1840021450
Oneida Castle|Oneida Castle|NY|New York|36065|Oneida|43.0812|-75.6331|663|513|shape|FALSE|TRUE|America/New_York|3|1840004208
Kingsville|Kingsville|OH|Ohio|39007|Ashtabula|41.8869|-80.6771|663|92|shape|FALSE|FALSE|America/New_York|3|1840140471
Kennard|Kennard|IN|Indiana|18065|Henry|39.9054|-85.5222|663|604|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840010532
Homeworth|Homeworth|OH|Ohio|39029|Columbiana|40.8357|-81.0649|663|206|shape|FALSE|FALSE|America/New_York|3|1840026397
Welch|Welch|OK|Oklahoma|40035|Craig|36.8743|-95.0946|663|499|shape|FALSE|TRUE|America/Chicago|3|1840022601
Central City|Central City|AR|Arkansas|05131|Sebastian|35.3300|-94.2347|663|115|shape|FALSE|TRUE|America/Chicago|3|1840016378
The Cliffs Valley|The Cliffs Valley|SC|South Carolina|45045|Greenville|35.1458|-82.4481|663|39|shape|FALSE|FALSE|America/New_York|3|1840147797
Sandersville|Sandersville|MS|Mississippi|28067|Jones|31.7879|-89.0362|663|51|shape|FALSE|TRUE|America/Chicago|3|1840018162
Ozark Acres|Ozark Acres|AR|Arkansas|05135|Sharp|36.3000|-91.3871|663|36|shape|FALSE|FALSE|America/Chicago|3|1840039644
Canistota|Canistota|SD|South Dakota|46087|McCook|43.5978|-97.2926|663|456|shape|FALSE|TRUE|America/Chicago|3|1840002658
North Washington|North Washington|CO|Colorado|08001|Adams|39.8084|-104.9792|663|49|shape|FALSE|FALSE|America/Denver|3|1840028566
Fairland|Fairland|IN|Indiana|18145|Shelby|39.5849|-85.8627|662|223|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840022449
Millington|Millington|IL|Illinois|17099|LaSalle|41.5623|-88.6024|662|360|shape|FALSE|TRUE|America/Chicago|3|1840011506
Bayview|Bayview|TX|Texas|48061|Cameron|26.1327|-97.3974|662|65|shape|FALSE|TRUE|America/Chicago|3|1840021042
Elgin|Elgin|ND|North Dakota|38037|Grant|46.4014|-101.8474|662|310|shape|FALSE|TRUE|America/Denver|3|1840000202
McDonald Chapel|McDonald Chapel|AL|Alabama|01073|Jefferson|33.5190|-86.9385|662|240|shape|FALSE|FALSE|America/Chicago|3|1840013725
Cowiche|Cowiche|WA|Washington|53077|Yakima|46.6719|-120.7120|662|307|shape|FALSE|FALSE|America/Los_Angeles|3|1840023852
Bluford|Bluford|IL|Illinois|17081|Jefferson|38.3257|-88.7350|662|163|shape|FALSE|TRUE|America/Chicago|3|1840012910
Troy|Troy|IN|Indiana|18123|Perry|38.0018|-86.7991|661|225|shape|FALSE|TRUE|America/Indiana/Tell_City|3|1840010817
The Lakes|The Lakes|MN|Minnesota|27101|Murray|44.1359|-95.7083|661|7|shape|FALSE|FALSE|America/Chicago|3|1840032018
Paxton|Paxton|FL|Florida|12131|Walton|30.9746|-86.3099|661|68|shape|FALSE|TRUE|America/Chicago|3|1840017165
Wartrace|Wartrace|TN|Tennessee|47003|Bedford|35.5253|-86.3301|661|291|shape|FALSE|TRUE|America/Chicago|3|1840016309
Deweyville|Deweyville|TX|Texas|48351|Newton|30.3032|-93.7590|661|22|shape|FALSE|FALSE|America/Chicago|3|1840019557
Virginia City|Virginia City|NV|Nevada|32029|Storey|39.3074|-119.6483|661|294|shape|FALSE|FALSE|America/Los_Angeles|3|1840026641
Delaware Water Gap|Delaware Water Gap|PA|Pennsylvania|42089|Monroe|40.9750|-75.1392|661|132|shape|FALSE|TRUE|America/New_York|3|1840003510
Clinton|Clinton|MT|Montana|30063|Missoula|46.7718|-113.7169|661|78|shape|FALSE|FALSE|America/Denver|3|1840017347
Blair|Blair|OK|Oklahoma|40065|Jackson|34.7804|-99.3332|660|512|shape|FALSE|TRUE|America/Chicago|3|1840021845
Lake Hughes|Lake Hughes|CA|California|06037|Los Angeles|34.6832|-118.4588|660|24|shape|FALSE|FALSE|America/Los_Angeles|3|1840025003
Gaylordsville|Gaylordsville|CT|Connecticut|09005|Litchfield|41.6410|-73.4826|660|160|shape|FALSE|FALSE|America/New_York|3|1840044523
