city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Lyman|Lyman|WY|Wyoming|56041|Uinta|41.3274|-110.2977|1723|428|shape|FALSE|TRUE|America/Denver|3|1840021340
Roundup|Roundup|MT|Montana|30065|Musselshell|46.4484|-108.5401|1723|514|shape|FALSE|TRUE|America/Denver|3|1840019885
Bay Springs|Bay Springs|MS|Mississippi|28061|Jasper|31.9772|-89.2792|1723|44|shape|FALSE|TRUE|America/Chicago|3|1840013843
Senath|Senath|MO|Missouri|29069|Dunklin|36.1340|-90.1614|1721|345|shape|FALSE|TRUE|America/Chicago|3|1840009949
Braham|Braham|MN|Minnesota|27059|Isanti|45.7223|-93.1717|1721|412|shape|FALSE|TRUE|America/Chicago|3|1840006693
Meridian|Meridian|TX|Texas|48035|Bosque|31.9262|-97.6501|1720|318|shape|FALSE|TRUE|America/Chicago|3|1840020786
Ledbetter|Ledbetter|KY|Kentucky|21139|Livingston|37.0485|-88.4949|1720|96|shape|FALSE|FALSE|America/Chicago|3|1840013246
Moville|Moville|IA|Iowa|19193|Woodbury|42.4903|-96.0680|1720|723|shape|FALSE|TRUE|America/Chicago|3|1840008065
Versailles|Versailles|IN|Indiana|18137|Ripley|39.0634|-85.2566|1719|423|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840014406
Lester Prairie|Lester Prairie|MN|Minnesota|27085|McLeod|44.8829|-94.0375|1719|744|shape|FALSE|TRUE|America/Chicago|3|1840007846
Frewsburg|Frewsburg|NY|New York|36013|Chautauqua|42.0576|-79.1483|1719|198|shape|FALSE|FALSE|America/New_York|3|1840004563
Hatch|Hatch|NM|New Mexico|35013|Doña Ana|32.6663|-107.1644|1718|220|shape|FALSE|TRUE|America/Denver|3|1840023025
Panguitch|Panguitch|UT|Utah|49017|Garfield|37.8236|-112.4342|1718|215|shape|FALSE|TRUE|America/Denver|3|1840020272
Winchester|Winchester|IL|Illinois|17171|Scott|39.6298|-90.4560|1717|587|shape|FALSE|TRUE|America/Chicago|3|1840010604
Romancoke|Romancoke|MD|Maryland|24035|Queen Anne's|38.8872|-76.3476|1717|522|shape|FALSE|FALSE|America/New_York|3|1840031462
Harlan|Harlan|IN|Indiana|18003|Allen|41.1966|-84.9245|1715|213|shape|FALSE|FALSE|America/Indiana/Indianapolis|3|1840026346
Nicholson|Nicholson|GA|Georgia|13157|Jackson|34.1172|-83.4289|1714|167|shape|FALSE|TRUE|America/New_York|3|1840014721
Fort Recovery|Fort Recovery|OH|Ohio|39107|Mercer|40.4121|-84.7762|1714|534|shape|FALSE|TRUE|America/New_York|3|1840012001
Glenmoor|Glenmoor|OH|Ohio|39029|Columbiana|40.6639|-80.6133|1713|236|shape|FALSE|FALSE|America/New_York|3|1840005222
Ko Olina|Ko Olina|HI|Hawaii|15003|Honolulu|21.3378|-158.1188|1713|612|shape|FALSE|TRUE|Pacific/Honolulu|3|1840039182
Meridian Hills|Meridian Hills|IN|Indiana|18097|Marion|39.8874|-86.1567|1712|448|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840009533
MacArthur|MacArthur|WV|West Virginia|54081|Raleigh|37.7551|-81.2079|1712|227|shape|FALSE|FALSE|America/New_York|3|1840038266
Smith Valley|Smith Valley|NV|Nevada|32019|Lyon|38.8109|-119.3517|1711|6|shape|FALSE|TRUE|America/Los_Angeles|4|1840037104
Youngsville|Youngsville|PA|Pennsylvania|42123|Warren|41.8525|-79.3167|1711|496|shape|FALSE|TRUE|America/New_York|3|1840003335
Burns|Burns|TN|Tennessee|47043|Dickson|36.0508|-87.2984|1711|195|shape|FALSE|TRUE|America/Chicago|3|1840015316
