city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Lenox|Lenox|IA|Iowa|19173|Taylor|40.8835|-94.5583|1446|293|shape|FALSE|TRUE|America/Chicago|3|1840008302
Spring Grove|Spring Grove|MN|Minnesota|27055|Houston|43.5607|-91.6373|1446|561|shape|FALSE|TRUE|America/Chicago|3|1840009008
Saylorsburg|Saylorsburg|PA|Pennsylvania|42089|Monroe|40.8998|-75.3179|1445|462|shape|FALSE|FALSE|America/New_York|3|1840026363
Warm Springs|Warm Springs|CA|California|06065|Riverside|33.7067|-117.3343|1445|394|shape|FALSE|TRUE|America/Los_Angeles|3|1840076411
Fyffe|Fyffe|AL|Alabama|01049|DeKalb|34.4490|-85.9052|1445|112|shape|FALSE|TRUE|America/Chicago|4|1840004830
Ashaway|Ashaway|RI|Rhode Island|44009|Washington|41.4260|-71.7852|1444|234|shape|FALSE|FALSE|America/New_York|3|1840003362
Gregory|Gregory|SD|South Dakota|46053|Gregory|43.2300|-99.4208|1444|323|shape|FALSE|TRUE|America/Chicago|3|1840002865
Booker|Booker|TX|Texas|48295|Lipscomb|36.4561|-100.5402|1443|529|shape|FALSE|TRUE|America/Chicago|3|1840021669
Dassel|Dassel|MN|Minnesota|27093|Meeker|45.0831|-94.3150|1443|330|shape|FALSE|TRUE|America/Chicago|3|1840006733
Oolitic|Oolitic|IN|Indiana|18093|Lawrence|38.8935|-86.5254|1443|835|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840009717
Taos Pueblo|Taos Pueblo|NM|New Mexico|35055|Taos|36.4657|-105.5634|1443|35|shape|FALSE|FALSE|America/Denver|3|1840019014
Burton|Burton|OH|Ohio|39055|Geauga|41.4708|-81.1456|1443|531|shape|FALSE|TRUE|America/New_York|3|1840010218
Caledonia|Caledonia|MI|Michigan|26081|Kent|42.7945|-85.5153|1442|415|shape|FALSE|TRUE|America/Detroit|3|1840010066
Dale|Dale|IN|Indiana|18147|Spencer|38.1769|-86.9802|1442|230|shape|FALSE|TRUE|America/Chicago|3|1840009758
Woodsboro|Woodsboro|TX|Texas|48391|Refugio|28.2379|-97.3254|1441|735|shape|FALSE|TRUE|America/Chicago|3|1840023165
Saxonburg|Saxonburg|PA|Pennsylvania|42019|Butler|40.7509|-79.8150|1441|613|shape|FALSE|TRUE|America/New_York|3|1840000873
River Hills|River Hills|WI|Wisconsin|55079|Milwaukee|43.1716|-87.9353|1441|107|shape|FALSE|TRUE|America/Chicago|3|1840003048
Richton|Richton|MS|Mississippi|28111|Perry|31.3495|-88.9407|1441|242|shape|FALSE|TRUE|America/Chicago|3|1840018181
Mabscott|Mabscott|WV|West Virginia|54081|Raleigh|37.7690|-81.2133|1441|601|shape|FALSE|TRUE|America/New_York|3|1840006352
Mishicot|Mishicot|WI|Wisconsin|55071|Manitowoc|44.2303|-87.6423|1441|218|shape|FALSE|TRUE|America/Chicago|3|1840002215
