city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Post|Post|TX|Texas|48169|Garza|33.1910|-101.3814|5002|515|shape|FALSE|TRUE|America/Chicago|3|1840020667
Milan|Milan|IL|Illinois|17161|Rock Island|41.4415|-90.5593|5001|308|shape|FALSE|TRUE|America/Chicago|3|1840011444
Lochmoor Waterway Estates|Lochmoor Waterway Estates|FL|Florida|12071|Lee|26.6447|-81.9098|4995|805|shape|FALSE|FALSE|America/New_York|3|1840029053
Westvale|Westvale|NY|New York|36067|Onondaga|43.0399|-76.2176|4994|1429|shape|FALSE|FALSE|America/New_York|3|1840004318
St. Augustine South|St. Augustine South|FL|Florida|12109|St. Johns|29.8449|-81.3156|4994|1216|shape|FALSE|FALSE|America/New_York|3|1840029110
South Sarasota|South Sarasota|FL|Florida|12115|Sarasota|27.2857|-82.5332|4993|1002|shape|FALSE|FALSE|America/New_York|3|1840029081
Northchase|Northchase|NC|North Carolina|37129|New Hanover|34.3049|-77.8754|4987|1119|shape|FALSE|TRUE|America/New_York|3|1840040283
Wildwood|Wildwood|NJ|New Jersey|34009|Cape May|38.9881|-74.8195|4985|1249|shape|FALSE|TRUE|America/New_York|3|1840001602
Alexandria|Alexandria|IN|Indiana|18095|Madison|40.2630|-85.6737|4985|636|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840007241
Midfield|Midfield|AL|Alabama|01073|Jefferson|33.4553|-86.9224|4984|724|shape|FALSE|TRUE|America/Chicago|3|1840014791
Kingsford|Kingsford|MI|Michigan|26043|Dickinson|45.8061|-88.0995|4983|445|shape|FALSE|TRUE|America/Menominee|3|1840001992
Mead|Mead|CO|Colorado|08123|Weld|40.2318|-104.9911|4978|147|shape|FALSE|TRUE|America/Denver|3|1840022396
Redwood Falls|Redwood Falls|MN|Minnesota|27127|Redwood|44.5470|-95.1031|4977|363|shape|FALSE|TRUE|America/Chicago|3|1840008961
Suncook|Suncook|NH|New Hampshire|33013|Merrimack|43.1382|-71.4530|4975|516|shape|FALSE|FALSE|America/New_York|3|1840002804
Tipton|Tipton|IN|Indiana|18159|Tipton|40.2820|-86.0423|4974|731|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840010448
Hazard|Hazard|KY|Kentucky|21193|Perry|37.2584|-83.1977|4974|257|shape|FALSE|TRUE|America/New_York|3|1840014376
Sugarcreek|Sugarcreek|PA|Pennsylvania|42121|Venango|41.4380|-79.8183|4970|51|shape|FALSE|TRUE|America/New_York|3|1840003430
Canutillo|Canutillo|TX|Texas|48141|El Paso|31.9185|-106.6006|4968|698|shape|FALSE|FALSE|America/Denver|3|1840018151
Iroquois Point|Iroquois Point|HI|Hawaii|15003|Honolulu|21.3218|-157.9803|4968|2359|shape|TRUE|TRUE|Pacific/Honolulu|2|1840029590
Carle Place|Carle Place|NY|New York|36059|Nassau|40.7499|-73.6124|4966|2000|shape|FALSE|FALSE|America/New_York|3|1840005234
Los Chaves|Los Chaves|NM|New Mexico|35061|Valencia|34.7334|-106.7611|4965|167|shape|FALSE|FALSE|America/Denver|3|1840017903
South Barrington|South Barrington|IL|Illinois|17031|Cook|42.0881|-88.1580|4963|257|shape|FALSE|TRUE|America/Chicago|3|1840011322
Prospect|Prospect|KY|Kentucky|21111|Jefferson|38.3471|-85.6103|4961|500|shape|FALSE|TRUE|America/New_York|3|1840014301
Buckley|Buckley|WA|Washington|53053|Pierce|47.1615|-122.0200|4960|496|shape|FALSE|TRUE|America/Los_Angeles|3|1840018455
