city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Ely|Ely|IA|Iowa|19113|Linn|41.8762|-91.5856|2224|524|shape|FALSE|TRUE|America/Chicago|3|1840008097
Easton|Easton|CA|California|06019|Fresno|36.6524|-119.7908|2224|285|shape|FALSE|FALSE|America/Los_Angeles|3|1840017633
Wesson|Wesson|MS|Mississippi|28029|Copiah|31.6999|-90.3961|2224|190|shape|FALSE|TRUE|America/Chicago|3|1840017047
Ludowici|Ludowici|GA|Georgia|13183|Long|31.7093|-81.7452|2223|358|shape|FALSE|TRUE|America/New_York|3|1840015848
Brooks|Brooks|KY|Kentucky|21029|Bullitt|38.0656|-85.7177|2223|233|shape|FALSE|FALSE|America/New_York|3|1840013215
Constantine|Constantine|MI|Michigan|26149|St. Joseph|41.8378|-85.6650|2222|530|shape|FALSE|TRUE|America/Detroit|3|1840011383
Esko|Esko|MN|Minnesota|27017|Carlton|46.7100|-92.3721|2222|176|shape|FALSE|FALSE|America/Chicago|3|1840025266
Walton Hills|Walton Hills|OH|Ohio|39035|Cuyahoga|41.3662|-81.5554|2221|126|shape|FALSE|TRUE|America/New_York|3|1840003418
Hooverson Heights|Hooverson Heights|WV|West Virginia|54009|Brooke|40.3189|-80.5825|2221|379|shape|FALSE|FALSE|America/New_York|3|1840005476
Kellogg|Kellogg|ID|Idaho|16079|Shoshone|47.5371|-116.1420|2221|215|shape|FALSE|TRUE|America/Los_Angeles|3|1840018392
Spruce Pine|Spruce Pine|NC|North Carolina|37121|Mitchell|35.9104|-82.0731|2221|183|shape|FALSE|TRUE|America/New_York|3|1840017751
Byesville|Byesville|OH|Ohio|39059|Guernsey|39.9733|-81.5459|2221|715|shape|FALSE|TRUE|America/New_York|3|1840010495
Mount Sterling|Mount Sterling|IL|Illinois|17009|Brown|39.9853|-90.7642|2220|773|shape|FALSE|TRUE|America/Chicago|3|1840008395
Ridgebury|Ridgebury|CT|Connecticut|09001|Fairfield|41.3570|-73.5267|2219|156|shape|FALSE|FALSE|America/New_York|3|1840044928
Cheney|Cheney|KS|Kansas|20173|Sedgwick|37.6353|-97.7797|2219|369|shape|FALSE|TRUE|America/Chicago|3|1840007565
Gregory|Gregory|TX|Texas|48409|San Patricio|27.9231|-97.2908|2218|568|shape|FALSE|TRUE|America/Chicago|3|1840021003
Hidden Hills|Hidden Hills|CA|California|06037|Los Angeles|34.1637|-118.6612|2218|507|shape|FALSE|TRUE|America/Los_Angeles|3|1840020488
Lathrop|Lathrop|MO|Missouri|29049|Clinton|39.5567|-94.3077|2218|204|shape|FALSE|TRUE|America/Chicago|3|1840008445
Davisboro|Davisboro|GA|Georgia|13303|Washington|32.9826|-82.6032|2217|280|shape|FALSE|TRUE|America/New_York|3|1840014850
Riverside|Riverside|PA|Pennsylvania|42097|Northumberland|40.9459|-76.6461|2217|173|shape|FALSE|TRUE|America/New_York|3|1840000848
Pulaski|Pulaski|NY|New York|36075|Oswego|43.5653|-76.1268|2217|242|shape|FALSE|TRUE|America/New_York|3|1840004194
Horse Pasture|Horse Pasture|VA|Virginia|51089|Henry|36.6313|-79.9515|2217|88|shape|FALSE|FALSE|America/New_York|3|1840006555
Waterloo|Waterloo|IN|Indiana|18033|DeKalb|41.4327|-85.0347|2217|404|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840010250
Eureka|Eureka|KS|Kansas|20073|Greenwood|37.8261|-96.2890|2217|373|shape|FALSE|TRUE|America/Chicago|3|1840001672
Hide-A-Way Lake|Hide-A-Way Lake|MS|Mississippi|28109|Pearl River|30.5740|-89.6418|2217|565|shape|FALSE|FALSE|America/Chicago|3|1840032566
Yale|Yale|MI|Michigan|26147|St. Clair|43.1277|-82.7972|2216|623|shape|FALSE|TRUE|America/Detroit|3|1840001845
Lynchburg|Lynchburg|MS|Mississippi|28033|DeSoto|34.9623|-90.1052|2216|442|shape|FALSE|FALSE|America/Chicago|3|1840013543
Fruitland|Fruitland|NC|North Carolina|37089|Henderson|35.3928|-82.4119|2216|106|shape|FALSE|FALSE|America/New_York|3|1840024955
Moweaqua|Moweaqua|IL|Illinois|17173|Shelby|39.6265|-89.0187|2215|402|shape|FALSE|TRUE|America/Chicago|3|1840012589
Whitesburg|Whitesburg|KY|Kentucky|21133|Letcher|37.1183|-82.8230|2215|273|shape|FALSE|TRUE|America/New_York|3|1840015259
Albion|Albion|IL|Illinois|17047|Edwards|38.3766|-88.0580|2215|400|shape|FALSE|TRUE|America/Chicago|3|1840007490
Raceland|Raceland|KY|Kentucky|21089|Greenup|38.5376|-82.7344|2215|345|shape|FALSE|TRUE|America/New_York|3|1840014274
Valley Hill|Valley Hill|NC|North Carolina|37089|Henderson|35.2958|-82.4913|2215|368|shape|FALSE|FALSE|America/New_York|3|1840013447
Tullytown|Tullytown|PA|Pennsylvania|42017|Bucks|40.1401|-74.8107|2215|563|shape|FALSE|TRUE|America/New_York|3|1840001316
Buena Vista|Buena Vista|GA|Georgia|13197|Marion|32.3188|-84.5177|2214|265|shape|FALSE|TRUE|America/New_York|3|1840013827
East Missoula|East Missoula|MT|Montana|30063|Missoula|46.8801|-113.9401|2214|709|shape|FALSE|FALSE|America/Denver|3|1840018434
Oakboro|Oakboro|NC|North Carolina|37167|Stanly|35.2283|-80.3339|2214|344|shape|FALSE|TRUE|America/New_York|3|1840016368
Trucksville|Trucksville|PA|Pennsylvania|42079|Luzerne|41.3100|-75.9281|2214|493|shape|FALSE|FALSE|America/New_York|3|1840035227
Nokomis|Nokomis|IL|Illinois|17135|Montgomery|39.3002|-89.2851|2213|677|shape|FALSE|TRUE|America/Chicago|3|1840008488
Washington Mills|Washington Mills|NY|New York|36065|Oneida|43.0478|-75.2809|2213|1263|shape|FALSE|FALSE|America/New_York|3|1840024028
Kensington|Kensington|MD|Maryland|24031|Montgomery|39.0269|-77.0736|2212|1699|shape|FALSE|TRUE|America/New_York|3|1840005856
Bagdad|Bagdad|AZ|Arizona|04025|Yavapai|34.5771|-113.1771|2212|106|shape|FALSE|FALSE|America/Phoenix|3|1840017845
Rainbow|Rainbow|CA|California|06073|San Diego|33.4098|-117.1395|2211|77|shape|FALSE|FALSE|America/Los_Angeles|3|1840019345
Vale|Vale|OR|Oregon|41045|Malheur|43.9840|-117.2418|2210|751|shape|FALSE|TRUE|America/Boise|3|1840021261
Roseville|Roseville|OH|Ohio|39127|Perry|39.8064|-82.0758|2210|1241|shape|FALSE|TRUE|America/New_York|3|1840012393
Polo|Polo|IL|Illinois|17141|Ogle|41.9847|-89.5791|2210|639|shape|FALSE|TRUE|America/Chicago|3|1840009178
West Hamburg|West Hamburg|PA|Pennsylvania|42011|Berks|40.5524|-76.0020|2210|262|shape|FALSE|FALSE|America/New_York|3|1840035303
St. George|St. George|SC|South Carolina|45035|Dorchester|33.1861|-80.5794|2209|299|shape|FALSE|TRUE|America/New_York|3|1840018042
Sorgho|Sorgho|KY|Kentucky|21059|Daviess|37.7518|-87.2190|2208|179|shape|FALSE|FALSE|America/Chicago|3|1840060588
Springerville|Springerville|AZ|Arizona|04001|Apache|34.1560|-109.2988|2208|74|shape|FALSE|TRUE|America/Phoenix|3|1840022616
Jarales|Jarales|NM|New Mexico|35061|Valencia|34.6147|-106.7631|2207|97|shape|FALSE|FALSE|America/Denver|3|1840017904
Snow Hill|Snow Hill|MD|Maryland|24047|Worcester|38.1729|-75.3903|2206|572|shape|FALSE|TRUE|America/New_York|3|1840006260
Fowler|Fowler|IN|Indiana|18007|Benton|40.6170|-87.3185|2205|602|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840010379
Odem|Odem|TX|Texas|48409|San Patricio|27.9462|-97.5875|2205|668|shape|FALSE|TRUE|America/Chicago|3|1840021005
Spring Arbor|Spring Arbor|MI|Michigan|26075|Jackson|42.2055|-84.5551|2204|306|shape|FALSE|FALSE|America/Detroit|3|1840004654
Spencerville|Spencerville|OH|Ohio|39003|Allen|40.7079|-84.3526|2204|882|shape|FALSE|TRUE|America/New_York|3|1840011956
Vernon|Vernon|AL|Alabama|01075|Lamar|33.7588|-88.1143|2204|144|shape|FALSE|TRUE|America/Chicago|4|1840005593
Topton|Topton|PA|Pennsylvania|42011|Berks|40.5031|-75.7023|2204|1228|shape|FALSE|TRUE|America/New_York|3|1840001192
Montgomery|Montgomery|TX|Texas|48339|Montgomery|30.3921|-95.6958|2204|168|shape|FALSE|TRUE|America/Chicago|3|1840020885
Rock Hill|Rock Hill|NY|New York|36105|Sullivan|41.6191|-74.5902|2204|99|shape|FALSE|FALSE|America/New_York|3|1840004784
Meyersdale|Meyersdale|PA|Pennsylvania|42111|Somerset|39.8133|-79.0277|2203|1042|shape|FALSE|TRUE|America/New_York|3|1840003740
Cecil-Bishop|Cecil-Bishop|PA|Pennsylvania|42125|Washington|40.3185|-80.1919|2202|306|shape|FALSE|TRUE|America/New_York|3|1840035078
Galesburg|Galesburg|MI|Michigan|26077|Kalamazoo|42.2911|-85.4182|2201|599|shape|FALSE|TRUE|America/Detroit|3|1840003184
Jackson|Jackson|KY|Kentucky|21025|Breathitt|37.5589|-83.3783|2201|338|shape|FALSE|TRUE|America/New_York|3|1840014357
Point Clear|Point Clear|AL|Alabama|01003|Baldwin|30.4898|-87.9112|2201|185|shape|FALSE|FALSE|America/Chicago|3|1840013883
Belgium|Belgium|WI|Wisconsin|55089|Ozaukee|43.5018|-87.8476|2201|394|shape|FALSE|TRUE|America/Chicago|3|1840002824
Kerhonkson|Kerhonkson|NY|New York|36111|Ulster|41.7779|-74.2955|2200|148|shape|FALSE|FALSE|America/New_York|3|1840004718
Westport|Westport|WA|Washington|53027|Grays Harbor|46.8917|-124.1118|2200|230|shape|FALSE|TRUE|America/Los_Angeles|3|1840021124
Colorado City|Colorado City|CO|Colorado|08101|Pueblo|37.9381|-104.8451|2200|56|shape|FALSE|FALSE|America/Denver|3|1840017587
Brice Prairie|Brice Prairie|WI|Wisconsin|55063|La Crosse|43.9375|-91.3073|2200|185|shape|FALSE|FALSE|America/Chicago|3|1840004158
Leadville North|Leadville North|CO|Colorado|08065|Lake|39.2600|-106.3112|2200|346|shape|FALSE|TRUE|America/Denver|3|1840074311
Alamo|Alamo|TN|Tennessee|47033|Crockett|35.7830|-89.1168|2199|386|shape|FALSE|TRUE|America/Chicago|3|1840015368
West End|West End|NY|New York|36077|Otsego|42.4667|-75.0969|2199|232|shape|FALSE|FALSE|America/New_York|3|1840034066
Cologne|Cologne|MN|Minnesota|27019|Carver|44.7696|-93.7931|2199|474|shape|FALSE|TRUE|America/Chicago|3|1840006757
Aliceville|Aliceville|AL|Alabama|01107|Pickens|33.1237|-88.1593|2199|185|shape|FALSE|TRUE|America/Chicago|3|1840013758
New Market|New Market|VA|Virginia|51171|Shenandoah|38.6459|-78.6709|2198|419|shape|FALSE|TRUE|America/New_York|3|1840006003
Roseto|Roseto|PA|Pennsylvania|42095|Northampton|40.8778|-75.2204|2198|1349|shape|FALSE|TRUE|America/New_York|3|1840000979
Purvis|Purvis|MS|Mississippi|28073|Lamar|31.1450|-89.4054|2198|202|shape|FALSE|TRUE|America/Chicago|3|1840014969
Beech Mountain Lakes|Beech Mountain Lakes|PA|Pennsylvania|42079|Luzerne|41.0437|-75.9323|2198|546|shape|FALSE|FALSE|America/New_York|3|1840035447
Cuba City|Cuba City|WI|Wisconsin|55043|Grant|42.6036|-90.4318|2197|731|shape|FALSE|TRUE|America/Chicago|3|1840002974
Halstead|Halstead|KS|Kansas|20079|Harvey|37.9999|-97.5102|2197|629|shape|FALSE|TRUE|America/Chicago|3|1840001671
Danville|Danville|AR|Arkansas|05149|Yell|35.0529|-93.3902|2197|198|shape|FALSE|TRUE|America/Chicago|3|1840014606
New Wilmington|New Wilmington|PA|Pennsylvania|42073|Lawrence|41.1174|-80.3322|2196|804|shape|FALSE|TRUE|America/New_York|3|1840000939
Manchester|Manchester|KY|Kentucky|21051|Clay|37.1464|-83.7635|2195|301|shape|FALSE|TRUE|America/New_York|3|1840015255
Holley|Holley|FL|Florida|12113|Santa Rosa|30.4540|-86.9036|2194|238|shape|FALSE|FALSE|America/Chicago|3|1840027015
Isle of Hope|Isle of Hope|GA|Georgia|13051|Chatham|31.9848|-81.0532|2194|432|shape|FALSE|FALSE|America/New_York|3|1840013837
Clearlake Oaks|Clearlake Oaks|CA|California|06033|Lake|39.0218|-122.6593|2194|428|shape|FALSE|FALSE|America/Los_Angeles|3|1840017545
Havana|Havana|FL|Florida|12039|Gadsden|30.6298|-84.4135|2193|303|shape|FALSE|TRUE|America/New_York|3|1840015912
West Terre Haute|West Terre Haute|IN|Indiana|18167|Vigo|39.4638|-87.4506|2193|1124|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840010622
Goose Creek Village|Goose Creek Village|VA|Virginia|51107|Loudoun|39.0432|-77.5254|2193|6.2|shape|FALSE|FALSE|America/New_York|3|1840148751
Mabton|Mabton|WA|Washington|53077|Yakima|46.2116|-119.9938|2192|1004|shape|FALSE|TRUE|America/Los_Angeles|3|1840019873
Dalworthington Gardens|Dalworthington Gardens|TX|Texas|48439|Tarrant|32.6937|-97.1567|2192|473|shape|FALSE|TRUE|America/Chicago|3|1840019432
Orleans|Orleans|IN|Indiana|18117|Orange|38.6615|-86.4517|2192|495|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840009657
Tonopah|Tonopah|NV|Nevada|32023|Nye|38.0822|-117.2246|2192|91|shape|FALSE|FALSE|America/Los_Angeles|3|1840018822
Mount Vernon|Mount Vernon|KY|Kentucky|21203|Rockcastle|37.3654|-84.3401|2191|300|shape|FALSE|TRUE|America/New_York|3|1840014371
Star Valley Ranch|Star Valley Ranch|WY|Wyoming|56023|Lincoln|42.9798|-110.9617|2191|311|shape|FALSE|TRUE|America/Denver|3|1840022364
Belle Meade|Belle Meade|TN|Tennessee|47037|Davidson|36.0994|-86.8562|2191|275|shape|FALSE|TRUE|America/Chicago|3|1840013346
North Beach Haven|North Beach Haven|NJ|New Jersey|34029|Ocean|39.6008|-74.2123|2191|465|shape|FALSE|FALSE|America/New_York|3|1840005532
Greenport West|Greenport West|NY|New York|36103|Suffolk|41.0989|-72.3734|2190|263|shape|FALSE|TRUE|America/New_York|3|1840073684
Bay City|Bay City|OR|Oregon|41057|Tillamook|45.5216|-123.8858|2190|669|shape|FALSE|TRUE|America/Los_Angeles|3|1840018552
Trowbridge Park|Trowbridge Park|MI|Michigan|26103|Marquette|46.5565|-87.4417|2190|610|shape|FALSE|FALSE|America/Detroit|3|1840006571
Hinckley|Hinckley|IL|Illinois|17037|DeKalb|41.7714|-88.6397|2190|998|shape|FALSE|TRUE|America/Chicago|3|1840011337
Ben Avon|Ben Avon|SC|South Carolina|45083|Spartanburg|34.9328|-81.8763|2189|505|shape|FALSE|FALSE|America/New_York|3|1840106730
Clatskanie|Clatskanie|OR|Oregon|41009|Columbia|46.1047|-123.2045|2189|652|shape|FALSE|TRUE|America/Los_Angeles|3|1840018512
Pine Level|Pine Level|NC|North Carolina|37101|Johnston|35.5029|-78.2492|2188|491|shape|FALSE|TRUE|America/New_York|3|1840016293
Graceville|Graceville|FL|Florida|12063|Jackson|30.9609|-85.5123|2188|195|shape|FALSE|TRUE|America/Chicago|3|1840013906
North Zanesville|North Zanesville|OH|Ohio|39119|Muskingum|39.9905|-81.9982|2187|237|shape|FALSE|FALSE|America/New_York|3|1840005538
Flora Vista|Flora Vista|NM|New Mexico|35045|San Juan|36.8040|-108.0876|2187|170|shape|FALSE|FALSE|America/Denver|3|1840017670
New Egypt|New Egypt|NJ|New Jersey|34029|Ocean|40.0645|-74.5284|2187|212|shape|FALSE|FALSE|America/New_York|3|1840005531
Maurice|Maurice|LA|Louisiana|22113|Vermilion|30.1042|-92.1211|2186|303|shape|FALSE|TRUE|America/Chicago|3|1840018255
Lincoln Beach|Lincoln Beach|OR|Oregon|41041|Lincoln|44.8746|-124.0310|2186|261|shape|FALSE|FALSE|America/Los_Angeles|3|1840018591
Sugarcreek|Sugarcreek|OH|Ohio|39157|Tuscarawas|40.5076|-81.6409|2186|222|shape|FALSE|TRUE|America/New_York|3|1840012098
Toledo|Toledo|IA|Iowa|19171|Tama|41.9902|-92.5803|2185|367|shape|FALSE|TRUE|America/Chicago|3|1840010127
Eyota|Eyota|MN|Minnesota|27109|Olmsted|43.9883|-92.2321|2183|499|shape|FALSE|TRUE|America/Chicago|3|1840007916
Beverly Hills|Beverly Hills|TX|Texas|48309|McLennan|31.5224|-97.1564|2182|1279|shape|FALSE|TRUE|America/Chicago|3|1840019532
Liverpool|Liverpool|NY|New York|36067|Onondaga|43.1065|-76.2095|2182|1121|shape|FALSE|TRUE|America/New_York|3|1840004322
Northwood|Northwood|IA|Iowa|19195|Worth|43.4441|-93.2160|2182|211|shape|FALSE|TRUE|America/Chicago|3|1840007965
Lake Odessa|Lake Odessa|MI|Michigan|26067|Ionia|42.7824|-85.1374|2182|947|shape|FALSE|TRUE|America/Detroit|3|1840011016
Siena College|Siena College|NY|New York|36001|Albany|42.7190|-73.7500|2182|1783.8|shape|FALSE|FALSE|America/New_York|3|1840152107
Enterprise|Enterprise|OR|Oregon|41063|Wallowa|45.4258|-117.2789|2181|573|shape|FALSE|TRUE|America/Los_Angeles|3|1840019919
Arthur|Arthur|IL|Illinois|17041|Douglas|39.7144|-88.4696|2180|629|shape|FALSE|TRUE|America/Chicago|3|1840012506
Tracy|Tracy|MN|Minnesota|27083|Lyon|44.2390|-95.6153|2180|351|shape|FALSE|TRUE|America/Chicago|3|1840010020
Lusby|Lusby|MD|Maryland|24009|Calvert|38.3620|-76.4372|2180|239|shape|FALSE|FALSE|America/New_York|3|1840006148
Monroe Manor|Monroe Manor|NJ|New Jersey|34023|Middlesex|40.2591|-74.4743|2180|731.7|shape|FALSE|FALSE|America/New_York|3|1840148390
Armada|Armada|MI|Michigan|26099|Macomb|42.8424|-82.8832|2179|1141|shape|FALSE|TRUE|America/Detroit|3|1840011049
Whitney|Whitney|TX|Texas|48217|Hill|31.9520|-97.3192|2179|452|shape|FALSE|TRUE|America/Chicago|3|1840023105
Langley|Langley|SC|South Carolina|45003|Aiken|33.5120|-81.8344|2179|740|shape|FALSE|FALSE|America/New_York|3|1840025039
Fifth Street|Fifth Street|TX|Texas|48157|Fort Bend|29.5982|-95.5520|2179|1162|shape|FALSE|FALSE|America/Chicago|3|1840018264
Sheldon|Sheldon|TX|Texas|48201|Harris|29.8596|-95.1340|2179|335|shape|FALSE|FALSE|America/Chicago|3|1840019614
Leslie|Leslie|MI|Michigan|26065|Ingham|42.4508|-84.4334|2178|655|shape|FALSE|TRUE|America/Detroit|3|1840003103
Madison|Madison|NC|North Carolina|37157|Rockingham|36.3868|-79.9750|2178|237|shape|FALSE|TRUE|America/New_York|3|1840016053
Mulino|Mulino|OR|Oregon|41005|Clackamas|45.2234|-122.5617|2178|61|shape|FALSE|FALSE|America/Los_Angeles|3|1840023909
Sullivan's Island|Sullivan's Island|SC|South Carolina|45019|Charleston|32.7684|-79.8355|2177|336|shape|FALSE|TRUE|America/New_York|3|1840035787
Mokuleia|Mokuleia|HI|Hawaii|15003|Honolulu|21.5771|-158.1714|2176|310|shape|FALSE|FALSE|Pacific/Honolulu|3|1840029528
Fannett|Fannett|TX|Texas|48245|Jefferson|29.9250|-94.2389|2176|85|shape|FALSE|FALSE|America/Chicago|3|1840026033
Prairie Creek|Prairie Creek|AR|Arkansas|05007|Benton|36.3412|-94.0602|2176|192|shape|FALSE|FALSE|America/Chicago|3|1840027774
Cedar Point|Cedar Point|NC|North Carolina|37031|Carteret|34.6861|-77.0833|2176|377|shape|FALSE|TRUE|America/New_York|3|1840016483
Buckhorn|Buckhorn|CA|California|06005|Amador|38.4548|-120.5323|2175|170|shape|FALSE|FALSE|America/Los_Angeles|3|1840025656
Edgerton|Edgerton|OH|Ohio|39171|Williams|41.4493|-84.7500|2175|487|shape|FALSE|TRUE|America/New_York|3|1840011520
Dunkirk|Dunkirk|MD|Maryland|24009|Calvert|38.7156|-76.6730|2175|127|shape|FALSE|FALSE|America/New_York|3|1840006144
Lake Hamilton|Lake Hamilton|AR|Arkansas|05051|Garland|34.4264|-93.0887|2174|405|shape|FALSE|FALSE|America/Chicago|3|1840013588
Horse Shoe|Horse Shoe|NC|North Carolina|37089|Henderson|35.3423|-82.5568|2174|112|shape|FALSE|FALSE|America/New_York|3|1840024957
Anahuac|Anahuac|TX|Texas|48071|Chambers|29.7649|-94.6787|2174|394|shape|FALSE|TRUE|America/Chicago|3|1840019633
Commercial Point|Commercial Point|OH|Ohio|39129|Pickaway|39.7809|-83.0387|2174|252|shape|FALSE|TRUE|America/New_York|3|1840012553
Earle|Earle|AR|Arkansas|05035|Crittenden|35.2734|-90.4642|2174|258|shape|FALSE|TRUE|America/Chicago|3|1840013462
Ester|Ester|AK|Alaska|02090|Fairbanks North Star|64.8646|-148.0916|2174|13|shape|FALSE|FALSE|America/Anchorage|3|1840023460
Port Sulphur|Port Sulphur|LA|Louisiana|22075|Plaquemines|29.5046|-89.7206|2174|155|shape|FALSE|FALSE|America/Chicago|3|1840014029
Cambridge|Cambridge|IL|Illinois|17073|Henry|41.2984|-90.1907|2173|421|shape|FALSE|TRUE|America/Chicago|3|1840010243
Pinedale|Pinedale|WY|Wyoming|56035|Sublette|42.8676|-109.8707|2173|387|shape|FALSE|TRUE|America/Denver|3|1840022361
Aviston|Aviston|IL|Illinois|17027|Clinton|38.6162|-89.6087|2173|524|shape|FALSE|TRUE|America/Chicago|3|1840012851
Cherryvale|Cherryvale|KS|Kansas|20125|Montgomery|37.2690|-95.5536|2172|418|shape|FALSE|TRUE|America/Chicago|3|1840001706
Chester|Chester|WV|West Virginia|54029|Hancock|40.6129|-80.5628|2172|839|shape|FALSE|TRUE|America/New_York|3|1840005403
Peebles|Peebles|OH|Ohio|39001|Adams|38.9463|-83.4094|2172|690|shape|FALSE|TRUE|America/New_York|3|1840012770
Indian Springs|Indian Springs|GA|Georgia|13047|Catoosa|34.9606|-85.1590|2172|327|shape|FALSE|FALSE|America/New_York|3|1840013552
Lavallette|Lavallette|NJ|New Jersey|34029|Ocean|39.9699|-74.0723|2171|1027|shape|FALSE|TRUE|America/New_York|3|1840001492
Manchester|Manchester|MI|Michigan|26161|Washtenaw|42.1483|-84.0346|2170|393|shape|FALSE|TRUE|America/Detroit|3|1840011194
Aguas Claras|Aguas Claras|PR|Puerto Rico|72037|Ceiba|18.2447|-65.6662|2170|306|shape|FALSE|FALSE|America/Puerto_Rico|3|1630023722
Boquerón|Boqueron|PR|Puerto Rico|72023|Cabo Rojo|18.0340|-67.1714|2170|811|shape|FALSE|FALSE|America/Puerto_Rico|3|1630035624
Centerville|Centerville|CA|California|06089|Shasta|40.5430|-122.4638|2170|103|shape|FALSE|FALSE|America/Los_Angeles|3|1840153156
Spring Grove|Spring Grove|PA|Pennsylvania|42133|York|39.8808|-76.8641|2169|1069|shape|FALSE|TRUE|America/New_York|3|1840001464
New Carlisle|New Carlisle|IN|Indiana|18141|St. Joseph|41.7018|-86.4916|2169|414|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840009243
East Ithaca|East Ithaca|NY|New York|36109|Tompkins|42.4276|-76.4612|2169|390|shape|FALSE|FALSE|America/New_York|3|1840033874
Corazón|Corazon|PR|Puerto Rico|72057|Guayama|17.9940|-66.0833|2168|1508|shape|FALSE|FALSE|America/Puerto_Rico|3|1630035653
St. George|St. George|MO|Missouri|29189|St. Louis|38.5376|-90.3121|2168|2591.5|shape|FALSE|FALSE|America/Chicago|2|1840141651
Lincoln Park|Lincoln Park|NY|New York|36111|Ulster|41.9566|-74.0018|2167|546|shape|FALSE|FALSE|America/New_York|3|1840004720
Mount Zion|Mount Zion|GA|Georgia|13045|Carroll|33.6408|-85.1803|2167|86|shape|FALSE|TRUE|America/New_York|3|1840014802
Sparta|Sparta|MO|Missouri|29043|Christian|37.0019|-93.0843|2167|675|shape|FALSE|TRUE|America/Chicago|3|1840009925
Woodside East|Woodside East|DE|Delaware|10001|Kent|39.0676|-75.5376|2167|488|shape|FALSE|TRUE|America/New_York|3|1840073744
Rockwell City|Rockwell City|IA|Iowa|19025|Calhoun|42.3981|-94.6289|2166|198|shape|FALSE|TRUE|America/Chicago|3|1840009120
Lewisville|Lewisville|WA|Washington|53011|Clark|45.8128|-122.5143|2166|154|shape|FALSE|FALSE|America/Los_Angeles|3|1840037855
Oakwood|Oakwood|PA|Pennsylvania|42073|Lawrence|41.0111|-80.3792|2166|323|shape|FALSE|FALSE|America/New_York|3|1840005190
Carnation|Carnation|WA|Washington|53033|King|47.6443|-121.9040|2165|721|shape|FALSE|TRUE|America/Los_Angeles|3|1840018421
Coaldale|Coaldale|PA|Pennsylvania|42107|Schuylkill|40.8197|-75.9161|2164|384|shape|FALSE|TRUE|America/New_York|3|1840002755
Ogdensburg|Ogdensburg|NJ|New Jersey|34037|Sussex|41.0769|-74.5973|2164|379|shape|FALSE|TRUE|America/New_York|3|1840000787
Bodfish|Bodfish|CA|California|06029|Kern|35.5765|-118.4764|2164|101|shape|FALSE|FALSE|America/Los_Angeles|3|1840017810
Mineralwells|Mineralwells|WV|West Virginia|54107|Wood|39.1807|-81.5130|2163|543|shape|FALSE|FALSE|America/New_York|3|1840005783
