city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Avard|Avard|OK|Oklahoma|40151|Woods|36.6973|-98.7893|38|27.9|shape|FALSE|TRUE|America/Chicago|3|1840034411
Lisco|Lisco|NE|Nebraska|31069|Garden|41.4986|-102.6236|38|24|shape|FALSE|FALSE|America/Denver|3|1840033155
Smoketown|Smoketown|PA|Pennsylvania|42071|Lancaster|40.0387|-76.2040|38|25|shape|FALSE|FALSE|America/New_York|3|1840035306
Crab Orchard|Crab Orchard|NE|Nebraska|31097|Johnson|40.3347|-96.4224|38|51.4|shape|FALSE|TRUE|America/Chicago|3|1840012168
Spring Gap|Spring Gap|MD|Maryland|24001|Allegany|39.5654|-78.7054|38|22|shape|FALSE|FALSE|America/New_York|3|1840024436
Twodot|Twodot|MT|Montana|30107|Wheatland|46.4224|-110.0725|38|17|shape|FALSE|FALSE|America/Denver|3|1840032693
East Amana|East Amana|IA|Iowa|19095|Iowa|41.8089|-91.8524|38|46.2|shape|FALSE|FALSE|America/Chicago|3|1840026253
Satartia|Satartia|MS|Mississippi|28163|Yazoo|32.6719|-90.5445|38|76.0|shape|FALSE|TRUE|America/Chicago|3|1840018054
Watson|Watson|MO|Missouri|29005|Atchison|40.4799|-95.6232|38|118.5|shape|FALSE|TRUE|America/Chicago|3|1840012136
Herkimer|Herkimer|KS|Kansas|20117|Marshall|39.8924|-96.7090|38|15|shape|FALSE|FALSE|America/Chicago|3|1840030156
Fox|Fox|MT|Montana|30009|Carbon|45.2884|-109.2125|38|4|shape|FALSE|FALSE|America/Denver|3|1840077974
Piedmont|Piedmont|KS|Kansas|20073|Greenwood|37.6206|-96.3708|38|3|shape|FALSE|FALSE|America/Chicago|3|1840030209
Elliott|Elliott|MD|Maryland|24019|Dorchester|38.3095|-76.0069|38|90.6|shape|FALSE|FALSE|America/New_York|3|1840024641
Argyle|Argyle|IA|Iowa|19111|Lee|40.5359|-91.5678|37|23|shape|FALSE|FALSE|America/Chicago|3|1840029596
Ferney|Ferney|SD|South Dakota|46013|Brown|45.3346|-98.0939|37|14|shape|FALSE|FALSE|America/Chicago|3|1840023894
