city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Martin|Martin|KY|Kentucky|21071|Floyd|37.5667|-82.7604|351|185|shape|FALSE|TRUE|America/New_York|3|1840015231
Sacate Village|Sacate Village|AZ|Arizona|04021|Pinal|33.1416|-111.9811|351|38|shape|FALSE|TRUE|America/Phoenix|4|1840042772
Steward|Steward|IL|Illinois|17103|Lee|41.8493|-89.0150|350|333.8|shape|FALSE|TRUE|America/Chicago|3|1840011433
Garretts Mill|Garretts Mill|MD|Maryland|24043|Washington|39.3534|-77.6892|350|236|shape|FALSE|FALSE|America/New_York|3|1840024401
Traskwood|Traskwood|AR|Arkansas|05125|Saline|34.4533|-92.6642|350|24|shape|FALSE|TRUE|America/Chicago|3|1840015542
Bode|Bode|IA|Iowa|19091|Humboldt|42.8680|-94.2863|350|334|shape|FALSE|TRUE|America/Chicago|3|1840006906
Cannonville|Cannonville|UT|Utah|49017|Garfield|37.5689|-112.0531|350|52|shape|FALSE|TRUE|America/Denver|3|1840022530
Oakdale|Oakdale|NE|Nebraska|31003|Antelope|42.0701|-97.9671|350|259|shape|FALSE|TRUE|America/Chicago|3|1840011190
Delanson|Delanson|NY|New York|36093|Schenectady|42.7474|-74.1841|350|209|shape|FALSE|TRUE|America/New_York|3|1840004449
Holt|Holt|MO|Missouri|29047|Clay|39.4552|-94.3371|350|301|shape|FALSE|TRUE|America/Chicago|3|1840007372
Dodgeville|Dodgeville|MI|Michigan|26061|Houghton|47.0909|-88.5828|350|250|shape|FALSE|FALSE|America/Detroit|3|1840070682
Bremen|Bremen|KY|Kentucky|21177|Muhlenberg|37.3623|-87.2201|350|200.7|shape|FALSE|TRUE|America/Chicago|3|1840013250
Pleasanton|Pleasanton|NM|New Mexico|35003|Catron|33.2759|-108.8792|350|88|shape|FALSE|FALSE|America/Denver|3|1840025027
Henderson|Henderson|MI|Michigan|26155|Shiawassee|43.0872|-84.1933|350|37|shape|FALSE|FALSE|America/Detroit|3|1840025452
Kilbourne|Kilbourne|IL|Illinois|17125|Mason|40.1519|-90.0115|350|151|shape|FALSE|TRUE|America/Chicago|3|1840012206
West Logan|West Logan|WV|West Virginia|54045|Logan|37.8679|-81.9907|350|443.2|shape|FALSE|TRUE|America/New_York|3|1840038300
Stuckey|Stuckey|SC|South Carolina|45089|Williamsburg|33.7321|-79.5132|349|144|shape|FALSE|TRUE|America/New_York|3|1840016793
Vernon|Vernon|UT|Utah|49045|Tooele|40.0956|-112.4458|349|16|shape|FALSE|TRUE|America/Denver|3|1840022395
Michiana Shores|Michiana Shores|IN|Indiana|18091|LaPorte|41.7564|-86.8181|349|285.6|shape|FALSE|TRUE|America/Detroit|3|1840009248
Schuyler|Schuyler|VA|Virginia|51125|Nelson|37.7939|-78.7002|349|87|shape|FALSE|FALSE|America/New_York|3|1840024715
Jacksonville|Jacksonville|OH|Ohio|39009|Athens|39.4761|-82.0796|349|473.8|shape|FALSE|TRUE|America/New_York|3|1840012624
Lobeco|Lobeco|SC|South Carolina|45013|Beaufort|32.5512|-80.7354|349|51|shape|FALSE|FALSE|America/New_York|3|1840035807
Richburg|Richburg|SC|South Carolina|45023|Chester|34.7168|-81.0196|349|153|shape|FALSE|TRUE|America/New_York|3|1840017924
Ridgeway|Ridgeway|OH|Ohio|39091|Logan|40.5122|-83.5692|349|238|shape|FALSE|TRUE|America/New_York|3|1840011959
Flemington|Flemington|WV|West Virginia|54091|Taylor|39.2666|-80.1285|349|119.3|shape|FALSE|TRUE|America/New_York|3|1840005778
Magnetic Springs|Magnetic Springs|OH|Ohio|39159|Union|40.3535|-83.2626|349|458.5|shape|FALSE|TRUE|America/New_York|3|1840012172
Sand Hill|Sand Hill|OK|Oklahoma|40101|Muskogee|35.6343|-95.2012|349|17|shape|FALSE|TRUE|America/Chicago|4|1840074625
Vanderbilt|Vanderbilt|PA|Pennsylvania|42051|Fayette|40.0339|-79.6630|349|193.8|shape|FALSE|TRUE|America/New_York|3|1840000672
Wiley|Wiley|CO|Colorado|08099|Prowers|38.1553|-102.7193|349|333.2|shape|FALSE|TRUE|America/Denver|3|1840022523
Penn Lake Park|Penn Lake Park|PA|Pennsylvania|42079|Luzerne|41.1149|-75.7736|348|84|shape|FALSE|TRUE|America/New_York|3|1840000765
Gans|Gans|OK|Oklahoma|40135|Sequoyah|35.3874|-94.6946|348|394.8|shape|FALSE|TRUE|America/Chicago|3|1840021751
Liberty|Liberty|TN|Tennessee|47041|DeKalb|36.0046|-85.9779|348|116|shape|FALSE|TRUE|America/Chicago|3|1840016184
Searchlight|Searchlight|NV|Nevada|32003|Clark|35.4555|-114.9204|348|34|shape|FALSE|FALSE|America/Los_Angeles|3|1840019027
Halliday|Halliday|ND|North Dakota|38025|Dunn|47.3521|-102.3387|348|291|shape|FALSE|TRUE|America/Denver|3|1840000126
Dinwiddie|Dinwiddie|VA|Virginia|51053|Dinwiddie|37.0850|-77.5865|348|26|shape|FALSE|FALSE|America/New_York|3|1840140552
