city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Salt Rock|Salt Rock|WV|West Virginia|54011|Cabell|38.3243|-82.2172|158|19|shape|FALSE|FALSE|America/New_York|3|1840025663
Normandy|Normandy|TN|Tennessee|47003|Bedford|35.4523|-86.2582|158|116.1|shape|FALSE|TRUE|America/Chicago|3|1840016310
Gough|Gough|GA|Georgia|13033|Burke|33.0880|-82.2286|158|72|shape|FALSE|FALSE|America/New_York|3|1840029259
Bannock|Bannock|OH|Ohio|39013|Belmont|40.1043|-80.9757|158|154.0|shape|FALSE|FALSE|America/New_York|3|1840026547
Brandywine|Brandywine|WV|West Virginia|54071|Pendleton|38.6218|-79.2415|158|124|shape|FALSE|FALSE|America/New_York|3|1840025643
Ore Hill|Ore Hill|PA|Pennsylvania|42013|Blair|40.2924|-78.4032|158|121.5|shape|FALSE|FALSE|America/New_York|3|1840100675
Wilton|Wilton|MN|Minnesota|27007|Beltrami|47.5071|-94.9985|158|21|shape|FALSE|TRUE|America/Chicago|3|1840009959
Outlook|Outlook|WA|Washington|53077|Yakima|46.3311|-120.0924|158|280.9|shape|FALSE|FALSE|America/Los_Angeles|3|1840023855
Fowlerton|Fowlerton|TX|Texas|48283|La Salle|28.4608|-98.8114|158|28|shape|FALSE|FALSE|America/Chicago|3|1840018285
Mount Auburn|Mount Auburn|IA|Iowa|19011|Benton|42.2573|-92.0939|157|173.4|shape|FALSE|TRUE|America/Chicago|3|1840008093
Alpine Northwest|Alpine Northwest|WY|Wyoming|56023|Lincoln|43.1817|-111.0347|157|49|shape|FALSE|TRUE|America/Denver|4|1840036652
Henderson|Henderson|MD|Maryland|24011|Caroline|39.0750|-75.7660|157|124.8|shape|FALSE|TRUE|America/New_York|3|1840005936
Meno|Meno|OK|Oklahoma|40093|Major|36.3882|-98.1779|157|305.1|shape|FALSE|TRUE|America/Chicago|3|1840022672
Braddyville|Braddyville|IA|Iowa|19145|Page|40.5806|-95.0312|157|108|shape|FALSE|TRUE|America/Chicago|3|1840007184
Lignite|Lignite|ND|North Dakota|38013|Burke|48.8771|-102.5645|157|176.3|shape|FALSE|TRUE|America/Chicago|3|1840000039
Tylersville|Tylersville|PA|Pennsylvania|42035|Clinton|40.9897|-77.4427|157|57|shape|FALSE|FALSE|America/New_York|3|1840035229
Shoal Creek Estates|Shoal Creek Estates|MO|Missouri|29145|Newton|37.0173|-94.4933|157|169.9|shape|FALSE|TRUE|America/Chicago|3|1840010893
Cheshire|Cheshire|OH|Ohio|39053|Gallia|38.9502|-82.1130|157|78|shape|FALSE|TRUE|America/New_York|3|1840010708
Richvale|Richvale|CA|California|06007|Butte|39.4937|-121.7508|157|65|shape|FALSE|FALSE|America/Los_Angeles|3|1840025573
Kanorado|Kanorado|KS|Kansas|20181|Sherman|39.3366|-102.0373|157|6.7|shape|FALSE|TRUE|America/Denver|3|1840008468
Lavina|Lavina|MT|Montana|30037|Golden Valley|46.2950|-108.9388|157|59|shape|FALSE|TRUE|America/Denver|3|1840021167
Miller|Miller|NE|Nebraska|31019|Buffalo|40.9276|-99.3901|157|129.2|shape|FALSE|TRUE|America/Chicago|3|1840011834
Aucilla|Aucilla|FL|Florida|12065|Jefferson|30.4770|-83.7604|157|30|shape|FALSE|FALSE|America/New_York|3|1840026004
Portis|Portis|KS|Kansas|20141|Osborne|39.5638|-98.6916|157|92.7|shape|FALSE|TRUE|America/Chicago|3|1840009578
Pencil Bluff|Pencil Bluff|AR|Arkansas|05097|Montgomery|34.6299|-93.7350|157|114|shape|FALSE|FALSE|America/Chicago|3|1840040566
Longstreet|Longstreet|LA|Louisiana|22031|De Soto|32.0976|-93.9505|157|29|shape|FALSE|TRUE|America/Chicago|3|1840018120
Medill|Medill|MO|Missouri|29045|Clark|40.4299|-91.7742|157|77|shape|FALSE|FALSE|America/Chicago|3|1840139913
Mellott|Mellott|IN|Indiana|18045|Fountain|40.1641|-87.1488|157|210.9|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840009443
Holcomb|Holcomb|IL|Illinois|17141|Ogle|42.0646|-89.0970|157|116.4|shape|FALSE|FALSE|America/Chicago|3|1840051305
Wasola|Wasola|MO|Missouri|29153|Ozark|36.7857|-92.5685|157|11|shape|FALSE|FALSE|America/Chicago|3|1840025753
New Baltimore|New Baltimore|PA|Pennsylvania|42111|Somerset|39.9835|-78.7723|157|137.3|shape|FALSE|TRUE|America/New_York|3|1840003741
Central City|Central City|SD|South Dakota|46081|Lawrence|44.3685|-103.7706|157|36.5|shape|FALSE|TRUE|America/Denver|3|1840000311
La Tour|La Tour|MO|Missouri|29101|Johnson|38.6348|-94.1017|157|89.1|shape|FALSE|TRUE|America/Chicago|4|1840032129
Klondike|Klondike|MD|Maryland|24001|Allegany|39.6102|-78.9633|157|154|shape|FALSE|FALSE|America/New_York|3|1840024425
Montpelier|Montpelier|IA|Iowa|19139|Muscatine|41.4614|-90.8114|157|123|shape|FALSE|FALSE|America/Chicago|3|1840057451
Worthville|Worthville|KY|Kentucky|21041|Carroll|38.6098|-85.0681|157|105.4|shape|FALSE|TRUE|America/New_York|3|1840015183
Franklin|Franklin|MD|Maryland|24001|Allegany|39.4993|-79.0511|157|117.8|shape|FALSE|FALSE|America/New_York|3|1840031340
Fortuna|Fortuna|MO|Missouri|29135|Moniteau|38.5676|-92.7970|157|112.1|shape|FALSE|FALSE|America/Chicago|3|1840032052
Century|Century|WV|West Virginia|54001|Barbour|39.1003|-80.1883|157|98.1|shape|FALSE|FALSE|America/New_York|3|1840025623
Paradise Valley|Paradise Valley|NV|Nevada|32013|Humboldt|41.4937|-117.5470|157|17|shape|FALSE|FALSE|America/Los_Angeles|3|1840024113
Shevlin|Shevlin|MN|Minnesota|27029|Clearwater|47.5302|-95.2595|156|74|shape|FALSE|TRUE|America/Chicago|3|1840008827
Falling Spring|Falling Spring|WV|West Virginia|54025|Greenbrier|37.9926|-80.3576|156|116|shape|FALSE|TRUE|America/New_York|3|1840006284
Goehner|Goehner|NE|Nebraska|31159|Seward|40.8327|-97.2196|156|166.9|shape|FALSE|TRUE|America/Chicago|3|1840011838
Rowan|Rowan|IA|Iowa|19197|Wright|42.7399|-93.5503|156|115|shape|FALSE|TRUE|America/Chicago|3|1840009080
Harbor View|Harbor View|OH|Ohio|39095|Lucas|41.6932|-83.4447|156|545.9|shape|FALSE|TRUE|America/New_York|3|1840000568
Harding|Harding|MN|Minnesota|27097|Morrison|46.1191|-94.0368|156|19|shape|FALSE|TRUE|America/Chicago|3|1840006671
Harrisville|Harrisville|OH|Ohio|39067|Harrison|40.1815|-80.8869|156|232.9|shape|FALSE|TRUE|America/New_York|3|1840012213
Klein|Klein|MT|Montana|30065|Musselshell|46.3983|-108.5525|156|4|shape|FALSE|FALSE|America/Denver|3|1840017378
Rollins|Rollins|MT|Montana|30047|Lake|47.9106|-114.1948|156|20|shape|FALSE|FALSE|America/Denver|3|1840018396
Kingdom City|Kingdom City|MO|Missouri|29027|Callaway|38.9473|-91.9389|156|33|shape|FALSE|TRUE|America/Chicago|3|1840012764
Kirkwood|Kirkwood|CA|California|06003|Alpine|38.6930|-120.0641|156|13|shape|FALSE|FALSE|America/Los_Angeles|3|1840017584
San Cristobal|San Cristobal|NM|New Mexico|35055|Taos|36.6101|-105.6319|156|8|shape|FALSE|FALSE|America/Denver|3|1840026911
Kirwin|Kirwin|KS|Kansas|20147|Phillips|39.6698|-99.1217|156|65|shape|FALSE|TRUE|America/Chicago|3|1840008423
Norwood|Norwood|MI|Michigan|26029|Charlevoix|45.2239|-85.3791|156|29|shape|FALSE|FALSE|America/Detroit|3|1840025193
Grasston|Grasston|MN|Minnesota|27065|Kanabec|45.7958|-93.1526|156|64|shape|FALSE|TRUE|America/Chicago|3|1840007763
Winthrop|Winthrop|AR|Arkansas|05081|Little River|33.8308|-94.3542|156|57|shape|FALSE|TRUE|America/Chicago|3|1840015654
Philo|Philo|CA|California|06045|Mendocino|39.0657|-123.4450|156|29|shape|FALSE|FALSE|America/Los_Angeles|3|1840026600
Hartland|Hartland|IL|Illinois|17111|McHenry|42.3631|-88.5086|156|38.7|shape|FALSE|FALSE|America/Chicago|3|1840029750
Mount Vision|Mount Vision|NY|New York|36077|Otsego|42.5830|-75.0518|156|39|shape|FALSE|FALSE|America/New_York|3|1840084650
Brinson|Brinson|GA|Georgia|13087|Decatur|30.9784|-84.7379|155|29|shape|FALSE|TRUE|America/New_York|3|1840015890
Geneva|Geneva|GA|Georgia|13263|Talbot|32.5790|-84.5516|155|76|shape|FALSE|TRUE|America/New_York|3|1840016957
Rentiesville|Rentiesville|OK|Oklahoma|40091|McIntosh|35.5336|-95.4848|155|35|shape|FALSE|TRUE|America/Chicago|3|1840021760
Broadview|Broadview|MT|Montana|30111|Yellowstone|46.0988|-108.8789|155|184.4|shape|FALSE|TRUE|America/Denver|3|1840021177
Syracuse|Syracuse|MO|Missouri|29141|Morgan|38.6695|-92.8764|155|150.5|shape|FALSE|TRUE|America/Chicago|3|1840009650
Dodgingtown|Dodgingtown|CT|Connecticut|09001|Fairfield|41.3799|-73.3524|155|139|shape|FALSE|FALSE|America/New_York|3|1840044480
Hepler|Hepler|KS|Kansas|20037|Crawford|37.6637|-94.9697|155|59|shape|FALSE|TRUE|America/Chicago|3|1840007593
Mendota|Mendota|VA|Virginia|51191|Washington|36.7102|-82.3048|155|61|shape|FALSE|FALSE|America/New_York|3|1840037395
Aurora Springs|Aurora Springs|MO|Missouri|29131|Miller|38.3243|-92.5822|155|139|shape|FALSE|FALSE|America/Chicago|3|1840075539
Wilkesville|Wilkesville|OH|Ohio|39163|Vinton|39.0768|-82.3275|155|79.4|shape|FALSE|TRUE|America/New_York|3|1840012689
Bradley|Bradley|OK|Oklahoma|40051|Grady|34.8780|-97.7088|155|106.6|shape|FALSE|TRUE|America/Chicago|3|1840021800
Babb|Babb|MT|Montana|30035|Glacier|48.8777|-113.4408|155|6|shape|FALSE|FALSE|America/Denver|3|1840023752
Aubrey|Aubrey|AR|Arkansas|05077|Lee|34.7197|-90.8975|155|26.4|shape|FALSE|TRUE|America/Chicago|3|1840015535
Childers Hill|Childers Hill|TN|Tennessee|47071|Hardin|35.0816|-88.3267|155|49|shape|FALSE|FALSE|America/Chicago|3|1840109489
