city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Nessen City|Nessen City|MI|Michigan|26019|Benzie|44.5202|-85.8729|122|38|shape|FALSE|FALSE|America/Detroit|3|1840023946
Perrin|Perrin|TX|Texas|48237|Jack|33.0348|-98.0693|122|29|shape|FALSE|FALSE|America/Chicago|3|1840025880
Hansell|Hansell|IA|Iowa|19069|Franklin|42.7578|-93.1041|122|118.8|shape|FALSE|TRUE|America/Chicago|3|1840006911
Isabel|Isabel|KS|Kansas|20007|Barber|37.4672|-98.5515|122|53.6|shape|FALSE|TRUE|America/Chicago|3|1840008755
West Line|West Line|MO|Missouri|29037|Cass|38.6359|-94.5869|122|103|shape|FALSE|TRUE|America/Chicago|3|1840012842
Metaline|Metaline|WA|Washington|53051|Pend Oreille|48.8533|-117.3893|122|241.6|shape|FALSE|TRUE|America/Los_Angeles|3|1840022276
Whispering Pines|Whispering Pines|AZ|Arizona|04007|Gila|34.3728|-111.2813|122|109|shape|FALSE|FALSE|America/Phoenix|3|1840027969
Tobias|Tobias|NE|Nebraska|31151|Saline|40.4185|-97.3367|122|152.0|shape|FALSE|TRUE|America/Chicago|3|1840012058
Newald|Newald|WI|Wisconsin|55041|Forest|45.7396|-88.7004|122|57|shape|FALSE|FALSE|America/Chicago|3|1840025286
St. Joseph|St. Joseph|IA|Iowa|19109|Kossuth|42.9123|-94.2308|122|54|shape|FALSE|FALSE|America/Chicago|3|1840024034
Idanha|Idanha|OR|Oregon|41047|Marion|44.7029|-122.0843|122|63|shape|FALSE|TRUE|America/Los_Angeles|3|1840018579
Hutchinson|Hutchinson|NJ|New Jersey|34041|Warren|40.7800|-75.1204|122|48|shape|FALSE|FALSE|America/New_York|3|1840033304
West Amana|West Amana|IA|Iowa|19095|Iowa|41.8083|-91.9654|122|72.1|shape|FALSE|FALSE|America/Chicago|3|1840026252
Bivalve|Bivalve|MD|Maryland|24045|Wicomico|38.3054|-75.8847|122|32|shape|FALSE|FALSE|America/New_York|3|1840024665
West Canaveral Groves|West Canaveral Groves|FL|Florida|12009|Brevard|28.3928|-80.8459|122|12|shape|FALSE|FALSE|America/New_York|3|1840152377
Valley|Valley|WA|Washington|53065|Stevens|48.1730|-117.7244|122|109|shape|FALSE|FALSE|America/Los_Angeles|3|1840025241
Willapa|Willapa|WA|Washington|53049|Pacific|46.6755|-123.6648|122|141.4|shape|FALSE|FALSE|America/Los_Angeles|3|1840025262
Gilmanton|Gilmanton|WI|Wisconsin|55011|Buffalo|44.4738|-91.6785|122|14|shape|FALSE|FALSE|America/Chicago|3|1840037953
Townshend|Townshend|VT|Vermont|50025|Windham|43.0470|-72.6692|122|71.4|shape|FALSE|FALSE|America/New_York|3|1840152970
Turner|Turner|MI|Michigan|26011|Arenac|44.1422|-83.7875|121|45|shape|FALSE|TRUE|America/Detroit|3|1840013145
Rondo|Rondo|AR|Arkansas|05077|Lee|34.6575|-90.8208|121|46|shape|FALSE|TRUE|America/Chicago|3|1840017911
Marblemount|Marblemount|WA|Washington|53057|Skagit|48.5418|-121.4397|121|12|shape|FALSE|FALSE|America/Los_Angeles|3|1840017315
Grass Range|Grass Range|MT|Montana|30027|Fergus|47.0261|-108.8031|121|123.8|shape|FALSE|TRUE|America/Denver|3|1840021113
Elizabeth|Elizabeth|IN|Indiana|18061|Harrison|38.1241|-85.9737|121|234.7|shape|FALSE|TRUE|America/Kentucky/Louisville|3|1840010812
Stanley|Stanley|LA|Louisiana|22031|De Soto|31.9608|-93.8995|121|21|shape|FALSE|TRUE|America/Chicago|3|1840018122
Pine Level|Pine Level|FL|Florida|12113|Santa Rosa|30.8887|-87.1687|121|6|shape|FALSE|TRUE|America/Chicago|4|1840039052
O'Brien|O'Brien|TX|Texas|48207|Haskell|33.3802|-99.8438|121|92|shape|FALSE|TRUE|America/Chicago|3|1840020672
Kimball|Kimball|WV|West Virginia|54047|McDowell|37.4268|-81.5078|121|179.8|shape|FALSE|TRUE|America/New_York|3|1840006427
Zemple|Zemple|MN|Minnesota|27061|Itasca|47.3207|-93.7859|121|71|shape|FALSE|TRUE|America/Chicago|3|1840009964
Providence|Providence|AL|Alabama|01091|Marengo|32.3424|-87.7761|121|26|shape|FALSE|TRUE|America/Chicago|3|1840018105
Fingal|Fingal|ND|North Dakota|38003|Barnes|46.7625|-97.7932|121|112|shape|FALSE|TRUE|America/Chicago|3|1840000162
