city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Diaperville|Diaperville|WI|Wisconsin|55003|Ashland|46.6059|-90.7095|21|18|shape|FALSE|TRUE|America/Chicago|4|1840042155
Pedro Bay|Pedro Bay|AK|Alaska|02164|Lake and Peninsula|59.7862|-154.1321|21|0.0|shape|FALSE|FALSE|America/Anchorage|3|1840023289
Old Station|Old Station|CA|California|06089|Shasta|40.6722|-121.4227|21|3|shape|FALSE|FALSE|America/Los_Angeles|3|1840026369
La Madera|La Madera|NM|New Mexico|35039|Rio Arriba|36.3808|-106.0420|21|19.0|shape|FALSE|FALSE|America/Denver|3|1840024834
Dudley|Dudley|SD|South Dakota|46047|Fall River|43.3082|-103.8192|21|21.1|shape|FALSE|FALSE|America/Denver|3|1840108004
Alsen|Alsen|ND|North Dakota|38019|Cavalier|48.6303|-98.7048|21|18.4|shape|FALSE|TRUE|America/Chicago|3|1840016544
Hollywood|Hollywood|MO|Missouri|29069|Dunklin|36.0515|-90.1860|21|26.7|shape|FALSE|FALSE|America/Chicago|3|1840032142
Evansville|Evansville|AR|Arkansas|05143|Washington|35.7924|-94.4911|21|5|shape|FALSE|FALSE|America/Chicago|3|1840001740
Bucks Lake|Bucks Lake|CA|California|06063|Plumas|39.8797|-121.1941|21|0.5|shape|FALSE|FALSE|America/Los_Angeles|3|1840028336
Nelagoney|Nelagoney|OK|Oklahoma|40113|Osage|36.6260|-96.2440|21|20|shape|FALSE|FALSE|America/Chicago|3|1840034471
Sapphire Ridge|Sapphire Ridge|MT|Montana|30045|Judith Basin|46.8866|-110.2522|21|15|shape|FALSE|FALSE|America/Denver|4|1840153138
Stockham|Stockham|NE|Nebraska|31081|Hamilton|40.7164|-97.9434|20|4.8|shape|FALSE|TRUE|America/Chicago|3|1840011737
Gerster|Gerster|MO|Missouri|29185|St. Clair|37.9548|-93.5769|20|29.4|shape|FALSE|TRUE|America/Chicago|3|1840010824
Stidham|Stidham|OK|Oklahoma|40091|McIntosh|35.3686|-95.7008|20|19.3|shape|FALSE|TRUE|America/Chicago|3|1840022749
Lake Minchumina|Lake Minchumina|AK|Alaska|02290|Yukon-Koyukuk|63.7981|-152.3446|20|0.0|shape|FALSE|FALSE|America/Anchorage|3|1840023426
Lonerock|Lonerock|OR|Oregon|41021|Gilliam|45.0887|-119.8841|20|7|shape|FALSE|TRUE|America/Los_Angeles|3|1840019925
Lake Roberts Heights|Lake Roberts Heights|NM|New Mexico|35017|Grant|33.0271|-108.1381|20|10|shape|FALSE|TRUE|America/Denver|5|1840040127
Burchinal|Burchinal|IA|Iowa|19033|Cerro Gordo|43.0648|-93.2786|20|52.2|shape|FALSE|FALSE|America/Chicago|3|1840024051
Megargel|Megargel|AL|Alabama|01099|Monroe|31.3781|-87.4307|20|11|shape|FALSE|FALSE|America/Chicago|3|1840025942
Witts Springs|Witts Springs|AR|Arkansas|05129|Searcy|35.7696|-92.8769|20|2|shape|FALSE|FALSE|America/Chicago|3|1840001752
Salmon Creek|Salmon Creek|CA|California|06097|Sonoma|38.3462|-123.0595|20|6|shape|FALSE|FALSE|America/Los_Angeles|3|1840024620
Lorenzo|Lorenzo|NE|Nebraska|31033|Cheyenne|41.0576|-103.0821|20|0.0|shape|FALSE|FALSE|America/Denver|3|1840024156
Tonsina|Tonsina|AK|Alaska|02066|Copper River|61.5617|-145.0656|20|0.0|shape|FALSE|FALSE|America/Anchorage|3|1840023401
Botines|Botines|TX|Texas|48479|Webb|27.7719|-99.4571|20|4|shape|FALSE|FALSE|America/Chicago|3|1840018290
Hunter Creek|Hunter Creek|AZ|Arizona|04007|Gila|34.3054|-111.0159|20|3|shape|FALSE|TRUE|America/Phoenix|5|1840075397
Grainola|Grainola|OK|Oklahoma|40113|Osage|36.9379|-96.6488|19|27.7|shape|FALSE|TRUE|America/Chicago|3|1840021594
Middle Frisco|Middle Frisco|NM|New Mexico|35003|Catron|33.6949|-108.7639|19|13|shape|FALSE|TRUE|America/Denver|4|1840040152
Linoma Beach|Linoma Beach|NE|Nebraska|31153|Sarpy|41.0583|-96.3149|19|13|shape|FALSE|FALSE|America/Chicago|3|1840078530
Tamora|Tamora|NE|Nebraska|31159|Seward|40.8945|-97.2252|19|7|shape|FALSE|FALSE|America/Chicago|3|1840024238
Fallis|Fallis|OK|Oklahoma|40081|Lincoln|35.7493|-97.1182|19|21.5|shape|FALSE|TRUE|America/Chicago|3|1840021712
Attu Station|Attu Station|AK|Alaska|02016|Aleutians West|52.8955|173.1230|19|0.0|shape|FALSE|TRUE|America/Adak|5|1840037663
Little Valley|Little Valley|CA|California|06035|Lassen|40.8931|-121.1780|19|17|shape|FALSE|FALSE|America/Los_Angeles|3|1840028087
Spring Garden|Spring Garden|CA|California|06063|Plumas|39.9012|-120.7936|19|11|shape|FALSE|FALSE|America/Los_Angeles|3|1840018764
Alamo Lake|Alamo Lake|AZ|Arizona|04012|La Paz|34.2588|-113.5079|19|0.0|shape|FALSE|TRUE|America/Phoenix|5|1840075227
Carlton|Carlton|KS|Kansas|20041|Dickinson|38.6866|-97.2931|19|48.5|shape|FALSE|TRUE|America/Chicago|3|1840007409
Redcrest|Redcrest|CA|California|06023|Humboldt|40.3988|-123.9474|19|12|shape|FALSE|FALSE|America/Los_Angeles|3|1840026325
Scott|Scott|MS|Mississippi|28011|Bolivar|33.5945|-91.0760|19|16|shape|FALSE|FALSE|America/Chicago|3|1840032425
Lisbon|Lisbon|MD|Maryland|24027|Howard|39.3361|-77.0700|19|4|shape|FALSE|FALSE|America/New_York|3|1840066628
Pickens|Pickens|WV|West Virginia|54083|Randolph|38.6559|-80.2160|19|3|shape|FALSE|FALSE|America/New_York|3|1840025634
Tancred|Tancred|CA|California|06113|Yolo|38.7619|-122.1547|19|4|shape|FALSE|FALSE|America/Los_Angeles|3|1840130758
Plantation Island|Plantation Island|FL|Florida|12021|Collier|25.8475|-81.3757|19|12|shape|FALSE|FALSE|America/New_York|3|1840028759
Gamaliel|Gamaliel|AR|Arkansas|05005|Baxter|36.4518|-92.2369|19|13|shape|FALSE|FALSE|America/Chicago|3|1840027734
Capulin|Capulin|NM|New Mexico|35059|Union|36.7445|-103.9958|19|4|shape|FALSE|FALSE|America/Denver|3|1840024854
Seneca|Seneca|NE|Nebraska|31171|Thomas|42.0440|-100.8321|19|11.9|shape|FALSE|FALSE|America/Denver|3|1840011365
Red Devil|Red Devil|AK|Alaska|02050|Bethel|61.7735|-157.3461|19|0.0|shape|FALSE|FALSE|America/Anchorage|3|1840023345
