city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Kingstowne|Kingstowne|VA|Virginia|51059|Fairfax|38.7625|-77.1444|17585|2367|shape|FALSE|TRUE|America/New_York|2|1840041770
Tinton Falls|Tinton Falls|NJ|New Jersey|34025|Monmouth|40.2708|-74.0949|17584|438|shape|FALSE|TRUE|America/New_York|3|1840001368
Sunland Park|Sunland Park|NM|New Mexico|35013|Doña Ana|31.8201|-106.5958|17581|499|shape|FALSE|TRUE|America/Denver|3|1840033664
Greenfield|Greenfield|CA|California|06053|Monterey|36.3242|-121.2428|17565|2326|shape|FALSE|TRUE|America/Los_Angeles|2|1840020356
Paradise|Paradise|CA|California|06007|Butte|39.7558|-121.6063|17560|370|shape|FALSE|TRUE|America/Los_Angeles|3|1840022428
Glenvar Heights|Glenvar Heights|FL|Florida|12086|Miami-Dade|25.7090|-80.3155|17560|1662|shape|FALSE|FALSE|America/New_York|3|1840014238
Wantagh|Wantagh|NY|New York|36059|Nassau|40.6686|-73.5104|17548|1769|shape|FALSE|FALSE|America/New_York|3|1840005281
Manassas Park|Manassas Park|VA|Virginia|51685|Manassas Park|38.7709|-77.4429|17548|2233|shape|FALSE|TRUE|America/New_York|2|1840003838
Lithia Springs|Lithia Springs|GA|Georgia|13097|Douglas|33.7811|-84.6487|17545|501|shape|FALSE|FALSE|America/New_York|3|1840013740
Godfrey|Godfrey|IL|Illinois|17119|Madison|38.9577|-90.2156|17540|196|shape|FALSE|TRUE|America/Chicago|3|1840012796
Marion|Marion|IL|Illinois|17199|Williamson|37.7345|-88.9420|17539|470|shape|FALSE|TRUE|America/Chicago|3|1840008712
Bostonia|Bostonia|CA|California|06073|San Diego|32.8189|-116.9480|17532|3514|shape|FALSE|FALSE|America/Los_Angeles|2|1840018018
Centerville|Centerville|UT|Utah|49011|Davis|40.9284|-111.8848|17527|1134|shape|FALSE|TRUE|America/Denver|3|1840018734
Kingsland|Kingsland|GA|Georgia|13039|Camden|30.8194|-81.7216|17523|151|shape|FALSE|TRUE|America/New_York|3|1840014991
Wailuku|Wailuku|HI|Hawaii|15009|Maui|20.8834|-156.5059|17523|1284|shape|FALSE|FALSE|Pacific/Honolulu|3|1840023239
South Houston|South Houston|TX|Texas|48201|Harris|29.6611|-95.2285|17522|2220|shape|FALSE|TRUE|America/Chicago|2|1840022199
Martinsburg|Martinsburg|WV|West Virginia|54003|Berkeley|39.4582|-77.9776|17517|1019|shape|FALSE|TRUE|America/New_York|3|1840005742
Anoka|Anoka|MN|Minnesota|27003|Anoka|45.2099|-93.3893|17512|1015|shape|FALSE|TRUE|America/Chicago|3|1840006717
Hermiston|Hermiston|OR|Oregon|41059|Umatilla|45.8326|-119.2854|17512|816|shape|FALSE|TRUE|America/Los_Angeles|3|1840019915
Parole|Parole|MD|Maryland|24003|Anne Arundel|38.9863|-76.5518|17505|658|shape|FALSE|FALSE|America/New_York|3|1840005913
New Philadelphia|New Philadelphia|OH|Ohio|39157|Tuscarawas|40.4860|-81.4401|17485|821|shape|FALSE|TRUE|America/New_York|3|1840001281
Redland|Redland|MD|Maryland|24031|Montgomery|39.1339|-77.1464|17475|937|shape|FALSE|FALSE|America/New_York|3|1840005838
Brownsville|Brownsville|FL|Florida|12086|Miami-Dade|25.8216|-80.2417|17475|2959|shape|FALSE|FALSE|America/New_York|2|1840029024
Centralia|Centralia|WA|Washington|53041|Lewis|46.7223|-122.9696|17473|885|shape|FALSE|TRUE|America/Los_Angeles|3|1840018471
Tiffin|Tiffin|OH|Ohio|39147|Seneca|41.1165|-83.1805|17473|982|shape|FALSE|TRUE|America/New_York|3|1840000821
Otsego|Otsego|MN|Minnesota|27171|Wright|45.2660|-93.6201|17429|227|shape|FALSE|TRUE|America/Chicago|3|1840008899
Tillmans Corner|Tillmans Corner|AL|Alabama|01097|Mobile|30.5819|-88.2128|17419|517|shape|FALSE|FALSE|America/Chicago|3|1840013896
Palmview|Palmview|TX|Texas|48215|Hidalgo|26.2318|-98.3823|17410|886|shape|FALSE|TRUE|America/Chicago|3|1840021028
Ada|Ada|OK|Oklahoma|40123|Pontotoc|34.7662|-96.6681|17399|333|shape|FALSE|TRUE|America/Chicago|3|1840019191
Oswego|Oswego|NY|New York|36075|Oswego|43.4516|-76.5005|17371|880|shape|FALSE|TRUE|America/New_York|3|1840000348
Hinsdale|Hinsdale|IL|Illinois|17043|DuPage|41.8007|-87.9273|17366|1450|shape|FALSE|TRUE|America/Chicago|3|1840011403
Iselin|Iselin|NJ|New Jersey|34023|Middlesex|40.5697|-74.3172|17356|2126|shape|FALSE|FALSE|America/New_York|2|1840005418
Nederland|Nederland|TX|Texas|48245|Jefferson|29.9707|-94.0015|17334|1128|shape|FALSE|TRUE|America/Chicago|3|1840020917
Estelle|Estelle|LA|Louisiana|22051|Jefferson|29.8447|-90.1021|17330|1442|shape|FALSE|FALSE|America/Chicago|3|1840013111
Ocean Acres|Ocean Acres|NJ|New Jersey|34029|Ocean|39.7430|-74.2805|17325|1148|shape|FALSE|FALSE|America/New_York|3|1840033483
Hannibal|Hannibal|MO|Missouri|29127|Marion|39.7098|-91.3939|17312|417|shape|FALSE|TRUE|America/Chicago|3|1840007306
Shorewood|Shorewood|IL|Illinois|17197|Will|41.5169|-88.2146|17303|827|shape|FALSE|TRUE|America/Chicago|3|1840011496
Brenham|Brenham|TX|Texas|48477|Washington|30.1584|-96.3966|17297|514|shape|FALSE|TRUE|America/Chicago|3|1840019604
