city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Liberty|Liberty|PA|Pennsylvania|42117|Tioga|41.5585|-77.1054|294|238|shape|FALSE|TRUE|America/New_York|3|1840145063
Custer|Custer|MI|Michigan|26105|Mason|43.9511|-86.2196|294|106|shape|FALSE|TRUE|America/Detroit|3|1840010945
Kennard|Kennard|TX|Texas|48225|Houston|31.3575|-95.1853|294|87|shape|FALSE|TRUE|America/Chicago|3|1840019546
Larwill|Larwill|IN|Indiana|18183|Whitley|41.1793|-85.6242|294|200.9|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840009319
Ridgeway|Ridgeway|SC|South Carolina|45039|Fairfield|34.3066|-80.9601|294|234|shape|FALSE|TRUE|America/New_York|3|1840017933
East Side|East Side|PA|Pennsylvania|42025|Carbon|41.0621|-75.7595|294|98|shape|FALSE|TRUE|America/New_York|3|1840000930
Alta|Alta|WY|Wyoming|56039|Teton|43.7737|-111.0312|294|13|shape|FALSE|FALSE|America/Denver|3|1840017429
Port Penn|Port Penn|DE|Delaware|10003|New Castle|39.5169|-75.5811|293|279|shape|FALSE|FALSE|America/New_York|3|1840045176
Elfrida|Elfrida|AZ|Arizona|04003|Cochise|31.6783|-109.6876|293|18|shape|FALSE|FALSE|America/Phoenix|3|1840023086
Channing|Channing|TX|Texas|48205|Hartley|35.6819|-102.3322|293|114|shape|FALSE|TRUE|America/Chicago|3|1840019084
Shaftsburg|Shaftsburg|MI|Michigan|26155|Shiawassee|42.8059|-84.2950|293|113|shape|FALSE|FALSE|America/Detroit|3|1840071249
Millfield|Millfield|OH|Ohio|39009|Athens|39.4340|-82.0949|293|199|shape|FALSE|FALSE|America/New_York|3|1840026649
Harding-Birch Lakes|Harding-Birch Lakes|AK|Alaska|02090|Fairbanks North Star|64.3711|-146.5999|293|0.4|shape|FALSE|TRUE|America/Anchorage|4|1840075078
Heath|Heath|AL|Alabama|01039|Covington|31.3579|-86.4673|293|127|shape|FALSE|TRUE|America/Chicago|3|1840015867
Clear Creek|Clear Creek|CA|California|06035|Lassen|40.3023|-121.0531|293|99|shape|FALSE|FALSE|America/Los_Angeles|3|1840139955
Goltry|Goltry|OK|Oklahoma|40003|Alfalfa|36.5319|-98.1510|293|282|shape|FALSE|TRUE|America/Chicago|3|1840021609
Vesta|Vesta|MN|Minnesota|27127|Redwood|44.5067|-95.4139|293|279|shape|FALSE|TRUE|America/Chicago|3|1840010015
Tibes|Tibes|PR|Puerto Rico|72113|Ponce|18.0886|-66.6333|293|116|shape|FALSE|TRUE|America/Puerto_Rico|4|1630025231
Lower Kalskag|Lower Kalskag|AK|Alaska|02050|Bethel|61.5163|-160.3556|293|90|shape|FALSE|TRUE|America/Anchorage|3|1840023359
McConnells|McConnells|SC|South Carolina|45091|York|34.8695|-81.2266|293|33|shape|FALSE|TRUE|America/New_York|3|1840016477
Monterey Park Tract|Monterey Park Tract|CA|California|06099|Stanislaus|37.5268|-121.0115|293|196.9|shape|FALSE|TRUE|America/Los_Angeles|4|1840042933
Darrouzett|Darrouzett|TX|Texas|48295|Lipscomb|36.4447|-100.3258|293|192.3|shape|FALSE|TRUE|America/Chicago|3|1840021670
Campbell Hill|Campbell Hill|IL|Illinois|17077|Jackson|37.9305|-89.5515|292|243|shape|FALSE|TRUE|America/Chicago|3|1840010847
Hosston|Hosston|LA|Louisiana|22017|Caddo|32.8850|-93.8814|292|42|shape|FALSE|TRUE|America/Chicago|3|1840018057
