city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Meadowlands|Meadowlands|MN|Minnesota|27137|St. Louis|47.0731|-92.7312|140|170.4|shape|FALSE|TRUE|America/Chicago|3|1840007691
Pierson|Pierson|MI|Michigan|26117|Montcalm|43.3196|-85.4975|140|177.8|shape|FALSE|TRUE|America/Detroit|3|1840010994
Sorrento|Sorrento|FL|Florida|12069|Lake|28.8087|-81.5632|140|43|shape|FALSE|FALSE|America/New_York|3|1840014047
Centralia|Centralia|IA|Iowa|19061|Dubuque|42.4723|-90.8362|140|87|shape|FALSE|TRUE|America/Chicago|3|1840006927
Sheakleyville|Sheakleyville|PA|Pennsylvania|42085|Mercer|41.4438|-80.2067|140|112.0|shape|FALSE|TRUE|America/New_York|3|1840003443
Alba|Alba|PA|Pennsylvania|42015|Bradford|41.7059|-76.8277|140|80|shape|FALSE|TRUE|America/New_York|3|1840000509
Bernard|Bernard|IA|Iowa|19061|Dubuque|42.3133|-90.8319|140|189.3|shape|FALSE|TRUE|America/Chicago|3|1840006931
Newberry|Newberry|IN|Indiana|18055|Greene|38.9238|-87.0193|140|112|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840009695
Faceville|Faceville|GA|Georgia|13087|Decatur|30.7537|-84.6372|140|21|shape|FALSE|FALSE|America/New_York|3|1840029137
Carson Valley|Carson Valley|PA|Pennsylvania|42013|Blair|40.4492|-78.4486|140|113.3|shape|FALSE|FALSE|America/New_York|3|1840147656
Pungoteague|Pungoteague|VA|Virginia|51001|Accomack|37.6290|-75.8171|140|20|shape|FALSE|FALSE|America/New_York|3|1840024741
Lake Tomahawk|Lake Tomahawk|WI|Wisconsin|55085|Oneida|45.8110|-89.5873|140|35|shape|FALSE|FALSE|America/Chicago|3|1840025292
Meacham|Meacham|OR|Oregon|41059|Umatilla|45.5231|-118.4396|140|23|shape|FALSE|FALSE|America/Los_Angeles|3|1840034786
Fishtail|Fishtail|MT|Montana|30095|Stillwater|45.4480|-109.5083|140|93|shape|FALSE|FALSE|America/Denver|3|1840032597
Klagetoh|Klagetoh|AZ|Arizona|04001|Apache|35.5010|-109.5283|140|325.3|shape|FALSE|FALSE|America/Denver|3|1840022622
Mendes|Mendes|GA|Georgia|13267|Tattnall|31.9953|-81.9709|140|89|shape|FALSE|FALSE|America/New_York|3|1840025918
Glen Arbor|Glen Arbor|MI|Michigan|26089|Leelanau|44.8960|-85.9899|140|52|shape|FALSE|FALSE|America/Detroit|3|1840025197
Ronks|Ronks|PA|Pennsylvania|42071|Lancaster|40.0267|-76.1710|139|79|shape|FALSE|FALSE|America/New_York|3|1840035175
Greenview|Greenview|CA|California|06093|Siskiyou|41.5471|-122.9185|139|41|shape|FALSE|FALSE|America/Los_Angeles|3|1840017471
Lakeview North|Lakeview North|WY|Wyoming|56031|Platte|42.0969|-104.9586|139|62|shape|FALSE|TRUE|America/Denver|4|1840074280
Clarks Mills|Clarks Mills|WI|Wisconsin|55071|Manitowoc|44.0918|-87.8637|139|64.6|shape|FALSE|FALSE|America/Chicago|3|1840123593
Mill Spring|Mill Spring|MO|Missouri|29223|Wayne|37.0651|-90.6779|139|121|shape|FALSE|TRUE|America/Chicago|3|1840013028
Mackey|Mackey|IN|Indiana|18051|Gibson|38.2518|-87.3914|139|62.0|shape|FALSE|TRUE|America/Chicago|3|1840009802
Benton City|Benton City|MO|Missouri|29007|Audrain|39.1346|-91.7648|139|104.8|shape|FALSE|TRUE|America/Chicago|3|1840012698
Lorraine|Lorraine|KS|Kansas|20053|Ellsworth|38.5690|-98.3174|139|164.9|shape|FALSE|TRUE|America/Chicago|3|1840009775
Ingalls|Ingalls|OK|Oklahoma|40119|Payne|36.1047|-96.8708|139|20|shape|FALSE|FALSE|America/Chicago|3|1840096436
Hoodsport|Hoodsport|WA|Washington|53045|Mason|47.4022|-123.1535|139|50|shape|FALSE|FALSE|America/Los_Angeles|3|1840025233
Frankfort|Frankfort|SD|South Dakota|46115|Spink|44.8777|-98.3092|139|68|shape|FALSE|TRUE|America/Chicago|3|1840002125
Fisher|Fisher|AR|Arkansas|05111|Poinsett|35.4915|-90.9725|139|122.3|shape|FALSE|TRUE|America/Chicago|3|1840013425
Clements|Clements|MN|Minnesota|27127|Redwood|44.3801|-95.0548|139|180.4|shape|FALSE|TRUE|America/Chicago|3|1840006781
Rhodell|Rhodell|WV|West Virginia|54081|Raleigh|37.6094|-81.3049|139|114.3|shape|FALSE|TRUE|America/New_York|3|1840006353
Cedar Crest|Cedar Crest|OK|Oklahoma|40097|Mayes|36.1232|-95.1732|139|7|shape|FALSE|FALSE|America/Chicago|3|1840034424
Steen|Steen|MN|Minnesota|27133|Rock|43.5143|-96.2631|139|122|shape|FALSE|TRUE|America/Chicago|3|1840008997
