city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Bay View Gardens|Bay View Gardens|IL|Illinois|17203|Woodford|40.8102|-89.5272|487|330|shape|FALSE|TRUE|America/Chicago|3|1840073802
Paauilo|Paauilo|HI|Hawaii|15001|Hawaii|20.0398|-155.3708|487|156|shape|FALSE|FALSE|Pacific/Honolulu|3|1840029536
Dupree|Dupree|SD|South Dakota|46137|Ziebach|45.0495|-101.6013|486|478|shape|FALSE|TRUE|America/Denver|3|1840000276
Clear Spring|Clear Spring|MD|Maryland|24043|Washington|39.6562|-77.9304|486|581.4|shape|FALSE|TRUE|America/New_York|3|1840005615
Dodd City|Dodd City|TX|Texas|48147|Fannin|33.5757|-96.0755|486|106|shape|FALSE|TRUE|America/Chicago|3|1840021974
Rosholt|Rosholt|WI|Wisconsin|55097|Portage|44.6301|-89.3053|486|178|shape|FALSE|TRUE|America/Chicago|3|1840002329
St. Ann Highlands|St. Ann Highlands|CO|Colorado|08013|Boulder|39.9873|-105.4559|486|134|shape|FALSE|FALSE|America/Denver|3|1840028527
Lyle|Lyle|MN|Minnesota|27099|Mower|43.5058|-92.9412|486|248|shape|FALSE|TRUE|America/Chicago|3|1840009002
Lemon Grove|Lemon Grove|FL|Florida|12049|Hardee|27.5765|-81.6360|486|6|shape|FALSE|FALSE|America/New_York|3|1840025168
Buffalo|Buffalo|KY|Kentucky|21123|Larue|37.5081|-85.6992|486|158|shape|FALSE|FALSE|America/New_York|3|1840026824
Maharishi Vedic City|Maharishi Vedic City|IA|Iowa|19101|Jefferson|41.0545|-92.0146|486|56|shape|FALSE|TRUE|America/Chicago|3|1840009333
Iuka|Iuka|IL|Illinois|17121|Marion|38.6181|-88.7881|486|255|shape|FALSE|TRUE|America/Chicago|3|1840012843
Carsonville|Carsonville|MI|Michigan|26151|Sanilac|43.4257|-82.6730|486|162|shape|FALSE|TRUE|America/Detroit|3|1840010051
