city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Chilhowee|Chilhowee|MO|Missouri|29101|Johnson|38.5885|-93.8559|382|320.7|shape|FALSE|TRUE|America/Chicago|3|1840009725
North La Junta|North La Junta|CO|Colorado|08089|Otero|37.9986|-103.5227|382|108|shape|FALSE|FALSE|America/Denver|3|1840024706
Wood Lake|Wood Lake|MN|Minnesota|27173|Yellow Medicine|44.6513|-95.5358|381|195|shape|FALSE|TRUE|America/Chicago|3|1840010010
East Middlebury|East Middlebury|VT|Vermont|50001|Addison|43.9746|-73.1052|381|201|shape|FALSE|FALSE|America/New_York|3|1840025378
Harrington|Harrington|WA|Washington|53043|Lincoln|47.4803|-118.2554|381|377|shape|FALSE|TRUE|America/Los_Angeles|3|1840019819
Mifflin|Mifflin|PA|Pennsylvania|42067|Juniata|40.5686|-77.4046|381|1170.4|shape|FALSE|TRUE|America/New_York|3|1840003619
Liscomb|Liscomb|IA|Iowa|19127|Marshall|42.1912|-93.0063|381|145|shape|FALSE|TRUE|America/Chicago|3|1840009157
Bowdle|Bowdle|SD|South Dakota|46045|Edmunds|45.4512|-99.6565|381|229|shape|FALSE|TRUE|America/Chicago|3|1840000273
Nixburg|Nixburg|AL|Alabama|01037|Coosa|32.8640|-86.0976|381|19|shape|FALSE|FALSE|America/Chicago|3|1840042839
Louviers|Louviers|CO|Colorado|08035|Douglas|39.4799|-105.0033|381|93|shape|FALSE|FALSE|America/Denver|3|1840017551
Mesick|Mesick|MI|Michigan|26165|Wexford|44.4043|-85.7171|381|110|shape|FALSE|TRUE|America/Detroit|3|1840010942
Donahue|Donahue|IA|Iowa|19163|Scott|41.6916|-90.6747|381|113.1|shape|FALSE|TRUE|America/Chicago|3|1840007083
Llewellyn Park|Llewellyn Park|NJ|New Jersey|34013|Essex|40.7895|-74.2415|381|206|shape|FALSE|FALSE|America/New_York|3|1840082000
Cloud Creek|Cloud Creek|OK|Oklahoma|40041|Delaware|36.2938|-94.7543|381|9|shape|FALSE|FALSE|America/Chicago|3|1840034631
Cane Beds|Cane Beds|AZ|Arizona|04015|Mohave|36.9342|-112.9118|380|17|shape|FALSE|FALSE|America/Phoenix|3|1840023173
Dunfermline|Dunfermline|IL|Illinois|17057|Fulton|40.4917|-90.0323|380|208.4|shape|FALSE|TRUE|America/Chicago|3|1840012012
Good Hope|Good Hope|GA|Georgia|13297|Walton|33.7850|-83.6094|380|79|shape|FALSE|TRUE|America/New_York|3|1840013713
Glenvil|Glenvil|NE|Nebraska|31035|Clay|40.5025|-98.2545|380|428.8|shape|FALSE|TRUE|America/Chicago|3|1840012061
Northeast Harbor|Northeast Harbor|ME|Maine|23009|Hancock|44.2936|-68.2914|380|203|shape|FALSE|FALSE|America/New_York|3|1840065207
Gary City|Gary City|TX|Texas|48365|Panola|32.0277|-94.3679|380|77|shape|FALSE|TRUE|America/Chicago|4|1840037480
Upper Stewartsville|Upper Stewartsville|NJ|New Jersey|34041|Warren|40.7048|-75.1205|380|445.6|shape|FALSE|TRUE|America/New_York|3|1840039973
Hollandale|Hollandale|MN|Minnesota|27047|Freeborn|43.7598|-93.2043|380|333|shape|FALSE|TRUE|America/Chicago|3|1840006828
Nances Creek|Nances Creek|AL|Alabama|01015|Calhoun|33.8588|-85.6733|380|25|shape|FALSE|FALSE|America/Chicago|3|1840022931
Dublin|Dublin|NC|North Carolina|37017|Bladen|34.6562|-78.7231|380|337|shape|FALSE|TRUE|America/New_York|3|1840016562
Trivoli|Trivoli|IL|Illinois|17143|Peoria|40.6975|-89.8891|380|96|shape|FALSE|FALSE|America/Chicago|3|1840051696
Converse|Converse|LA|Louisiana|22085|Sabine|31.7795|-93.7001|380|67|shape|FALSE|TRUE|America/Chicago|3|1840018157
Good Pine|Good Pine|LA|Louisiana|22059|LaSalle|31.6933|-92.1637|380|190|shape|FALSE|FALSE|America/Chicago|3|1840063726
Ascutney|Ascutney|VT|Vermont|50027|Windsor|43.4080|-72.4070|380|86|shape|FALSE|FALSE|America/New_York|3|1840025403
Charlton|Charlton|MD|Maryland|24043|Washington|39.6344|-77.8944|380|191.8|shape|FALSE|FALSE|America/New_York|3|1840024394
Lee|Lee|IL|Illinois|17103|Lee|41.7955|-88.9417|380|253.6|shape|FALSE|TRUE|America/Chicago|3|1840011428
Olmsted|Olmsted|IL|Illinois|17153|Pulaski|37.1827|-89.0849|380|43|shape|FALSE|TRUE|America/Chicago|3|1840013026
El Moro|El Moro|CO|Colorado|08071|Las Animas|37.2349|-104.4491|380|13|shape|FALSE|FALSE|America/Denver|3|1840024759
Onekama|Onekama|MI|Michigan|26101|Manistee|44.3656|-86.2021|380|249|shape|FALSE|TRUE|America/Detroit|3|1840010940
Websterville|Websterville|VT|Vermont|50023|Washington|44.1619|-72.4733|380|73|shape|FALSE|FALSE|America/New_York|3|1840023975
Whites Landing|Whites Landing|OH|Ohio|39043|Erie|41.4308|-82.8957|380|206.1|shape|FALSE|FALSE|America/New_York|3|1840024153
Somerset|Somerset|IN|Indiana|18169|Wabash|40.6694|-85.8315|380|215|shape|FALSE|FALSE|America/Indiana/Indianapolis|3|1840026385
South Glastonbury|South Glastonbury|MT|Montana|30067|Park|45.3121|-110.8076|379|8|shape|FALSE|FALSE|America/Denver|3|1840032854
Hall Summit|Hall Summit|LA|Louisiana|22081|Red River|32.1768|-93.3055|379|87|shape|FALSE|TRUE|America/Chicago|3|1840018128
Higginsport|Higginsport|OH|Ohio|39015|Brown|38.7900|-83.9673|379|295.0|shape|FALSE|TRUE|America/New_York|3|1840012717
Phenix|Phenix|VA|Virginia|51037|Charlotte|37.0811|-78.7485|379|126|shape|FALSE|TRUE|America/New_York|3|1840006467
East Lynn|East Lynn|IL|Illinois|17183|Vermilion|40.4663|-87.8007|379|26.1|shape|FALSE|FALSE|America/Chicago|3|1840051162
Sicangu Village|Sicangu Village|SD|South Dakota|46121|Todd|43.0137|-100.5757|379|7.4|shape|FALSE|FALSE|America/Chicago|3|1840144414
Rough Rock|Rough Rock|AZ|Arizona|04001|Apache|36.4106|-109.8691|379|11|shape|FALSE|FALSE|America/Denver|3|1840019000
Renner Corner|Renner Corner|SD|South Dakota|46099|Minnehaha|43.6524|-96.7044|379|113|shape|FALSE|FALSE|America/Chicago|3|1840024018
Magnolia|Magnolia|DE|Delaware|10001|Kent|39.0714|-75.4760|379|583.4|shape|FALSE|TRUE|America/New_York|3|1840005819
Drake|Drake|ND|North Dakota|38049|McHenry|47.9226|-100.3745|379|74|shape|FALSE|TRUE|America/Chicago|3|1840000063
McCausland|McCausland|IA|Iowa|19163|Scott|41.7435|-90.4461|379|263|shape|FALSE|TRUE|America/Chicago|3|1840008184
Odell|Odell|NE|Nebraska|31067|Gage|40.0503|-96.8016|379|206.0|shape|FALSE|TRUE|America/Chicago|3|1840012164
Petersburg|Petersburg|PA|Pennsylvania|42061|Huntingdon|40.5727|-78.0506|379|654.3|shape|FALSE|TRUE|America/New_York|3|1840001074
Oak Run|Oak Run|CA|California|06089|Shasta|40.6902|-122.0285|379|48|shape|FALSE|FALSE|America/Los_Angeles|4|1840130511
Coinjock|Coinjock|NC|North Carolina|37053|Currituck|36.3513|-75.9526|379|174|shape|FALSE|FALSE|America/New_York|3|1840025763
Plum Valley|Plum Valley|IL|Illinois|17197|Will|41.4611|-87.5442|379|78|shape|FALSE|FALSE|America/Chicago|3|1840152524
Castorland|Castorland|NY|New York|36049|Lewis|43.8862|-75.5164|378|352.7|shape|FALSE|TRUE|America/New_York|3|1840004138
Newsoms|Newsoms|VA|Virginia|51175|Southampton|36.6262|-77.1248|378|292|shape|FALSE|TRUE|America/New_York|3|1840006522
Proctor|Proctor|OK|Oklahoma|40001|Adair|35.9823|-94.7481|378|13|shape|FALSE|FALSE|America/Chicago|3|1840024907
Blue Eye|Blue Eye|MO|Missouri|29209|Stone|36.5150|-93.3828|378|124|shape|FALSE|TRUE|America/Chicago|3|1840009932
Minford|Minford|OH|Ohio|39145|Scioto|38.8618|-82.8552|378|83|shape|FALSE|FALSE|America/New_York|3|1840026703
Charlotte|Charlotte|IA|Iowa|19045|Clinton|41.9621|-90.4682|378|255|shape|FALSE|TRUE|America/Chicago|3|1840007040
Platte Center|Platte Center|NE|Nebraska|31141|Platte|41.5374|-97.4886|378|370.0|shape|FALSE|TRUE|America/Chicago|3|1840011455
Annapolis|Annapolis|MO|Missouri|29093|Iron|37.3605|-90.6975|378|350.4|shape|FALSE|TRUE|America/Chicago|3|1840007583
Hazel|Hazel|KY|Kentucky|21035|Calloway|36.5055|-88.3253|378|254.1|shape|FALSE|TRUE|America/Chicago|3|1840014411
Lakeview|Lakeview|NE|Nebraska|31141|Platte|41.4998|-97.3775|378|239|shape|FALSE|TRUE|America/Chicago|3|1840042682
Villa Pancho|Villa Pancho|TX|Texas|48061|Cameron|25.8844|-97.4157|378|375.6|shape|FALSE|FALSE|America/Chicago|3|1840037084
Belle Rive|Belle Rive|IL|Illinois|17081|Jefferson|38.2317|-88.7405|378|142|shape|FALSE|TRUE|America/Chicago|3|1840012909
Iroquois|Iroquois|SD|South Dakota|46077|Kingsbury|44.3679|-97.8495|378|235|shape|FALSE|TRUE|America/Chicago|3|1840002501
Morrow|Morrow|AR|Arkansas|05143|Washington|35.8559|-94.4352|378|50|shape|FALSE|FALSE|America/Chicago|3|1840040186
Stouchsburg|Stouchsburg|PA|Pennsylvania|42011|Berks|40.3807|-76.2303|378|108|shape|FALSE|FALSE|America/New_York|3|1840026458
Misquamicut|Misquamicut|RI|Rhode Island|44009|Washington|41.3237|-71.8220|378|124|shape|FALSE|FALSE|America/New_York|3|1840026290
Akron|Akron|MI|Michigan|26157|Tuscola|43.5667|-83.5143|378|154|shape|FALSE|TRUE|America/Detroit|3|1840010050
Bell Arthur|Bell Arthur|NC|North Carolina|37147|Pitt|35.5912|-77.5127|378|78|shape|FALSE|FALSE|America/New_York|3|1840024929
Navajo Dam|Navajo Dam|NM|New Mexico|35045|San Juan|36.8339|-107.6460|378|12|shape|FALSE|FALSE|America/Denver|3|1840024851
Libertyville|Libertyville|IA|Iowa|19101|Jefferson|40.9582|-92.0496|377|287|shape|FALSE|TRUE|America/Chicago|3|1840008264
Sterling|Sterling|UT|Utah|49039|Sanpete|39.1934|-111.6904|377|238.4|shape|FALSE|TRUE|America/Denver|3|1840022443
Mountain Dale|Mountain Dale|NY|New York|36105|Sullivan|41.6936|-74.5218|377|25|shape|FALSE|FALSE|America/New_York|3|1840084651
Pioneer|Pioneer|FL|Florida|12051|Hendry|26.7257|-81.2190|377|6|shape|FALSE|TRUE|America/New_York|4|1840039063
Midville|Midville|GA|Georgia|13033|Burke|32.8217|-82.2347|377|73|shape|FALSE|TRUE|America/New_York|3|1840014846
Kirkwood|Kirkwood|PA|Pennsylvania|42071|Lancaster|39.8539|-76.0798|377|65|shape|FALSE|FALSE|America/New_York|3|1840024338
Turin|Turin|GA|Georgia|13077|Coweta|33.3234|-84.6374|377|91|shape|FALSE|TRUE|America/New_York|3|1840016861
Coupland|Coupland|TX|Texas|48491|Williamson|30.4568|-97.3979|377|75|shape|FALSE|TRUE|America/Chicago|3|1840036411
Winslow|Winslow|AR|Arkansas|05143|Washington|35.8008|-94.1304|377|79|shape|FALSE|TRUE|America/Chicago|3|1840015339
Windsor|Windsor|FL|Florida|12061|Indian River|27.7869|-80.4141|377|166|shape|FALSE|TRUE|America/New_York|4|1840042918
