city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Knox|Knox|IN|Indiana|18149|Starke|41.2910|-86.6212|3553|346|shape|FALSE|TRUE|America/Indiana/Knox|3|1840013836
St. Anthony|St. Anthony|ID|Idaho|16043|Fremont|43.9648|-111.6841|3552|886|shape|FALSE|TRUE|America/Boise|3|1840021255
Pen Argyl|Pen Argyl|PA|Pennsylvania|42095|Northampton|40.8676|-75.2534|3551|1021|shape|FALSE|TRUE|America/New_York|3|1840000977
Kimberly|Kimberly|AL|Alabama|01073|Jefferson|33.7758|-86.7964|3551|233|shape|FALSE|TRUE|America/Chicago|3|1840016799
Piedmont|Piedmont|MO|Missouri|29223|Wayne|37.1491|-90.6970|3550|636|shape|FALSE|TRUE|America/Chicago|3|1840009916
Dublin|Dublin|TX|Texas|48143|Erath|32.0875|-98.3392|3550|382|shape|FALSE|TRUE|America/Chicago|3|1840019478
Osage|Osage|IA|Iowa|19131|Mitchell|43.2827|-92.8113|3549|611|shape|FALSE|TRUE|America/Chicago|3|1840009032
State Line|State Line|PA|Pennsylvania|42055|Franklin|39.7329|-77.7247|3548|500|shape|FALSE|FALSE|America/New_York|3|1840026534
Calcium|Calcium|NY|New York|36045|Jefferson|44.0401|-75.8468|3548|244|shape|FALSE|FALSE|America/New_York|3|1840004105
Tiger Point|Tiger Point|FL|Florida|12113|Santa Rosa|30.3757|-87.0573|3547|974|shape|FALSE|FALSE|America/Chicago|3|1840029101
Sloan|Sloan|NY|New York|36029|Erie|42.8921|-78.7918|3547|1755|shape|FALSE|TRUE|America/New_York|3|1840004390
Pine Hills|Pine Hills|CA|California|06023|Humboldt|40.7313|-124.1551|3547|135|shape|FALSE|FALSE|America/Los_Angeles|3|1840028396
Pocono Woodland Lakes|Pocono Woodland Lakes|PA|Pennsylvania|42103|Pike|41.3225|-74.8902|3546|219|shape|FALSE|TRUE|America/New_York|3|1840043344
Maple Heights-Lake Desire|Maple Heights-Lake Desire|WA|Washington|53033|King|47.4441|-122.0972|3544|336|shape|FALSE|TRUE|America/Los_Angeles|3|1840073925
Wheatland|Wheatland|WY|Wyoming|56031|Platte|42.0517|-104.9595|3543|333|shape|FALSE|TRUE|America/Denver|3|1840022368
Oxford|Oxford|MI|Michigan|26125|Oakland|42.8218|-83.2563|3542|1086|shape|FALSE|TRUE|America/Detroit|3|1840011060
Winnebago|Winnebago|IL|Illinois|17201|Winnebago|42.2671|-89.2340|3539|706|shape|FALSE|TRUE|America/Chicago|3|1840011126
Marienville|Marienville|PA|Pennsylvania|42053|Forest|41.4687|-79.1181|3538|225|shape|FALSE|FALSE|America/New_York|3|1840024142
Northern Cambria|Northern Cambria|PA|Pennsylvania|42021|Cambria|40.6561|-78.7783|3538|442|shape|FALSE|TRUE|America/New_York|3|1840001097
Frontenac|Frontenac|MO|Missouri|29189|St. Louis|38.6301|-90.4190|3538|474|shape|FALSE|TRUE|America/Chicago|3|1840008587
