city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Princeton|Princeton|NE|Nebraska|31109|Lancaster|40.5760|-96.7060|105|8.5|shape|FALSE|FALSE|America/Chicago|3|1840033169
Ravanna|Ravanna|MO|Missouri|29129|Mercer|40.4560|-93.4620|105|10|shape|FALSE|FALSE|America/Chicago|3|1840025543
Peoria|Peoria|OK|Oklahoma|40115|Ottawa|36.9156|-94.6696|105|128.4|shape|FALSE|TRUE|America/Chicago|3|1840022611
Dames Quarter|Dames Quarter|MD|Maryland|24039|Somerset|38.1697|-75.8895|105|3|shape|FALSE|FALSE|America/New_York|3|1840006274
Graball|Graball|TN|Tennessee|47165|Sumner|36.4838|-86.4396|105|20|shape|FALSE|FALSE|America/Chicago|3|1840024893
New Boston|New Boston|NH|New Hampshire|33011|Hillsborough|42.9781|-71.6937|105|78|shape|FALSE|FALSE|America/New_York|3|1840152950
Little City|Little City|OK|Oklahoma|40095|Marshall|34.0840|-96.6160|104|100|shape|FALSE|FALSE|America/Chicago|3|1840096449
Moffat|Moffat|CO|Colorado|08109|Saguache|38.0027|-105.9065|104|24|shape|FALSE|TRUE|America/Denver|3|1840022516
Denison|Denison|KS|Kansas|20085|Jackson|39.3938|-95.6285|104|57.3|shape|FALSE|TRUE|America/Chicago|3|1840007330
Houghton|Houghton|IA|Iowa|19111|Lee|40.7836|-91.6100|104|87.6|shape|FALSE|TRUE|America/Chicago|3|1840007204
Ten Broeck|Ten Broeck|KY|Kentucky|21111|Jefferson|38.2976|-85.5807|104|589.3|shape|FALSE|TRUE|America/New_York|3|1840030810
Elk Falls|Elk Falls|KS|Kansas|20049|Elk|37.3733|-96.1934|104|55|shape|FALSE|TRUE|America/Chicago|3|1840008732
La Minita|La Minita|TX|Texas|48427|Starr|26.5024|-99.0735|104|76|shape|FALSE|TRUE|America/Chicago|4|1840040951
Galesburg|Galesburg|ND|North Dakota|38097|Traill|47.2701|-97.4087|104|129.2|shape|FALSE|TRUE|America/Chicago|3|1840000133
Cantrall|Cantrall|IL|Illinois|17167|Sangamon|39.9353|-89.6788|104|160.2|shape|FALSE|TRUE|America/Chicago|3|1840010559
Harper|Harper|OR|Oregon|41045|Malheur|43.8570|-117.6265|104|5|shape|FALSE|FALSE|America/Boise|3|1840025375
Garber|Garber|IA|Iowa|19043|Clayton|42.7444|-91.2621|104|135.0|shape|FALSE|TRUE|America/Chicago|3|1840008012
Livonia|Livonia|MO|Missouri|29171|Putnam|40.4920|-92.7005|104|33.2|shape|FALSE|TRUE|America/Chicago|3|1840012132
