time|latitude|longitude|depth|mag|magType|nst|gap|dmin|rms|net|id|updated|type|horizontalError|depthError|magError|magNst|status|locationSource|magSource
2022-06-04T09:52:15.568Z|38.3522|74.3584|159.72|4.1|mb||67|2.289|0.81|us|us7000hewm|2022-06-19T12:57:29.040Z|earthquake|7.3|9.8|0.145|13|reviewed|us|us
2022-06-04T09:47:26.063Z|-56.0906|-27.1394|54.92|4.8|mb||69|5.653|0.45|us|us7000hewp|2022-06-04T10:21:06.040Z|earthquake|4.6|7.5|0.072|62|reviewed|us|us
2022-06-04T09:37:50.430Z|37.4891667|-121.5988333|5.03|0.71|md|15|101|0.0446|0.08|nc|nc73740496|2022-06-05T19:23:30.022Z|earthquake|0.28|0.6|0.158|14|reviewed|nc|nc
2022-06-04T09:37:14.890Z|33.5376667|-116.715|3.72|0.13|ml|22|68|0.03335|0.08|ci|ci40033751|2022-06-05T18:57:06.775Z|earthquake|0.14|0.23|0.074|5|reviewed|ci|ci
2022-06-04T09:36:07.000Z|64.3349|-147.3044|4.2|1.7|ml||||0.62|ak|ak02274hvfaz|2022-06-04T09:59:31.322Z|earthquake||0.2|||automatic|ak|ak
2022-06-04T09:24:47.607Z|31.6101536|-103.979296|9.884936523|2.2|ml|24|64|0.07832636119|0.2|tx|tx2022kwcd|2022-06-23T19:45:17.711Z|earthquake|0.9441884197|0.9375177074|0.1|13|reviewed|tx|tx
2022-06-04T09:24:19.230Z|40.4176667|-125.5623333|9.62|2.8|md|42|258|0.9365|0.2|nc|nc73740491|2022-06-05T20:40:17.464Z|earthquake|2.67|31.61|0.26|33|reviewed|nc|nc
2022-06-04T09:23:17.060Z|36.1321667|-117.8836667|5.17|0.86|ml|18|51|0.02749|0.1|ci|ci40033743|2022-06-05T18:50:19.145Z|earthquake|0.18|0.3|0.193|4|reviewed|ci|ci
2022-06-04T09:08:30.130Z|33.5388333|-116.7128333|3.67|0.14|ml|19|80|0.03346|0.07|ci|ci40033735|2022-06-05T14:34:46.963Z|earthquake|0.15|0.27|0.141|4|reviewed|ci|ci
2022-06-04T09:03:49.210Z|18.005|-66.6848333333333|13.93|1.84|md|6|130||0.04|pr|pr71352318|2022-06-04T11:13:31.230Z|earthquake|1.25|0.84|0.183582211637704|4|reviewed|pr|pr
2022-06-04T09:02:27.283Z|35.1512|25.2978|10|4.2|mb||59|0.36|0.47|us|us7000hewf|2022-06-19T12:45:09.040Z|earthquake|5.3|1.8|0.102|28|reviewed|us|us
