time|latitude|longitude|depth|mag|magType|nst|gap|dmin|rms|net|id|updated|type|horizontalError|depthError|magError|magNst|status|locationSource|magSource
2022-06-02T17:31:26.745Z|-2.1391|120.4875|10|4.8|mb||88|2.948|1.12|us|us7000hefa|2022-06-09T13:59:32.040Z|earthquake|6.6|1.8|0.078|50|reviewed|us|us
2022-06-02T17:24:38.460Z|36.39166667|-95.717|0|1.28|ml|62|138|0.4841050021|0.45|ok|ok2022ktay|2022-06-02T17:33:52.030Z|quarry blast||0.5|0.26|25|reviewed|ok|ok
2022-06-02T17:22:37.908Z|38.0463|-118.6184|10.5|0.7|ml|8|273.9|0.224|0.081|nn|nn00840202|2022-06-03T02:39:33.858Z|earthquake||5.3|0.31|4|reviewed|nn|nn
2022-06-02T17:04:00.980Z|36.079|-117.874|3.97|0.5|ml|10|191|0.0415|0.07|ci|ci40032567|2022-06-02T20:25:42.465Z|earthquake|0.2|0.31|0.133|3|reviewed|ci|ci
2022-06-02T17:03:57.840Z|37.5726667|-118.8436667|1.83|0.17|md|6|272|0.02083|0.03|nc|nc73740111|2022-06-02T17:56:21.012Z|earthquake|1.87|31.61|0.278|5|reviewed|nc|nc
2022-06-02T17:03:55.480Z|38.8763333|-109.3113333|17.78|1.54|ml|13|96|0.4102|0.14|uu|uu60500297|2022-06-02T19:33:11.030Z|earthquake|0.56|1.18|0.145|5|reviewed|uu|uu
2022-06-02T16:55:29.180Z|59.3591666666667|-153.425333333333|-0.93|-0.31|ml|4|190||0.08|av|av91583066|2022-06-03T09:09:03.110Z|earthquake|0.17|0.34|0.277572880492861|4|reviewed|av|av
2022-06-02T16:44:32.790Z|60.0738333333333|-152.950666666667|4.66|-0.17|ml|5|306||0.3|av|av91583046|2022-06-03T08:01:55.030Z|earthquake|2.47|2.81|0.120357526420711|5|reviewed|av|av
2022-06-02T16:21:11.450Z|46.68833333333333|-122.44416666666666|23.83|1.26|ml|30|69|0.1567|0.15|uw|uw61838197|2022-06-02T18:42:15.730Z|earthquake|0.27|0.71|0.22344168393458252|15|reviewed|uw|uw
2022-06-02T16:12:26.020Z|18.1483333333333|-66.8508333333333|6.14|2|md|5|307||0.19|pr|pr71352038|2022-06-02T16:27:09.040Z|earthquake|1.86|0.93|0.123790345191933|5|reviewed|pr|pr
2022-06-02T16:01:12.633Z|63.2308|-151.7338|0|1.4|ml||||0.75|ak|ak02271ar9xb|2022-06-02T16:03:32.688Z|earthquake||0.4|||automatic|ak|ak
2022-06-02T15:58:03.820Z|33.7931667|-116.9196667|11.24|0.69|ml|24|138|0.1059|0.13|ci|ci40032527|2022-06-03T15:16:12.146Z|earthquake|0.23|0.55|0.116|10|reviewed|ci|ci
2022-06-02T15:49:09.377Z|61.316|-150.5517|22.8|1.3|ml||||0.82|ak|ak02271ag4g8|2022-06-02T15:56:50.954Z|earthquake||0.5|||automatic|ak|ak
2022-06-02T15:44:50.685Z|-21.8738|-70.0882|56.33|4.1|mb||153|0.356|0.97|us|us7000heej|2022-06-20T22:04:11.040Z|earthquake|6.2|6.9|0.186|8|reviewed|us|us
2022-06-02T15:38:17.560Z|35.863|-117.694|8.96|1.65|ml|39|33|0.07917|0.12|ci|ci40032519|2022-06-02T20:52:44.520Z|earthquake|0.12|0.31|0.247|20|reviewed|ci|ci
2022-06-02T15:33:31.179Z|11.6947|-87.2024|36.75|4.3|mb||173|0.978|0.98|us|us7000heef|2022-06-20T21:45:16.040Z|earthquake|6.7|8.3|0.077|48|reviewed|us|us
2022-06-02T15:30:47.660Z|51.8566666666667|-177.807666666667|1.87|1.02|ml|5|254||0.1|av|av91582971|2022-06-03T07:52:52.670Z|earthquake|0.65|1.44|0.275845939221426|5|reviewed|av|av
2022-06-02T15:30:31.320Z|19.1776666666667|-155.485833333333|33.46|2.68|ml|49|80||0.12|hv|hv73031337|2022-06-20T21:41:31.040Z|earthquake|0.42|0.56|0.184533032595642|27|reviewed|hv|hv
2022-06-02T15:30:19.410Z|19.2028331756592|-155.395004272461|31.9899997711182|2.49|ml|39|159||0.119999997|hv|hv73031332|2022-06-20T21:36:30.040Z|earthquake|0.62|0.850000024|3.53|17|automatic|hv|hv
2022-06-02T15:28:12.790Z|35.8576667|-117.6655|6.15|0.5|ml|14|94|0.0693|0.08|ci|ci37501333|2022-06-02T20:41:53.953Z|earthquake|0.15|0.5|0.152|5|reviewed|ci|ci
2022-06-02T15:27:51.150Z|35.8575|-117.6656667|6.42|1.11|ml|18|50|0.06931|0.1|ci|ci40032511|2022-06-02T20:34:33.933Z|earthquake|0.16|0.46|0.092|6|reviewed|ci|ci
2022-06-02T15:15:57.540Z|63.2406|-149.4373|141.7|1.5|ml||||1.1|ak|ak02271a8xt6|2022-06-02T15:19:10.857Z|earthquake||0.7|||automatic|ak|ak
2022-06-02T15:08:06.700Z|33.659|-116.7135|15.38|0.71|ml|22|91|0.05203|0.12|ci|ci40032495|2022-06-02T18:54:40.483Z|earthquake|0.31|0.38|0.16|18|reviewed|ci|ci
2022-06-02T15:07:55.570Z|33.6503333|-116.7155|14.22|0.42|ml|15|88|0.06367|0.18|ci|ci40032487|2022-06-02T18:54:33.647Z|earthquake|0.5|0.68|0.101|10|reviewed|ci|ci
2022-06-02T15:04:25.400Z|46.84866666666667|-121.92816666666667|13.04|0.24|ml|11|104|0.01581|0.12|uw|uw61838147|2022-06-02T19:53:38.140Z|earthquake|0.55|0.68|0.0428484195657861|3|reviewed|uw|uw
2022-06-02T15:01:16.990Z|37.5526667|-118.8311667|4.92|1.22|md|18|174|0.03733|0.04|nc|nc73740101|2022-06-02T21:41:19.158Z|earthquake|0.45|0.67|0.112|14|reviewed|nc|nc
2022-06-02T14:57:02.720Z|61.3866|-151.6845|77.9|1.5|ml||||0.45|ak|ak022719we1n|2022-06-02T15:04:24.456Z|earthquake||0.8|||automatic|ak|ak
2022-06-02T14:49:58.140Z|38.1008333|-112.3505|5.99|0.96|md|6|139|0.4167|0.32|uu|uu60500292|2022-06-02T15:21:44.870Z|earthquake|1.86|20.8|0.205|4|reviewed|uu|uu
2022-06-02T14:48:43.470Z|46.2206667|-111.0321667|6.01|1.09|ml|6|270|0.703|0.05|mb|mb80547809|2022-06-03T21:12:25.110Z|earthquake|1.33|6.95|0.298|3|reviewed|mb|mb
2022-06-02T14:45:47.334Z|36.832|-116.096|5.7|-0.1|ml|7|149.49|0.022|0.0992|nn|nn00840199|2022-06-03T02:39:31.529Z|earthquake||1.8|0.26|3|reviewed|nn|nn
2022-06-02T14:45:24.800Z|38.8405|-122.877|2.45|0.66|md|23|88|0.005529|0.02|nc|nc73742431|2022-06-09T19:23:34.478Z|earthquake|0.23|0.31|0.053|4|reviewed|nc|nc
2022-06-02T14:42:15.651Z|-31.6637|-69.7197|128.62|4.6|mb||77|0.891|0.77|us|us7000hedd|2022-06-26T15:30:29.040Z|earthquake|6|4.7|0.152|13|reviewed|us|us
2022-06-02T14:32:56.310Z|53.3696666666667|-168.1955|5.85|0.56|ml|5|296||0.25|av|av91061218|2022-06-03T07:50:20.630Z|earthquake|2.13|1.57|0.373172515868641|5|reviewed|av|av
2022-06-02T14:25:09.430Z|63.2646|-151.2871|5.5|1.8|ml||||0.82|ak|ak022719pjnr|2022-06-02T14:28:50.322Z|earthquake||0.2|||automatic|ak|ak
2022-06-02T14:11:39.189Z|36.27933333|-97.5075|7.14|1.14|ml|54|62|0.07018622707|0.25|ok|ok2022ksuo|2022-06-03T14:02:18.623Z|earthquake||0.5|0.29|7|reviewed|ok|ok
2022-06-02T14:07:40.390Z|35.2925|-118.574|9.24|1.07|ml|23|78|0.1122|0.11|ci|ci40032447|2022-06-02T20:56:56.455Z|earthquake|0.15|0.47|0.155|9|reviewed|ci|ci
2022-06-02T14:04:01.520Z|37.1958333|-118.2513333|12.5|2.87|md|27|149|0.04298|0.04|nc|nc73740091|2022-06-26T15:23:03.040Z|earthquake|0.44|0.37|0.141|49|reviewed|nc|nc
2022-06-02T13:50:23.860Z|60.004|-153.075166666667|0.02|-0.24|ml|5|111||0.07|av|av91582916|2022-06-03T07:41:51.900Z|earthquake|0.23|1.55|0.25515031989509|5|reviewed|av|av
2022-06-02T13:45:51.466Z|36.6304|71.3306|228.18|4.2|mb||71|0.781|0.85|us|us7000hecc|2022-06-26T15:20:46.749Z|earthquake|5.6|8.4|0.146|13|reviewed|us|us
2022-06-02T13:43:27.914Z|61.5849|-151.4744|75.6|1.5|ml||||0.55|ak|ak02271980d3|2022-06-02T13:46:41.062Z|earthquake||0.6|||automatic|ak|ak
2022-06-02T13:35:45.147Z|61.0774|-150.6934|18.8|1.1|ml||||0.71|ak|ak0227196byo|2022-06-02T13:43:13.183Z|earthquake||0.5|||automatic|ak|ak
