time|latitude|longitude|depth|mag|magType|nst|gap|dmin|rms|net|id|updated|type|horizontalError|depthError|magError|magNst|status|locationSource|magSource
2022-05-30T05:22:04.030Z|34.089|-117.31|16.13|1.33|ml|43|99|0.1097|0.14|ci|ci40030311|2022-06-01T18:02:12.800Z|earthquake|0.23|0.41|0.176|20|reviewed|ci|ci
2022-05-30T05:19:18.170Z|17.9835|-66.978|7.38|2.33|md|6|164||0.17|pr|pr71351388|2022-05-30T06:03:10.440Z|earthquake|0.69|1.33|0.0900111678117326|5|reviewed|pr|pr
2022-05-30T05:17:45.820Z|34.0985|-116.769|10.46|1.7|ml|68|49|0.07092|0.14|ci|ci40030303|2022-06-01T17:56:08.930Z|earthquake|0.14|0.3|0.101|22|reviewed|ci|ci
2022-05-30T05:08:03.580Z|44.359|-115.2055|8.56|2.15|ml|11|83|0.837|0.23|mb|mb80547429|2022-05-30T14:04:59.870Z|earthquake|0.59|1.26|0.174|13|reviewed|mb|mb
2022-05-30T04:56:37.827Z|61.5961|-149.9188|25.6|1.9|ml||||0.47|ak|ak0226w5bu1b|2022-05-30T05:01:45.865Z|earthquake||0.2|||automatic|ak|ak
2022-05-30T04:56:12.890Z|52.0538333333333|178.385|9.18|0.52|ml|4|347||0.07|av|av91060733|2022-06-01T00:55:39.360Z|earthquake|2.94|2.64|0.119948130902192|4|reviewed|av|av
2022-05-30T04:53:56.520Z|45.2123333|-111.7005|3.76|0.71|ml|8|141|0.241|0.18|mb|mb80547569|2022-05-31T16:25:48.010Z|earthquake|0.63|7.67|0.117|4|reviewed|mb|mb
2022-05-30T04:53:34.910Z|33.369|-116.3576667|2.64|1.45|ml|48|34|0.04077|0.22|ci|ci40030295|2022-05-31T14:15:14.100Z|earthquake|0.23|0.52|0.17|26|reviewed|ci|ci
2022-05-30T04:45:55.960Z|51.8578333333333|-177.815333333333|7.38|0.01|ml|7|154||0.08|av|av91579166|2022-06-01T00:50:03.390Z|earthquake|0.48|0.48|0.194034132489694|7|reviewed|av|av
2022-05-30T04:40:30.600Z|35.7818333|-117.5933333|7.41|0.93|ml|14|145|0.034|0.11|ci|ci40030279|2022-05-31T18:25:12.328Z|earthquake|0.23|0.42|0.171|4|reviewed|ci|ci
2022-05-30T04:38:04.610Z|51.7956666666667|-178.952833333333|15.2|0.97|ml|5|328||0.21|av|av91579156|2022-06-01T00:44:54.610Z|earthquake|2.49|1.72|0.589699696851074|5|reviewed|av|av
2022-05-30T04:34:24.420Z|38.8358333|-122.7996667|2.3|0.46|md|17|64|0.007722|0.01|nc|nc73741986|2022-06-09T21:50:13.407Z|earthquake|0.23|0.41|0.105|3|reviewed|nc|nc
2022-05-30T04:25:30.580Z|60.044|-153.082833333333|-2.21|-0.85|ml|5|97||0.11|av|av91579146|2022-06-01T00:42:57.710Z|earthquake|0.3|2.73|0.169624946064788|5|reviewed|av|av
2022-05-30T04:25:25.768Z|36.7685|-116.2712|5|0.2|ml|8|93.5|0.058|0.0981|nn|nn00839930|2022-05-30T14:22:03.281Z|earthquake||2.8|0.88|4|reviewed|nn|nn
2022-05-30T04:24:38.950Z|19.1831665039062|-155.496170043945|33.6300010681152|2.01999998|md|42|89||0.109999999|hv|hv73027587|2022-05-30T04:28:04.550Z|earthquake|0.55|1|0.689999998|15|automatic|hv|hv
2022-05-30T04:17:11.498Z|60.1831|-151.1068|55.5|2.4|ml||||0.5|ak|ak0226w53gju|2022-06-27T00:16:51.040Z|earthquake||0.9|||automatic|ak|ak
2022-05-30T04:16:14.374Z|61.9265|-150.3851|16.9|1|ml||||1.16|ak|ak0226w5392a|2022-05-30T04:28:20.382Z|earthquake||0.3|||automatic|ak|ak
2022-05-30T03:54:04.340Z|35.8711667|-117.692|6.16|1.41|ml|21|77|0.08369|0.12|ci|ci40030271|2022-06-01T17:03:16.916Z|earthquake|0.19|0.55|0.165|18|reviewed|ci|ci
2022-05-30T03:37:17.190Z|33.8823333|-116.836|16.45|0.85|ml|30|66|0.1875|0.14|ci|ci40030247|2022-06-01T16:59:18.519Z|earthquake|0.24|0.68|0.131|19|reviewed|ci|ci
2022-05-30T03:31:06.440Z|34.4445|-118.972|1.96|1.67|ml|16|70|0.05495|0.25|ci|ci40030231|2022-06-01T16:49:58.467Z|earthquake|0.46|0.66|0.124|18|reviewed|ci|ci
2022-05-30T03:29:50.814Z|36.6548|-116.2769|7.4|-0.3|ml|8|107.19|0.051|0.0944|nn|nn00839929|2022-05-31T22:14:41.349Z|earthquake||2.2|0.71|3|reviewed|nn|nn
2022-05-30T03:15:15.030Z|54.14|-165.963833333333|3.04|-0.72|ml|10|64||0.31|av|av91579031|2022-06-01T00:04:08.470Z|earthquake|0.35|0.63|0.374007453556818|9|reviewed|av|av
2022-05-30T03:14:20.030Z|19.2425003051758|-155.412002563477|32.9500007629395|2.25|ml|46|129||0.119999997|hv|hv73027507|2022-05-30T03:19:51.800Z|earthquake|0.51|0.779999971|3.7|6|automatic|hv|hv
2022-05-30T03:07:19.240Z|36.1021667|-89.4226667|12.03|1.71|md|21|50|0.03893|0.05|nm|nm60396981|2022-06-02T13:47:38.282Z|earthquake|0.48|0.51|0.167|20|reviewed|nm|nm
2022-05-30T03:00:23.656Z|61.5856|-149.7568|50.1|0.9|ml||||0.38|ak|ak0226w4eepp|2022-05-30T03:12:04.684Z|earthquake||1.5|||automatic|ak|ak
2022-05-30T02:47:25.967Z|51.61|179.8182|10|3.3|ml||209|0.308|0.27|us|us7000hdz7|2022-06-27T00:15:16.040Z|earthquake|2.2|2|0.085|18|reviewed|us|us
2022-05-30T02:37:39.390Z|54.3696666666667|-164.7025|21.83|0.59|ml|4|312||0.22|av|av91060723|2022-06-01T00:13:53.660Z|earthquake|3.49|2.54|0.239008202016683|4|reviewed|av|av
2022-05-30T02:35:08.210Z|45.6615|-112.3783333|2.61|0.79|ml|13|112|0.169|0.08|mb|mb80547564|2022-05-31T16:19:57.890Z|earthquake|0.38|0.56|0.243|4|reviewed|mb|mb
2022-05-30T02:10:49.160Z|35.603|-117.4055|6.95|1.38|ml|14|77|0.04906|0.15|ci|ci37501037|2022-05-31T18:16:32.583Z|earthquake|0.31|0.47|0.145|2|reviewed|ci|ci
2022-05-30T02:10:45.910Z|35.6273333|-117.3758333|-0.93|1.28|ml|18|74|0.08132|0.24|ci|ci40030215|2022-05-31T18:17:49.995Z|earthquake|0.4|0.78|0.108|5|reviewed|ci|ci
2022-05-30T02:06:11.780Z|17.888|-66.8593333333333|12.87|2.05|md|8|238||0.11|pr|pr71351383|2022-05-30T03:22:00.010Z|earthquake|0.71|0.57|0.0629691271306946|8|reviewed|pr|pr
2022-05-30T02:03:55.940Z|37.8886667|-78.0351667|5.46|2.3|md|10|95|0.1446|0.27|se|se60151743|2022-06-07T09:55:11.800Z|earthquake|0.78|1.96|0.071|10|reviewed|se|se
2022-05-30T01:51:36.793Z|31.65368504|-104.4221641|6.979931641|2.1|ml|14|73|0.06866419349|0.4|tx|tx2022kmjq|2022-05-30T21:03:01.754Z|earthquake|1.363269417|1.842369244|0.2|11|reviewed|tx|tx
2022-05-30T01:51:25.060Z|33.2583333|-116.2421667|10.5|0.85|ml|30|120|0.06621|0.18|ci|ci40030199|2022-06-01T00:25:49.349Z|earthquake|0.37|0.55|0.099|14|reviewed|ci|ci
2022-05-30T01:47:19.075Z|62.3447|-149.3997|52.9|2|ml||||0.24|ak|ak0226w3hlsv|2022-05-30T16:40:24.010Z|earthquake||0.7|||reviewed|ak|ak
2022-05-30T01:44:05.905Z|34.5842|-37.1283|10|4.6|mb||68|9.902|0.81|us|us7000hdl6|2022-06-06T04:33:19.040Z|earthquake|10.3|1.8|0.063|75|reviewed|us|us
2022-05-30T01:33:46.107Z|59.7945|-152.2967|63.5|1|ml||||0.91|ak|ak0226w3env6|2022-05-30T01:50:00.205Z|earthquake||1.4|||automatic|ak|ak
2022-05-30T01:33:38.220Z|35.5783333|-117.4531667|7.92|0.75|ml|6|181|0.01098|0.08|ci|ci37420460|2022-06-01T00:21:26.322Z|earthquake|1.45|0.34|0.12|3|reviewed|ci|ci
2022-05-30T01:33:28.710Z|36.1|-117.8625|3.99|1.01|ml|13|72|0.0186|0.06|ci|ci40030191|2022-05-31T21:56:43.443Z|earthquake|0.15|0.22|0.352|11|reviewed|ci|ci
2022-05-30T01:29:37.640Z|38.825|-122.7956667|2.95|1.53|md|39|49|0.01137|0.05|nc|nc73739306|2022-06-09T16:11:22.277Z|earthquake|0.17|0.23|0.102|15|reviewed|nc|nc
2022-05-30T01:28:11.651Z|-15.3913|-173.1875|10|4.9|mb||61|2.005|1.09|us|us7000hdil|2022-06-06T02:29:00.040Z|earthquake|4|1.8|0.093|36|reviewed|us|us
2022-05-30T01:23:38.134Z|34.5427|45.6335|6.81|4.2|mb||66|0.577|0.78|us|us7000hdik|2022-06-23T00:11:39.040Z|earthquake|5.5|4.7|0.096|30|reviewed|us|us
