time|latitude|longitude|depth|mag|magType|nst|gap|dmin|rms|net|id|updated|type|horizontalError|depthError|magError|magNst|status|locationSource|magSource
2022-06-14T14:09:43.093Z|26.5651|54.1698|10|4.7|mb||78|2.442|0.77|us|us7000hhbb|2022-06-19T19:32:03.040Z|earthquake|7.6|1.9|0.068|69|reviewed|us|us
2022-06-14T14:05:06.778Z|53.31|-163.8744|37.5|3.7|ml||||0.59|ak|ak0227l41qd2|2022-06-14T14:23:32.395Z|earthquake||1.4|||reviewed|ak|ak
2022-06-14T14:05:04.327Z|53.3455|-163.8943|4.98|4.2|mb||99|1.201|0.57|us|us7000hhb8|2022-06-19T19:26:49.040Z|earthquake|5.4|4.1|0.11|24|reviewed|us|us
2022-06-14T14:04:57.036Z|38.1869|-117.8583|9.7|0.7|ml|13|176.39|0.1|0.0946|nn|nn00840870|2022-06-14T16:48:23.467Z|earthquake||2.2|0.4|3|reviewed|nn|nn
2022-06-14T14:01:29.150Z|19.1613330841064|-155.466003417969|32.5200004577637|2.30999994|md|44|159||0.129999995|hv|hv73043672|2022-06-14T14:04:52.210Z|earthquake|0.43|0.709999979|0.819999993|24|automatic|hv|hv
2022-06-14T13:49:48.000Z|38.8351669|-122.8040009|1.78|0.85|md|9|107|0.01115|0.01|nc|nc73745256|2022-06-14T15:12:10.834Z|earthquake|0.35|1.12||1|automatic|nc|nc
2022-06-14T13:44:29.920Z|27.7278|55.9837|10|4.4|mb||68|2.778|0.45|us|us7000hi5r|2022-06-19T19:10:59.040Z|earthquake|7.7|1.9|0.17|12|reviewed|us|us
2022-06-14T13:40:16.409Z|61.5025|-151.198|23.8|1.2|ml||||0.63|ak|ak0227l3ni94|2022-06-14T13:41:53.468Z|earthquake||0.4|||automatic|ak|ak
2022-06-14T13:35:41.740Z|59.3565|-153.428166666667|3.41|0.13|ml|5|101||0.19|av|av91599316|2022-06-15T00:59:41.920Z|earthquake|0.84|1.19|0.330560599695326|5|reviewed|av|av
2022-06-14T13:34:24.620Z|53.8498333333333|-166.6435|8.42|0.03|ml|6|156||0.11|av|av91599311|2022-06-15T01:08:40.980Z|earthquake|0.43|0.86|0.258970492685303|6|reviewed|av|av
2022-06-14T13:29:10.310Z|51.8703333333333|-177.8995|14.6|0.01|ml|4|242||0.2|av|av91062973|2022-06-15T01:06:11.710Z|earthquake|1.44|1.69|0.208629267510294|4|reviewed|av|av
2022-06-14T13:27:59.660Z|38.2998|-118.7511|9.4|1.1|ml|15|186.1|0.199|0.0843|nn|nn00840869|2022-06-14T16:36:00.569Z|earthquake||4.4|0.36|4|reviewed|nn|nn
2022-06-14T13:26:58.192Z|-11.9978|166.5063|62.2|4.2|mb||142|3.495|0.24|us|us7000hi63|2022-06-19T18:59:54.040Z|earthquake|11.9|7.6|0.137|17|reviewed|us|us
