time|latitude|longitude|depth|mag|magType|nst|gap|dmin|rms|net|id|updated|type|horizontalError|depthError|magError|magNst|status|locationSource|magSource
2022-06-23T21:38:05.450Z|17.8991666666667|-66.9575|11.36|2.13|md|4|263||0.1|pr|pr71355638|2022-06-23T22:08:47.500Z|earthquake|1.15|0.53|0.105590378376699|2|reviewed|pr|pr
2022-06-23T21:36:23.776Z|36.7015|-116.3325|9|0.9|ml|26|74.62|0.033|0.1039|nn|nn00841584|2022-06-23T22:29:41.887Z|earthquake||0.8|0.94|16|reviewed|nn|nn
2022-06-23T21:24:43.096Z|38.1825|-117.8748|11.2|2.3|ml|21|89.35|0.08|0.157|nn|nn00841579|2022-06-23T22:11:04.977Z|earthquake||1.1|0.27|8|reviewed|nn|nn
2022-06-23T21:21:48.679Z|36.7213|-116.1753|7.8|-0.5|ml|5|132.45|0.031|0.0599|nn|nn00841611|2022-06-24T00:43:11.126Z|earthquake||2.1|0.27|3|reviewed|nn|nn
2022-06-23T21:21:23.303Z|59.6879|-152.4754|77.6|1.2|ml||||0.46|ak|ak02280451gq|2022-06-23T21:23:35.865Z|earthquake||0.6|||automatic|ak|ak
2022-06-23T21:18:40.090Z|54.04|-166.128|15.32|-0.41|ml|7|317||0.07|av|av91063868|2022-06-24T09:15:32.790Z|earthquake|0.89|0.89|0.22426197336309|6|reviewed|av|av
2022-06-23T21:16:29.600Z|39.1938333|-123.4471667|5.77|1.65|md|19|60|0.06268|0.09|nc|nc73750086|2022-06-24T21:36:15.760Z|earthquake|0.2|0.57|0.066|17|reviewed|nc|nc
2022-06-23T21:12:31.010Z|44.793|-110.7736667|6.02|0.96|md|6|237|0.05491|0.2|uu|uu60503287|2022-06-23T21:22:09.700Z|earthquake|2.07|1.59|0.446|4|reviewed|uu|uu
2022-06-23T21:03:27.500Z|17.9533333333333|-66.8748333333333|18.13|2.61|md|5|210||0.08|pr|pr71355628|2022-06-23T22:06:31.770Z|earthquake|0.68|0.57|0.115631562200124|2|reviewed|pr|pr
2022-06-23T20:55:00.440Z|39.4315|-110.2936667|-2.16|2.05|ml|17|185|0.02544|0.17|uu|uu60503277|2022-06-23T21:13:54.360Z|earthquake|0.67|0.77|0.109|8|reviewed|uu|uu
2022-06-23T20:52:34.932Z|58.3384|-133.5946|10|3.2|ml||169|0.491|0.27|us|us7000hjr0|2022-06-24T17:13:21.040Z|earthquake|4.5|2|0.066|30|reviewed|us|us
2022-06-23T20:43:30.480Z|33.361|-116.3225|11.54|1.34|ml|48|40|0.01088|0.16|ci|ci40289984|2022-06-23T22:46:16.810Z|earthquake|0.22|0.3|0.149|24|reviewed|ci|ci
2022-06-23T20:39:10.987Z|31.64422953|-104.3176748|6.774267578|2.3|ml|12|69|0.1580116708|0.2|tx|tx2022mfqy|2022-06-24T19:09:41.580Z|earthquake|1.351141163|3.147695052|0.1|6|reviewed|tx|tx
2022-06-23T20:37:41.975Z|16.8998|-85.7549|10|4.8|mb||45|3.182|1.03|us|us7000hjqr|2022-06-27T03:25:10.497Z|earthquake|7|1.9|0.032|306|reviewed|us|us
2022-06-23T20:24:13.824Z|37.4188|-116.0585|0|0.3|ml|5|286.22|0.349|0.2257|nn|nn00841607|2022-06-24T00:18:23.484Z|earthquake||0|1.1|4|reviewed|nn|nn
2022-06-23T20:23:45.170Z|19.1669998168945|-155.495498657227|33.2999992370605|1.74000001|md|30|112||0.150000006|hv|hv73053367|2022-06-23T20:27:00.570Z|earthquake|0.68|1|1.74000001|4|automatic|hv|hv
2022-06-23T20:21:55.400Z|54.3406666666667|-164.5355|13.76|0.42|ml|4|315||0.22|av|av91063863|2022-06-24T09:03:47.820Z|earthquake|1.6|1.17|0.170263106588874|4|reviewed|av|av
2022-06-23T20:21:21.110Z|23.5689|121.6655|3.59|4.6|mb||111|0.381|0.86|us|us7000hjql|2022-06-23T22:58:04.647Z|earthquake|2|5.6|0.076|52|reviewed|us|us
2022-06-23T20:16:05.920Z|45.2755|-123.06933333333333|-0.18|1.19|md|6|196|0.1034|0.14|uw|uw61845687|2022-06-26T04:51:11.260Z|explosion|1.01|31.61|0.16022474318194835|4|reviewed|uw|uw
2022-06-23T20:12:47.640Z|36.7258333|-121.4073333|5.86|1.65|md|39|56|0.0498|0.16|nc|nc73750061|2022-06-24T02:05:26.602Z|earthquake|0.25|0.47|0.213|37|reviewed|nc|nc
2022-06-23T20:10:39.147Z|41.311|72.7073|3.28|4.1|mb||114|0.206|0.82|us|us7000hjqj|2022-06-23T20:47:23.040Z|earthquake|1.8|6.6|0.234|5|reviewed|us|us
2022-06-23T20:08:40.304Z|31.60397564|-104.1973923|7.648339844|2.4|ml|13|61|0.08889834336|0.2|tx|tx2022mfpx|2022-06-27T15:46:53.162Z|earthquake|1.062352625|1.509881043|0.1|9|reviewed|tx|tx
2022-06-23T19:57:27.575Z|61.4391|-150.9501|66.3|1.4|ml||||0.42|ak|ak0228035wd1|2022-06-23T19:59:20.430Z|earthquake||0.7|||automatic|ak|ak
2022-06-23T19:55:08.110Z|17.9276666666667|-66.8411666666667|14.34|2.41|md|6|221||0.08|pr|pr71355613|2022-06-23T20:05:15.010Z|earthquake|0.73|0.61|0.195444715362606|6|reviewed|pr|pr
2022-06-23T19:53:19.150Z|38.8149986|-122.821167|2.77|0.75|md|15|68|0.008755|0.02|nc|nc73750056|2022-06-23T22:02:19.188Z|earthquake|0.38|0.72|0.11|2|automatic|nc|nc
2022-06-23T19:46:45.710Z|53.9955|-166.076666666667|18.54|-0.3|ml|6|322||0.05|av|av91063858|2022-06-24T08:58:36.510Z|earthquake|1.57|1.28|0.311902023011057|6|reviewed|av|av
2022-06-23T19:42:28.798Z|60.5221|-143.0418|0|1|ml||||0.59|ak|ak0228032opr|2022-06-23T19:44:30.037Z|earthquake||0.6|||automatic|ak|ak
2022-06-23T19:41:23.790Z|17.9593333333333|-66.8483333333333|14.43|2.33|md|6|171||0.09|pr|pr71355603|2022-06-23T19:55:58.180Z|earthquake|0.43|0.55|0.175546081729332|5|reviewed|pr|pr
2022-06-23T19:36:04.680Z|33.9558333|-116.9403333|15.49|1.29|ml|54|39|0.04796|0.13|ci|ci40289944|2022-06-23T20:27:50.471Z|earthquake|0.14|0.36|0.17|35|reviewed|ci|ci
2022-06-23T19:33:10.960Z|33.9536667|-116.9381667|15.35|1.19|ml|37|51|0.04775|0.12|ci|ci40289936|2022-06-23T20:11:42.387Z|earthquake|0.18|0.52|0.108|26|reviewed|ci|ci
2022-06-23T19:33:05.390Z|33.616|-117.0825|-0.65|1.22|ml|12|99|0.03517|0.23|ci|ci40289928|2022-06-23T20:03:16.703Z|quarry blast|0.69|31.61|0.15|10|reviewed|ci|ci
2022-06-23T19:25:06.400Z|19.1693325042725|-155.50016784668|33.5299987792969|1.86000001|md|32|110||0.140000001|hv|hv73053307|2022-06-24T03:13:10.467Z|earthquake|0.62|1|0.140000001|5|automatic|hv|hv
2022-06-23T19:19:58.170Z|19.1693333333333|-155.499833333333|36.7|3.64|ml|56|100||0.11|hv|hv73053302|2022-06-24T19:21:52.672Z|earthquake|0.38|0.45|0.184821257056075|38|reviewed|hv|hv
2022-06-23T19:18:10.835Z|61.699|-153.9791|38.7|1.1|ml||||0.92|ak|ak022802xhut|2022-06-23T19:20:59.378Z|earthquake||12.6|||automatic|ak|ak
