time|latitude|longitude|depth|mag|magType|nst|gap|dmin|rms|net|id|updated|type|horizontalError|depthError|magError|magNst|status|locationSource|magSource
2022-06-09T11:42:11.249Z|61.7787|-151.4288|82|1.7|ml||||0.74|ak|ak0227cssblw|2022-06-09T11:54:35.287Z|earthquake||0.8|||automatic|ak|ak
2022-06-09T11:40:59.412Z|61.3347|-147.8072|0|1.7|ml||||1.31|ak|ak0227csrzw5|2022-06-09T11:42:58.323Z|earthquake||0.3|||automatic|ak|ak
2022-06-09T11:39:06.417Z|31.73148054|-104.5931025|5.848779297|2.1|ml|12|137|0.07038393165|0.3|tx|tx2022lfkb|2022-06-10T22:21:05.287Z|earthquake|2.777585821|1.626726737|0.2|9|reviewed|tx|tx
2022-06-09T11:36:01.940Z|53.8523333333333|-166.642333333333|8.2|0.04|ml|6|153||0.04|av|av91062358|2022-06-10T16:28:46.950Z|earthquake|0.25|0.51|0.310975874270376|6|reviewed|av|av
2022-06-09T11:34:41.236Z|61.7937|-149.5549|28|1.6|ml||||0.74|ak|ak0227csqo6z|2022-06-09T11:36:53.564Z|earthquake||0.2|||automatic|ak|ak
2022-06-09T11:33:32.258Z|-9.1997|125.1939|10|4.5|mb||43|1.067|0.6|us|us7000hg5q|2022-06-09T11:58:01.040Z|earthquake|6.4|1.9|0.131|20|reviewed|us|us
2022-06-09T11:31:47.384Z|57.7491|-155.1135|15.2|1.1|ml||||0.17|ak|ak0227csq1iq|2022-06-10T16:28:51.563Z|earthquake||2.5|||automatic|ak|ak
2022-06-09T11:25:56.750Z|40.7166667|-112.091|10.78|1.14|ml|23|43|0.03108|0.11|uu|uu60500967|2022-06-09T13:17:46.890Z|earthquake|0.25|0.48|0.16|3|reviewed|uu|uu
2022-06-09T11:18:00.178Z|43.0611|13.9784|10|4.3|mwr||32|0.674|0.63|us|us7000hg5l|2022-06-13T20:03:41.943Z|earthquake|4.1|1.5|0.059|28|reviewed|us|us
2022-06-09T11:13:03.670Z|35.8988333|-117.7385|8.24|0.33|ml|9|94|0.08171|0.06|ci|ci37502429|2022-06-09T15:14:33.506Z|earthquake|0.18|0.54|0.297|6|reviewed|ci|ci
2022-06-09T11:12:48.150Z|35.8991667|-117.74|8.47|0.56|ml|12|61|0.08055|0.05|ci|ci40036991|2022-06-09T15:11:12.759Z|earthquake|0.13|0.38|0.25|4|reviewed|ci|ci
