time|latitude|longitude|depth|mag|magType|nst|gap|dmin|rms|net|id|updated|type|horizontalError|depthError|magError|magNst|status|locationSource|magSource
2022-06-16T04:44:49.320Z|26.3419|54.4549|10|4.2|mb||205|8.595|0.45|us|us7000hj0w|2022-06-22T03:09:43.040Z|earthquake|13.4|2|0.159|11|reviewed|us|us
2022-06-16T04:35:00.080Z|33.7066667|-116.7583333|16.06|0.97|ml|53|55|0.03709|0.13|ci|ci40041055|2022-06-16T15:16:58.780Z|earthquake|0.14|0.23|0.141|33|reviewed|ci|ci
2022-06-16T04:28:05.607Z|60.0711|-153.6712|170.4|1.8|ml||||0.44|ak|ak0227o9apdx|2022-06-16T04:54:12.040Z|earthquake||0.5|||automatic|ak|ak
2022-06-16T04:13:39.226Z|62.0669|-149.3259|32.1|1.2|ml||||0.74|ak|ak0227o97k82|2022-06-16T04:15:42.572Z|earthquake||0.2|||automatic|ak|ak
2022-06-16T04:07:41.582Z|38.1557|-117.8842|10.4|-0.3|ml|5|169.82|0.062|0.0655|nn|nn00841039|2022-06-17T02:40:01.654Z|earthquake||2.8|0.1|2|reviewed|nn|nn
2022-06-16T04:07:33.044Z|37.4318|-116.5671|0|0.6|ml|12|258.68|0.313|0.2109|nn|nn00840994|2022-06-16T21:10:21.446Z|earthquake||3|1.09|11|reviewed|nn|nn
2022-06-16T04:03:57.489Z|-31.8129|-179.4602|98.13|4.5|mb||182|6.023|0.53|us|us7000hj0v|2022-06-22T03:01:28.040Z|earthquake|10.1|10.8|0.172|10|reviewed|us|us
2022-06-16T03:57:38.050Z|32.6926667|-115.4426667|10.34|1.44|ml|19|164|0.06092|0.19|ci|ci40041047|2022-06-16T15:05:59.655Z|earthquake|0.43|0.77|0.298|20|reviewed|ci|ci
2022-06-16T03:51:47.763Z|67.474|-158.2528|0|1.6|ml||||1.31|ak|ak0227o8uang|2022-06-16T03:54:19.639Z|earthquake||0.6|||automatic|ak|ak
2022-06-16T03:48:57.870Z|33.9335|-117.9111667|14.75|1.18|ml|50|66|0.0158|0.16|ci|ci40041039|2022-06-16T15:01:07.636Z|earthquake|0.22|0.3|0.179|27|reviewed|ci|ci
2022-06-16T03:48:55.233Z|31.63152718|-104.1542654|7.828295898|2.5|ml|17|73|0.1025211232|0.3|tx|tx2022lrpb|2022-06-16T07:49:01.836Z|earthquake|0.9629291861|1.622899781|0.2|13|reviewed|tx|tx
2022-06-16T03:47:25.560Z|60.4591|-150.4094|22.7|1.1|ml||||0.32|ak|ak0227o8tdqm|2022-06-16T16:23:08.863Z|earthquake||3.7|||reviewed|ak|ak
2022-06-16T03:45:11.950Z|35.6935|-117.5228333|6.84|1.47|ml|36|61|0.1176|0.15|ci|ci40041031|2022-06-16T14:36:22.290Z|earthquake|0.16|0.48|0.128|20|reviewed|ci|ci
2022-06-16T03:44:51.975Z|-20.7693|-177.4851|373.73|4.1|mb||123|8.465|0.48|us|us7000hj1j|2022-06-22T02:46:53.040Z|earthquake|13|6.9|0.131|16|reviewed|us|us
2022-06-16T03:44:50.189Z|54.6045|-159.7127|24.9|2|ml||||0.58|ak|ak0227o8swxf|2022-06-16T16:20:58.822Z|earthquake||0.9|||reviewed|ak|ak
2022-06-16T03:44:25.723Z|-23.5569|173.1524|10|4.4|mb||113|5.337|0.97|us|us7000hj0u|2022-06-22T02:24:27.040Z|earthquake|13.5|1.9|0.148|13|reviewed|us|us
2022-06-16T03:33:23.660Z|33.7371667|-116.018|1.43|1.1|ml|40|92|0.08505|0.2|ci|ci40041023|2022-06-16T14:30:07.370Z|earthquake|0.21|0.44|0.103|19|reviewed|ci|ci
2022-06-16T03:30:33.240Z|37.6621667|-118.8918333|-0.1|0.31|md|8|217|0.01324|0.03|nc|nc73746036|2022-06-24T00:28:11.163Z|earthquake|0.71|0.27|0.058|5|reviewed|nc|nc
2022-06-16T03:24:14.550Z|47.5308333|-113.8225|17.94|-0.5|md|7|161|0.121|0.09|mb|mb80548919|2022-06-16T17:08:11.480Z|earthquake|0.56|1.01||1|reviewed|mb|mb
2022-06-16T03:21:10.900Z|44.3181667|-115.434|2.1|2.16|ml|15|95|0.869|0.24|mb|mb80548889|2022-06-16T15:55:28.880Z|earthquake|0.53|3.04|0.263|12|reviewed|mb|mb
2022-06-16T03:19:55.543Z|-17.6902|-178.0414|400|4.2|mb||123|3.364|1.36|us|us7000hj0t|2022-06-21T23:32:25.040Z|earthquake|9.3|1.9|0.175|11|reviewed|us|us
2022-06-16T03:18:44.411Z|64.5863|-147.0173|13.6|0.7|ml||||0.55|ak|ak0227o8n0xr|2022-06-16T16:18:26.563Z|earthquake||0.5|||reviewed|ak|ak
2022-06-16T03:18:20.945Z|60.5077|-151.3868|62.9|1.2|ml||||0.67|ak|ak0227o8n5se|2022-06-16T16:18:35.298Z|earthquake||1.4|||reviewed|ak|ak
