time|latitude|longitude|depth|mag|magType|nst|gap|dmin|rms|net|id|updated|type|horizontalError|depthError|magError|magNst|status|locationSource|magSource
2022-06-20T21:34:33.250Z|35.8888333|-117.687|6.46|0.96|ml|19|47|0.06601|0.08|ci|ci40288240|2022-06-22T17:14:19.711Z|earthquake|0.14|0.41|0.177|8|reviewed|ci|ci
2022-06-20T21:34:04.970Z|18.1571666666667|-66.8386666666667|19.35|3.1|md|31|44||0.14|pr|pr71355203|2022-06-24T04:24:28.040Z|earthquake|0.18|0.29|0.0854427104593904|9|reviewed|pr|pr
2022-06-20T21:22:22.200Z|37.6238333|-118.8706667|-0.35|1.29|md|8|118|0.007802|0.06|nc|nc73748516|2022-06-23T00:08:10.683Z|earthquake|0.34|0.33|0.176|6|reviewed|nc|nc
2022-06-20T21:15:25.000Z|49.38166666666667|-120.523|-0.51|1.81|ml|7|219|0.59|0.33|uw|uw61844917|2022-06-22T01:14:29.200Z|explosion|3|31.61|0.06366596713670547|2|reviewed|uw|uw
2022-06-20T21:13:54.750Z|37.6253333|-118.8748333|-0.14|0.9|md|9|114|0.01136|0.05|nc|nc73748511|2022-06-20T22:25:10.169Z|earthquake|0.31|0.41|0.314|8|reviewed|nc|nc
2022-06-20T21:09:23.810Z|33.5943333|-116.8035|8.15|0.36|ml|15|145|0.03289|0.05|ci|ci40288224|2022-06-22T17:11:06.902Z|earthquake|0.23|0.33|0.196|5|reviewed|ci|ci
2022-06-20T21:07:11.870Z|19.1989994049072|-155.414169311523|33.0699996948242|2.42|ml|39|155||0.180000007|hv|hv73050257|2022-06-24T04:35:46.040Z|earthquake|0.57|0.839999974|3.96|18|automatic|hv|hv
2022-06-20T21:06:54.470Z|37.6343333|-118.8786667|0.02|0.21|md|8|129|0.01758|0.03|nc|nc73748506|2022-06-20T23:10:12.451Z|earthquake|0.42|1|0.132|7|reviewed|nc|nc
2022-06-20T21:06:49.750Z|17.9803333333333|-66.9961666666667|9.47|2.48|md|17|162||0.14|pr|pr71355193|2022-06-20T21:19:18.690Z|earthquake|0.47|0.69|0.0499960124459513|4|reviewed|pr|pr
2022-06-20T21:03:35.140Z|33.8758333|-117.5021667|-0.49|1.13|ml|34|56|0.07521|0.22|ci|ci40288216|2022-06-22T17:08:41.147Z|quarry blast|0.38|31.61|0.083|21|reviewed|ci|ci
2022-06-20T21:02:40.740Z|46.8851667|-112.4813333|11.26|0.9|ml|10|90|0.031|0.19|mb|mb80549439|2022-06-20T22:51:18.180Z|earthquake|0.73|0.82|0.164|4|reviewed|mb|mb
2022-06-20T21:01:08.640Z|37.6296667|-118.8753333|-0.29|1.8|md|12|105|0.0145|0.07|nc|nc73748491|2022-06-23T00:08:10.380Z|earthquake|0.32|0.36|0.043|9|reviewed|nc|nc
2022-06-20T20:56:53.710Z|37.6243333|-118.874|-0.5|1.72|md|12|117|0.01027|0.1|nc|nc73748486|2022-06-23T00:04:10.298Z|earthquake|0.34|0.36|0.047|8|reviewed|nc|nc
2022-06-20T20:55:41.050Z|37.6295|-118.878|0.67|1.92|md|23|89|0.0159|0.05|nc|nc73748481|2022-06-23T00:00:11.157Z|earthquake|0.26|0.35|0.165|20|reviewed|nc|nc
2022-06-20T20:52:28.350Z|37.6223333|-118.8725|-0.27|0.87|md|8|121|0.008282|0.02|nc|nc73748476|2022-06-23T00:00:11.318Z|earthquake|0.22|0.25|0.312|7|reviewed|nc|nc
2022-06-20T20:50:09.480Z|38.7900009|-122.7343369|1.74|0.76|md|8|119|0.007007|0.02|nc|nc73748471|2022-06-20T21:01:10.638Z|earthquake|0.35|0.73|0.15|2|automatic|nc|nc
2022-06-20T20:49:22.440Z|37.627|-118.8723333|-0.02|1.93|md|22|88|0.01093|0.05|nc|nc73748466|2022-06-22T23:57:11.137Z|earthquake|0.22|0.25|0.18|17|reviewed|nc|nc
2022-06-20T20:49:17.434Z|63.5498|-148.7839|12.1|0.3|ml||||0.76|ak|ak0227v53jz3|2022-06-20T20:51:31.946Z|earthquake||0.9|||automatic|ak|ak
2022-06-20T20:47:03.180Z|38.8226662|-122.7991638|3.02|0.84|md|11|92|0.008553|0.01|nc|nc73748461|2022-06-20T20:57:10.745Z|earthquake|0.36|1.2||1|automatic|nc|nc
2022-06-20T20:45:30.980Z|38.8238335|-122.8010025|2.85|0.65|md|20|37|0.0071|0.02|nc|nc73748456|2022-06-20T20:52:11.580Z|earthquake|0.27|0.55|0.09|3|automatic|nc|nc
2022-06-20T20:45:21.806Z|38.5562|-119.5134|8.4|1.4|ml|17|68.53|0.03|0.1591|nn|nn00841298|2022-06-21T02:40:26.000Z|earthquake||1.1|0.31|6|reviewed|nn|nn
2022-06-20T20:44:55.240Z|37.6411667|-118.8903333|-0.22|0.92|md|11|86|0.006084|0.03|nc|nc73748451|2022-06-22T23:54:10.120Z|earthquake|0.24|0.31|0.151|7|reviewed|nc|nc
2022-06-20T20:42:29.090Z|37.6253333|-118.8721667|-0.31|0.72|md|8|115|0.009675|0.06|nc|nc73748446|2022-06-20T21:19:10.747Z|earthquake|0.27|0.37|0.359|7|reviewed|nc|nc
2022-06-20T20:38:02.800Z|37.6273333|-118.8745|0.03|2.26|md|27|88|0.01239|0.05|nc|nc73748441|2022-06-23T04:11:10.699Z|earthquake|0.22|0.25|0.243|31|reviewed|nc|nc
2022-06-20T20:33:14.670Z|19.1665000915527|-155.373001098633|30.4300003051758|2|md|39|175||0.119999997|hv|hv73050232|2022-06-20T20:36:25.660Z|earthquake|0.67|1.12|1.37|18|automatic|hv|hv
2022-06-20T20:31:25.950Z|44.7888333|-110.8091667|5.68|0.52|md|10|205|0.02944|0.14|uu|uu60502922|2022-06-21T15:30:57.440Z|earthquake|0.62|0.77|0.257|5|reviewed|uu|uu
2022-06-20T20:24:15.790Z|33.147|-116.4168333|11.12|1.09|ml|52|37|0.1209|0.18|ci|ci40288184|2022-06-21T17:57:22.300Z|earthquake|0.18|0.36|0.151|18|reviewed|ci|ci
2022-06-20T20:23:10.450Z|37.6246667|-118.8731667|-0.66|1.8|md|11|116|0.009893|0.09|nc|nc73748436|2022-06-21T20:55:16.251Z|earthquake|0.39|0.35|0.111|6|reviewed|nc|nc
2022-06-20T20:19:20.460Z|18.058|-67.0926666666667|16.8|2.53|md|8|141||0.13|pr|pr71355183|2022-06-20T20:35:45.210Z|earthquake|0.57|0.66|0.232873609790854|2|reviewed|pr|pr
2022-06-20T20:01:14.400Z|37.6245|-118.8721667|-0.14|1.65|md|17|116|0.009152|0.06|nc|nc73748431|2022-06-23T01:17:35.638Z|earthquake|0.2|0.23|0.138|12|reviewed|nc|nc
2022-06-20T20:00:37.180Z|32.8226667|-117.07|-0.25|0.87|ml|19|101|0.06907|0.27|ci|ci40288176|2022-06-21T15:52:42.434Z|quarry blast|0.75|31.61|0.165|3|reviewed|ci|ci
2022-06-20T19:58:16.961Z|61.339|-150.9724|56|1.3|ml||||0.57|ak|ak0227v4k0u5|2022-06-20T22:24:21.347Z|earthquake||1.3|||reviewed|ak|ak
2022-06-20T19:55:06.920Z|53.7993333333333|-166.566|3.63|0.17|ml|6|231||0.31|av|av91604666|2022-06-21T06:23:50.690Z|earthquake|1.26|1.77|0.380099547113237|6|reviewed|av|av
2022-06-20T19:52:58.753Z|60.4209|-152.3716|95.6|1.7|ml||||0.29|ak|ak0227v4iupf|2022-06-20T19:55:00.533Z|earthquake||0.4|||automatic|ak|ak
2022-06-20T19:50:15.918Z|63.5383|-147.3287|0|1.7|ml||||0.63|ak|ak0227v4ibyv|2022-06-20T19:52:11.894Z|earthquake||0.4|||automatic|ak|ak
2022-06-20T19:47:53.890Z|33.6673333|-116.7151667|15.54|0.57|ml|19|84|0.03454|0.07|ci|ci40288168|2022-06-22T17:03:46.663Z|earthquake|0.2|0.31|0.141|7|reviewed|ci|ci
2022-06-20T19:45:58.283Z|53.176|-166.7102|35|2.6|ml||220|0.627|0.58|us|us7000hiv8|2022-06-24T16:52:35.040Z|earthquake|3.1|2|0.097|14|reviewed|us|us
2022-06-20T19:41:15.500Z|33.1446667|-116.4175|11.1|1.85|ml|74|25|0.06939|0.2|ci|ci40288160|2022-06-21T15:47:52.020Z|earthquake|0.15|0.34|0.157|55|reviewed|ci|ci
2022-06-20T19:38:31.530Z|43.1893333|-110.8973333|12.03|1.56|ml|9|237|0.29|0.2|mb|mb80549424|2022-06-20T20:33:11.370Z|earthquake|1.96|3.53|0.235|8|reviewed|mb|mb
2022-06-20T19:38:12.080Z|35.0815|-95.52216667|7.95|1.24|ml|33|87|0.1277749262|0.26|ok|ok2022mack|2022-06-21T20:06:06.584Z|earthquake||0.9|0.26|6|reviewed|ok|ok
2022-06-20T19:36:29.430Z|37.6385|-118.891|-0.47|0.61|md|9|108|0.007488|0.04|nc|nc73748416|2022-06-22T23:44:11.058Z|earthquake|0.29|0.45|0.064|6|reviewed|nc|nc
2022-06-20T19:33:02.470Z|47.4255|-123.98616666666666|-0.24|1.53|ml|12|199|0.2175|0.72|uw|uw61844892|2022-06-21T01:23:32.020Z|explosion|2.7|31.61|0.052466588074507436|2|reviewed|uw|uw
2022-06-20T19:31:47.910Z|48.0223333|-115.1131667|3.79|1.29|ml|11|114|0.278|0.14|mb|mb80549434|2022-06-20T20:27:00.330Z|earthquake|0.53|2.38|0.193|4|reviewed|mb|mb
2022-06-20T19:26:50.070Z|37.6398333|-118.882|-0.4|0.06|md|9|143|0.01263|0.04|nc|nc73748411|2022-06-20T21:28:18.807Z|earthquake|0.32|0.5|0.111|7|reviewed|nc|nc
2022-06-20T19:25:08.490Z|33.1465|-116.4101667|11.34|1.1|ml|50|49|0.07291|0.19|ci|ci40288152|2022-06-22T17:01:15.597Z|earthquake|0.23|0.38|0.16|24|reviewed|ci|ci
2022-06-20T19:24:33.600Z|37.6383333|-118.8841667|-0.02|1.5|md|19|108|0.01174|0.03|nc|nc73748401|2022-06-22T23:44:10.058Z|earthquake|0.23|0.25|0.207|16|reviewed|nc|nc
2022-06-20T19:22:59.830Z|37.6395|-118.882|-0.42|0.06|md|8|142|0.01275|0.05|nc|nc73748406|2022-06-20T21:17:27.738Z|earthquake|0.41|0.5|0.109|7|reviewed|nc|nc
2022-06-20T19:22:46.648Z|59.1032|-153.2902|80.9|1.4|ml||||0.28|ak|ak0227v4ceag|2022-06-20T19:25:18.961Z|earthquake||0.4|||automatic|ak|ak
2022-06-20T19:20:28.090Z|33.144|-116.416|10.87|1.8|ml|62|34|0.1239|0.2|ci|ci40288144|2022-06-20T20:54:15.330Z|earthquake|0.21|0.49|0.153|25|reviewed|ci|ci
2022-06-20T19:09:52.011Z|60.6236|-151.8041|73.1|3.4|ml||||0.71|ak|ak0227v49mcw|2022-06-24T16:54:18.677Z|earthquake||0.4|||reviewed|ak|ak
2022-06-20T19:09:16.311Z|-17.4488|167.3707|10|5.4|mww||37|1.996|0.7|us|us7000hitl|2022-06-24T16:52:23.528Z|earthquake|6.4|0.7|0.075|17|reviewed|us|us
2022-06-20T19:07:59.640Z|39.8321667|-123.5763333|5.4|1.86|md|29|64|0.07691|0.13|nc|nc73748391|2022-06-22T10:15:17.221Z|earthquake|0.19|0.49|0.165|23|reviewed|nc|nc
2022-06-20T19:06:55.060Z|34.27683333|-96.3735|0|1.49|ml|60|65|0.2438521479|0.66|ok|ok2022mabj|2022-06-21T12:30:05.888Z|quarry blast||0.7|0.17|22|reviewed|ok|ok
2022-06-20T19:03:27.980Z|37.6305|-118.8745|-0.51|1.79|md|18|100|0.0147|0.09|nc|nc73748386|2022-06-23T01:07:22.575Z|earthquake|0.19|0.2|0.085|10|reviewed|nc|nc
2022-06-20T19:02:45.140Z|35|-118.1906667|-0.82|1.26|ml|20|39|0.1242|0.19|ci|ci40288128|2022-06-21T18:18:53.957Z|quarry blast|0.39|31.61|0.137|11|reviewed|ci|ci
2022-06-20T19:00:28.110Z|34.0193333|-117.1031667|16.34|1.91|ml|53|27|0.01783|0.18|ci|ci40288120|2022-06-20T20:53:57.689Z|earthquake|0.21|0.5|0.211|33|reviewed|ci|ci
2022-06-20T19:00:01.620Z|33.853|-117.4873333|-0.48|2.17|ml|45|31|0.05|0.23|ci|ci40288112|2022-06-22T16:53:52.564Z|quarry blast|0.36|31.61|0.205|24|reviewed|ci|ci
2022-06-20T18:59:36.120Z|37.6376667|-118.882|-0.08|0.98|md|10|115|0.01356|0.03|nc|nc73748376|2022-06-22T23:40:11.039Z|earthquake|0.3|0.53|0.115|7|reviewed|nc|nc
2022-06-20T18:59:15.660Z|37.639|-118.8816667|-0.51|-0.01|md|8|141|0.01319|0.03|nc|nc73748381|2022-06-20T19:11:37.893Z|earthquake|0.44|0.66|0.199|8|reviewed|nc|nc
2022-06-20T18:57:54.440Z|37.6363333|-118.8825|0.53|0.93|md|14|112|0.01394|0.06|nc|nc73748371|2022-06-21T17:39:17.087Z|earthquake|0.28|0.26|0.338|12|reviewed|nc|nc
2022-06-20T18:57:33.720Z|37.6376667|-118.8831667|0.08|1.26|md|16|104|0.01276|0.03|nc|nc73748366|2022-06-22T18:06:09.993Z|earthquake|0.21|0.29|0.126|9|reviewed|nc|nc
2022-06-20T18:57:04.176Z|38.1756|-117.8222|7.5|0.8|ml|14|183.18|0.114|0.1143|nn|nn00841280|2022-06-21T02:40:23.295Z|earthquake||2|0.38|4|reviewed|nn|nn
2022-06-20T18:56:30.820Z|37.6338333|-118.8761667|-2.07|1.33|md|9|111|0.01815|0.08|nc|nc73748356|2022-06-22T18:01:11.092Z|earthquake|0.27|31.61|0.054|5|reviewed|nc|nc
2022-06-20T18:51:09.792Z|31.65529614|-104.4555487|5.643115234|2.3|ml|13|81|0.04079323895|0.2|tx|tx2022maav|2022-06-22T17:37:08.098Z|earthquake|1.943628488|1.696780469|0.1|10|reviewed|tx|tx
2022-06-20T18:46:24.110Z|37.2626667|-121.6356667|6.32|2.01|md|62|54|0.03011|0.07|nc|nc73748346|2022-06-23T01:48:19.830Z|earthquake|0.11|0.23|0.212|61|reviewed|nc|nc
2022-06-20T18:42:11.860Z|37.6293333|-118.8785|-2.24|0.77|md|11|105|0.01609|0.16|nc|nc73748341|2022-06-22T17:57:11.072Z|earthquake|0.37|0.85|0.326|9|reviewed|nc|nc
2022-06-20T18:39:22.948Z|-22.2202|-179.4919|586.81|4.4|mb||96|5.015|0.66|us|us7000hitc|2022-06-24T16:10:55.040Z|earthquake|13.2|7.3|0.092|38|reviewed|us|us
2022-06-20T18:38:45.640Z|38.8391667|-122.7805|2.06|0.32|md|13|81|0.004694|0.02|nc|nc73748336|2022-06-22T10:08:17.181Z|earthquake|0.31|0.43|0.274|2|reviewed|nc|nc
2022-06-20T18:37:37.840Z|44.7916667|-110.8026667|5.67|0.11|md|7|208|0.03422|0.14|uu|uu60502907|2022-06-21T15:28:20.110Z|earthquake|0.83|0.97|0.213|4|reviewed|uu|uu
2022-06-20T18:35:39.000Z|19.1963329315186|-155.392166137695|31.6299991607666|2.13000011|md|36|161||0.129999995|hv|hv73050167|2022-06-20T18:38:49.220Z|earthquake|0.59|0.74000001|1.62|14|automatic|hv|hv
2022-06-20T18:34:14.180Z|37.6331667|-118.8821667|-0.41|1.77|md|20|97|0.01616|0.05|nc|nc73748331|2022-06-22T19:17:17.529Z|earthquake|0.27|0.23|0.066|11|reviewed|nc|nc
2022-06-20T18:30:27.562Z|39.9769|-121.6256|9.7|1.2|ml|5|217.77|0.187|0.1916|nn|nn00841330|2022-06-21T02:40:46.555Z|earthquake||2.1|0.08|3|reviewed|nn|nn
2022-06-20T18:29:38.789Z|59.9945|-152.4911|94|1.1|ml||||0.35|ak|ak0227v3sg3a|2022-06-20T18:31:14.918Z|earthquake||0.6|||automatic|ak|ak
2022-06-20T18:29:26.220Z|54.1918333333333|-165.988166666667|7.2|-0.56|ml|7|150||0.08|av|av91063523|2022-06-21T06:16:22.640Z|earthquake|0.38|0.4|0.178728785763756|6|reviewed|av|av
2022-06-20T18:28:34.770Z|40.9688333|-125.2936667|23.67|2.98|md|32|293|0.8767|0.16|nc|nc73748321|2022-06-24T16:01:26.040Z|earthquake|2.5|11.67|0.199|27|reviewed|nc|nc
2022-06-20T18:27:47.920Z|35.8826667|-117.6776667|7.22|0.28|ml|11|86|0.06876|0.11|ci|ci40288080|2022-06-21T18:15:57.474Z|earthquake|0.23|0.87|0.229|5|reviewed|ci|ci
2022-06-20T18:25:27.940Z|37.6303333|-118.8828333|-0.41|1.21|md|11|102|0.01648|0.07|nc|nc73748316|2022-06-22T19:09:13.478Z|earthquake|0.42|0.36|0.345|8|reviewed|nc|nc
2022-06-20T18:19:32.991Z|59.9822|-152.3538|74.1|1.9|ml||||0.48|ak|ak0227v3qahf|2022-06-20T18:21:43.446Z|earthquake||0.4|||automatic|ak|ak
2022-06-20T18:13:36.490Z|38.8113327|-122.7726669|1.58|0.59|md|10|81|0.006553|0.01|nc|nc73748311|2022-06-20T18:15:11.189Z|earthquake|0.41|0.81|0.26|2|automatic|nc|nc
2022-06-20T18:13:17.920Z|38.8103333|-122.7703333|1.84|1.4|md|41|67|0.008599|0.04|nc|nc73748306|2022-06-23T00:27:12.472Z|earthquake|0.16|0.25|0.065|9|reviewed|nc|nc
2022-06-20T18:11:45.700Z|37.628|-118.8768333|-0.41|1.13|md|12|108|0.01422|0.07|nc|nc73748301|2022-06-23T03:18:18.356Z|earthquake|0.24|0.27|0.303|9|reviewed|nc|nc
2022-06-20T18:08:14.051Z|-5.6064|132.1148|10|4.6|mb||71|2.495|0.84|us|us7000hjxu|2022-06-24T15:50:55.040Z|earthquake|7.1|2|0.245|5|reviewed|us|us
2022-06-20T18:08:12.030Z|36.0375|-120.6028333|3.07|0.45|md|15|117|0.0317|0.07|nc|nc73748296|2022-06-23T00:06:18.203Z|earthquake|0.5|1.09|0.079|7|reviewed|nc|nc
2022-06-20T18:06:39.650Z|37.6336667|-118.8825|0.18|1.8|md|22|88|0.01563|0.05|nc|nc73748291|2022-06-22T18:48:15.238Z|earthquake|0.18|0.21|0.129|18|reviewed|nc|nc
2022-06-20T17:59:13.650Z|35.6846667|-117.511|10.52|1.47|ml|23|102|0.1057|0.18|ci|ci40288048|2022-06-20T20:55:20.220Z|earthquake|0.36|0.76|0.181|21|reviewed|ci|ci
2022-06-20T17:57:42.070Z|38.8255005|-122.8048325|2.51|1.17|md|9|77|0.004603|0.01|nc|nc73748286|2022-06-20T22:31:11.210Z|earthquake|0.48|1.38||1|automatic|nc|nc
